id,合成品名称,合成品ID,背包显示排序,子类顺序,配方类别（0常用，1战斗，2生产，4建筑，6机械，7出现在食谱内，8出现在烹饪台内。填两个表示同时显示到两个分类里）,子类(填的是crafting的id),"插件编辑（大于0开放插件编辑，1：常用,2:装备,3:道具,4:材料,5:建筑,6:装饰,7:机械；填两个表示同时显示到两个分类里",插件编辑模板[0=不是模板，1=作为模板],英文名称,海外开放,必填/插件用,合成品数量,消耗经验,解锁等级(默认是1）,横占格（填3）,竖占格（填3）,组（0不为组1为组，例如木板通用）（关联Itemdef的ItemGroup）,是否随身合成（11616钛金锤（曾经是需要工具箱0，程序特殊处理了），11000空手（曾经是不需要工具箱1，程序特殊处理了），800不完整工匠台，797完整工匠台，794石锅，795烹饪台，150029融合台，201011烘焙箱）,烹饪时长（制作一份所需要的标准时长，单位tick，20tick=1s）,1格材料ID,1格材料数量,1格保留容器ID,2格材料ID,2格材料数量,2格保留容器ID,3格材料ID,3格材料数量,3格保留容器ID,4格材料ID,4格材料数量,4格保留容器ID,5格材料ID,5格材料数量,5格保留容器ID,6格材料ID,6格材料数量,6格保留容器ID,7格材料ID,7格材料数量,7格保留容器ID,8格材料ID,8格材料数量,8格保留容器ID,9格材料ID,9格材料数量,9格保留容器ID,货币ID,货币数量,分数,野人合成检测开关（0需要合成；1不需要合成）,标签
22028,铸铁斧+黄铜斧,540028,,,,,,,,,,1,0,,3,3,0,150029,,11003,1,,11001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22029,铸铁斧+石斧,540029,,,,,,,,,,1,0,,3,3,0,150029,,11003,1,,11002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22030,铸铁斧+铸铁斧,540030,,,,,,,,,,1,0,,3,3,0,150029,,11003,1,,11003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22031,铸铁斧+木棒,540031,,,,,,,,,,1,0,,3,3,0,150029,,11003,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22032,铸铁斧+尖尖碰碰锤,540032,,,,,,,,,,1,0,,3,3,0,150029,,11003,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22033,铸铁斧+冻结棒,540033,,,,,,,,,,1,0,,3,3,0,150029,,11003,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22034,铸铁斧+钛金战锤,540034,,,,,,,,,,1,0,,3,3,0,150029,,11003,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22035,铸铁斧+石剑,540035,,,,,,,,,,1,0,,3,3,0,150029,,11003,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22036,铸铁斧+短剑,540036,,,,,,,,,,1,0,,3,3,0,150029,,11003,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22037,铸铁斧+收割者,540037,,,,,,,,,,1,0,,3,3,0,150029,,11003,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22038,铸铁斧+能量剑,540038,,,,,,,,,,1,0,,3,3,0,150029,,11003,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22039,铸铁斧+石矛,540039,,,,,,,,,,1,0,,3,3,0,150029,,11003,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22040,铸铁斧+黄铜矛,540040,,,,,,,,,,1,0,,3,3,0,150029,,11003,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22041,铸铁斧+能量矛,540041,,,,,,,,,,1,0,,3,3,0,150029,,11003,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22042,铸铁斧+魔鬼鱼叉,540042,,,,,,,,,,1,0,,3,3,0,150029,,11003,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22043,钛合金斧+黄铜斧,540043,,,,,,,,,,1,0,,3,3,0,150029,,11004,1,,11001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22044,钛合金斧+石斧,540044,,,,,,,,,,1,0,,3,3,0,150029,,11004,1,,11002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22045,钛合金斧+铸铁斧,540045,,,,,,,,,,1,0,,3,3,0,150029,,11004,1,,11003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22046,钛合金斧+钛合金斧,540046,,,,,,,,,,1,0,,3,3,0,150029,,11004,1,,11004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22047,钛合金斧+木棒,540047,,,,,,,,,,1,0,,3,3,0,150029,,11004,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22048,钛合金斧+尖尖碰碰锤,540048,,,,,,,,,,1,0,,3,3,0,150029,,11004,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22049,钛合金斧+冻结棒,540049,,,,,,,,,,1,0,,3,3,0,150029,,11004,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22050,钛合金斧+钛金战锤,540050,,,,,,,,,,1,0,,3,3,0,150029,,11004,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22051,钛合金斧+石剑,540051,,,,,,,,,,1,0,,3,3,0,150029,,11004,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22052,钛合金斧+短剑,540052,,,,,,,,,,1,0,,3,3,0,150029,,11004,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22053,钛合金斧+收割者,540053,,,,,,,,,,1,0,,3,3,0,150029,,11004,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22054,钛合金斧+能量剑,540054,,,,,,,,,,1,0,,3,3,0,150029,,11004,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22055,钛合金斧+石矛,540055,,,,,,,,,,1,0,,3,3,0,150029,,11004,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22056,钛合金斧+黄铜矛,540056,,,,,,,,,,1,0,,3,3,0,150029,,11004,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22057,钛合金斧+能量矛,540057,,,,,,,,,,1,0,,3,3,0,150029,,11004,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22058,钛合金斧+魔鬼鱼叉,540058,,,,,,,,,,1,0,,3,3,0,150029,,11004,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22059,链锯+黄铜斧,540059,,,,,,,,,,1,0,,3,3,0,150029,,11005,1,,11001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22060,链锯+石斧,540060,,,,,,,,,,1,0,,3,3,0,150029,,11005,1,,11002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22061,链锯+铸铁斧,540061,,,,,,,,,,1,0,,3,3,0,150029,,11005,1,,11003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22062,链锯+钛合金斧,540062,,,,,,,,,,1,0,,3,3,0,150029,,11005,1,,11004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22063,链锯+链锯,540063,,,,,,,,,,1,0,,3,3,0,150029,,11005,1,,11005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22064,链锯+木棒,540064,,,,,,,,,,1,0,,3,3,0,150029,,11005,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22065,链锯+尖尖碰碰锤,540065,,,,,,,,,,1,0,,3,3,0,150029,,11005,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22066,链锯+冻结棒,540066,,,,,,,,,,1,0,,3,3,0,150029,,11005,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22067,链锯+钛金战锤,540067,,,,,,,,,,1,0,,3,3,0,150029,,11005,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22068,链锯+石剑,540068,,,,,,,,,,1,0,,3,3,0,150029,,11005,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22069,链锯+短剑,540069,,,,,,,,,,1,0,,3,3,0,150029,,11005,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22070,链锯+收割者,540070,,,,,,,,,,1,0,,3,3,0,150029,,11005,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22071,链锯+能量剑,540071,,,,,,,,,,1,0,,3,3,0,150029,,11005,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22072,链锯+石矛,540072,,,,,,,,,,1,0,,3,3,0,150029,,11005,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22073,链锯+黄铜矛,540073,,,,,,,,,,1,0,,3,3,0,150029,,11005,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22074,链锯+能量矛,540074,,,,,,,,,,1,0,,3,3,0,150029,,11005,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22075,链锯+魔鬼鱼叉,540075,,,,,,,,,,1,0,,3,3,0,150029,,11005,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22076,黄铜镐+黄铜镐,540076,,,,,,,,,,1,0,,3,3,0,150029,,11011,1,,11011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22077,黄铜镐+石镐,540077,,,,,,,,,,1,0,,3,3,0,150029,,11011,1,,11012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22078,黄铜镐+木棒,540078,,,,,,,,,,1,0,,3,3,0,150029,,11011,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22079,黄铜镐+尖尖碰碰锤,540079,,,,,,,,,,1,0,,3,3,0,150029,,11011,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22080,黄铜镐+冻结棒,540080,,,,,,,,,,1,0,,3,3,0,150029,,11011,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22081,黄铜镐+钛金战锤,540081,,,,,,,,,,1,0,,3,3,0,150029,,11011,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22082,黄铜镐+石剑,540082,,,,,,,,,,1,0,,3,3,0,150029,,11011,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22083,黄铜镐+短剑,540083,,,,,,,,,,1,0,,3,3,0,150029,,11011,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22084,黄铜镐+收割者,540084,,,,,,,,,,1,0,,3,3,0,150029,,11011,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22085,黄铜镐+能量剑,540085,,,,,,,,,,1,0,,3,3,0,150029,,11011,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22086,黄铜镐+石矛,540086,,,,,,,,,,1,0,,3,3,0,150029,,11011,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22087,黄铜镐+黄铜矛,540087,,,,,,,,,,1,0,,3,3,0,150029,,11011,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22088,黄铜镐+能量矛,540088,,,,,,,,,,1,0,,3,3,0,150029,,11011,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22089,黄铜镐+魔鬼鱼叉,540089,,,,,,,,,,1,0,,3,3,0,150029,,11011,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22090,石镐+石镐,540090,,,,,,,,,,1,0,,3,3,0,150029,,11012,1,,11012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22091,石镐+木棒,540091,,,,,,,,,,1,0,,3,3,0,150029,,11012,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22092,石镐+尖尖碰碰锤,540092,,,,,,,,,,1,0,,3,3,0,150029,,11012,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22093,石镐+冻结棒,540093,,,,,,,,,,1,0,,3,3,0,150029,,11012,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22094,石镐+钛金战锤,540094,,,,,,,,,,1,0,,3,3,0,150029,,11012,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22095,石镐+石剑,540095,,,,,,,,,,1,0,,3,3,0,150029,,11012,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22096,石镐+短剑,540096,,,,,,,,,,1,0,,3,3,0,150029,,11012,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22097,石镐+收割者,540097,,,,,,,,,,1,0,,3,3,0,150029,,11012,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22098,石镐+能量剑,540098,,,,,,,,,,1,0,,3,3,0,150029,,11012,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22099,石镐+石矛,540099,,,,,,,,,,1,0,,3,3,0,150029,,11012,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22100,石镐+黄铜矛,540100,,,,,,,,,,1,0,,3,3,0,150029,,11012,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22101,石镐+能量矛,540101,,,,,,,,,,1,0,,3,3,0,150029,,11012,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22102,石镐+魔鬼鱼叉,540102,,,,,,,,,,1,0,,3,3,0,150029,,11012,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22103,铸铁镐+黄铜镐,540103,,,,,,,,,,1,0,,3,3,0,150029,,11013,1,,11011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22104,铸铁镐+石镐,540104,,,,,,,,,,1,0,,3,3,0,150029,,11013,1,,11012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22105,铸铁镐+铸铁镐,540105,,,,,,,,,,1,0,,3,3,0,150029,,11013,1,,11013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22106,铸铁镐+木棒,540106,,,,,,,,,,1,0,,3,3,0,150029,,11013,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22107,铸铁镐+尖尖碰碰锤,540107,,,,,,,,,,1,0,,3,3,0,150029,,11013,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22108,铸铁镐+冻结棒,540108,,,,,,,,,,1,0,,3,3,0,150029,,11013,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22109,铸铁镐+钛金战锤,540109,,,,,,,,,,1,0,,3,3,0,150029,,11013,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22110,铸铁镐+石剑,540110,,,,,,,,,,1,0,,3,3,0,150029,,11013,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22111,铸铁镐+短剑,540111,,,,,,,,,,1,0,,3,3,0,150029,,11013,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22112,铸铁镐+收割者,540112,,,,,,,,,,1,0,,3,3,0,150029,,11013,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22113,铸铁镐+能量剑,540113,,,,,,,,,,1,0,,3,3,0,150029,,11013,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22114,铸铁镐+石矛,540114,,,,,,,,,,1,0,,3,3,0,150029,,11013,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22115,铸铁镐+黄铜矛,540115,,,,,,,,,,1,0,,3,3,0,150029,,11013,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22116,铸铁镐+能量矛,540116,,,,,,,,,,1,0,,3,3,0,150029,,11013,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22117,铸铁镐+魔鬼鱼叉,540117,,,,,,,,,,1,0,,3,3,0,150029,,11013,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22118,钛合金镐+黄铜镐,540118,,,,,,,,,,1,0,,3,3,0,150029,,11014,1,,11011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22119,钛合金镐+石镐,540119,,,,,,,,,,1,0,,3,3,0,150029,,11014,1,,11012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22120,钛合金镐+铸铁镐,540120,,,,,,,,,,1,0,,3,3,0,150029,,11014,1,,11013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22121,钛合金镐+钛合金镐,540121,,,,,,,,,,1,0,,3,3,0,150029,,11014,1,,11014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22122,钛合金镐+木棒,540122,,,,,,,,,,1,0,,3,3,0,150029,,11014,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22123,钛合金镐+尖尖碰碰锤,540123,,,,,,,,,,1,0,,3,3,0,150029,,11014,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22124,钛合金镐+冻结棒,540124,,,,,,,,,,1,0,,3,3,0,150029,,11014,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22125,钛合金镐+钛金战锤,540125,,,,,,,,,,1,0,,3,3,0,150029,,11014,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22126,钛合金镐+石剑,540126,,,,,,,,,,1,0,,3,3,0,150029,,11014,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22127,钛合金镐+短剑,540127,,,,,,,,,,1,0,,3,3,0,150029,,11014,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22128,钛合金镐+收割者,540128,,,,,,,,,,1,0,,3,3,0,150029,,11014,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22129,钛合金镐+能量剑,540129,,,,,,,,,,1,0,,3,3,0,150029,,11014,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22130,钛合金镐+石矛,540130,,,,,,,,,,1,0,,3,3,0,150029,,11014,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22131,钛合金镐+黄铜矛,540131,,,,,,,,,,1,0,,3,3,0,150029,,11014,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22132,钛合金镐+能量矛,540132,,,,,,,,,,1,0,,3,3,0,150029,,11014,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22133,钛合金镐+魔鬼鱼叉,540133,,,,,,,,,,1,0,,3,3,0,150029,,11014,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22134,钻头+黄铜镐,540134,,,,,,,,,,1,0,,3,3,0,150029,,11015,1,,11011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22135,钻头+石镐,540135,,,,,,,,,,1,0,,3,3,0,150029,,11015,1,,11012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22136,钻头+铸铁镐,540136,,,,,,,,,,1,0,,3,3,0,150029,,11015,1,,11013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22137,钻头+钛合金镐,540137,,,,,,,,,,1,0,,3,3,0,150029,,11015,1,,11014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22138,钻头+钻头,540138,,,,,,,,,,1,0,,3,3,0,150029,,11015,1,,11015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22139,钻头+星瞳钻头,540139,,,,,,,,,,1,0,,3,3,0,150029,,11015,1,,11016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22140,钻头+木棒,540140,,,,,,,,,,1,0,,3,3,0,150029,,11015,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22141,钻头+尖尖碰碰锤,540141,,,,,,,,,,1,0,,3,3,0,150029,,11015,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22142,钻头+冻结棒,540142,,,,,,,,,,1,0,,3,3,0,150029,,11015,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22143,钻头+钛金战锤,540143,,,,,,,,,,1,0,,3,3,0,150029,,11015,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22144,钻头+石剑,540144,,,,,,,,,,1,0,,3,3,0,150029,,11015,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22145,钻头+短剑,540145,,,,,,,,,,1,0,,3,3,0,150029,,11015,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22146,钻头+收割者,540146,,,,,,,,,,1,0,,3,3,0,150029,,11015,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22147,钻头+能量剑,540147,,,,,,,,,,1,0,,3,3,0,150029,,11015,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22148,钻头+石矛,540148,,,,,,,,,,1,0,,3,3,0,150029,,11015,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22149,钻头+黄铜矛,540149,,,,,,,,,,1,0,,3,3,0,150029,,11015,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22150,钻头+能量矛,540150,,,,,,,,,,1,0,,3,3,0,150029,,11015,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22151,钻头+魔鬼鱼叉,540151,,,,,,,,,,1,0,,3,3,0,150029,,11015,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22152,星瞳钻头+黄铜镐,540152,,,,,,,,,,1,0,,3,3,0,150029,,11016,1,,11011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22153,星瞳钻头+石镐,540153,,,,,,,,,,1,0,,3,3,0,150029,,11016,1,,11012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22154,星瞳钻头+铸铁镐,540154,,,,,,,,,,1,0,,3,3,0,150029,,11016,1,,11013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22155,星瞳钻头+钛合金镐,540155,,,,,,,,,,1,0,,3,3,0,150029,,11016,1,,11014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22156,星瞳钻头+星瞳钻头,540156,,,,,,,,,,1,0,,3,3,0,150029,,11016,1,,11016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22157,星瞳钻头+木棒,540157,,,,,,,,,,1,0,,3,3,0,150029,,11016,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22158,星瞳钻头+尖尖碰碰锤,540158,,,,,,,,,,1,0,,3,3,0,150029,,11016,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22159,星瞳钻头+冻结棒,540159,,,,,,,,,,1,0,,3,3,0,150029,,11016,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22160,星瞳钻头+钛金战锤,540160,,,,,,,,,,1,0,,3,3,0,150029,,11016,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22161,星瞳钻头+石剑,540161,,,,,,,,,,1,0,,3,3,0,150029,,11016,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,星瞳钻头+短剑,540162,,,,,,,,,,1,0,,3,3,0,150029,,11016,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22163,星瞳钻头+收割者,540163,,,,,,,,,,1,0,,3,3,0,150029,,11016,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22164,星瞳钻头+能量剑,540164,,,,,,,,,,1,0,,3,3,0,150029,,11016,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22165,星瞳钻头+石矛,540165,,,,,,,,,,1,0,,3,3,0,150029,,11016,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22166,星瞳钻头+黄铜矛,540166,,,,,,,,,,1,0,,3,3,0,150029,,11016,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22167,星瞳钻头+能量矛,540167,,,,,,,,,,1,0,,3,3,0,150029,,11016,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22168,星瞳钻头+魔鬼鱼叉,540168,,,,,,,,,,1,0,,3,3,0,150029,,11016,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22169,黄铜铲+黄铜铲,540169,,,,,,,,,,1,0,,3,3,0,150029,,11021,1,,11021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22170,黄铜铲+石铲,540170,,,,,,,,,,1,0,,3,3,0,150029,,11021,1,,11022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22171,黄铜铲+木棒,540171,,,,,,,,,,1,0,,3,3,0,150029,,11021,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22172,黄铜铲+尖尖碰碰锤,540172,,,,,,,,,,1,0,,3,3,0,150029,,11021,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22173,黄铜铲+冻结棒,540173,,,,,,,,,,1,0,,3,3,0,150029,,11021,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22174,黄铜铲+钛金战锤,540174,,,,,,,,,,1,0,,3,3,0,150029,,11021,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22175,黄铜铲+石剑,540175,,,,,,,,,,1,0,,3,3,0,150029,,11021,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22176,黄铜铲+短剑,540176,,,,,,,,,,1,0,,3,3,0,150029,,11021,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22177,黄铜铲+收割者,540177,,,,,,,,,,1,0,,3,3,0,150029,,11021,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22178,黄铜铲+能量剑,540178,,,,,,,,,,1,0,,3,3,0,150029,,11021,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22179,黄铜铲+石矛,540179,,,,,,,,,,1,0,,3,3,0,150029,,11021,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22180,黄铜铲+黄铜矛,540180,,,,,,,,,,1,0,,3,3,0,150029,,11021,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22181,黄铜铲+能量矛,540181,,,,,,,,,,1,0,,3,3,0,150029,,11021,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22182,黄铜铲+魔鬼鱼叉,540182,,,,,,,,,,1,0,,3,3,0,150029,,11021,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22183,石铲+石铲,540183,,,,,,,,,,1,0,,3,3,0,150029,,11022,1,,11022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22184,石铲+木棒,540184,,,,,,,,,,1,0,,3,3,0,150029,,11022,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22185,石铲+尖尖碰碰锤,540185,,,,,,,,,,1,0,,3,3,0,150029,,11022,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22186,石铲+冻结棒,540186,,,,,,,,,,1,0,,3,3,0,150029,,11022,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22187,石铲+钛金战锤,540187,,,,,,,,,,1,0,,3,3,0,150029,,11022,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22188,石铲+石剑,540188,,,,,,,,,,1,0,,3,3,0,150029,,11022,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22189,石铲+短剑,540189,,,,,,,,,,1,0,,3,3,0,150029,,11022,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22190,石铲+收割者,540190,,,,,,,,,,1,0,,3,3,0,150029,,11022,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22191,石铲+能量剑,540191,,,,,,,,,,1,0,,3,3,0,150029,,11022,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22192,石铲+石矛,540192,,,,,,,,,,1,0,,3,3,0,150029,,11022,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22193,石铲+黄铜矛,540193,,,,,,,,,,1,0,,3,3,0,150029,,11022,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
