功能操作ID,备注(自己看),UI名称（IDString）,分类(暂时没用上),UI描述（IDString）,图标,技能类型[0=点击目标，1=无目标，2=不主动释放],键位[0=左键/屏幕，1=右键/屏幕，2=右键/使用按钮],蓄力模式[0=不蓄力，1=蓄力中途可以释放，2=蓄满才能释放，3=蓄满自动释放],蓄力时间[单位0.1秒],蓄力移动速度[百分比],操作间隔[0.01秒]-暂时用不上,冷却时间[单位1秒],使用距离[单位厘米],目标类型[0=生物，1=方块，2=物理对象],目标种类[当目标类型为生物，-1=所有生物，0=怪物，1=动物，2=稀有动物，3=水生物，4=移动工具，5=村民，6=boss，7=Npc，8=飞行生物，9=除怪物以外的所有生物（包括玩家）][当目标类型为方块，0=所有方块，1=木头，2=石头，3=泥土，5=树叶羊毛],精确目标[ID],目标队伍[0=不限队伍，1=同队伍，2=不同队伍],特殊类型标记（暂时没用到）,"目标范围类型[0=单体，1=射线，2=立方体,3=圆柱体]",目标范围类型参数1[射线的长度 or 立体的长 or 圆柱体半径]（100=1格）,目标范围类型参数2[射线的半径 or 立体的宽 or 圆柱体角度]（100=1格）,目标范围类型参数3[立体的高 or 圆柱体的高]（100=1格）,第一人称启动动作,第一人称蓄力动作,第一人称释放动作,第三人称启动动作,第三人称蓄力动作,第三人称释放动作,启动音效,蓄力音效,释放音效,启动特效,蓄力特效,释放特效,目标地点特效(暂时没用上),目标特效,消耗[数组]（type：0=耐久，1=饥饿，2=弹药，3=体力）,"效果[数组，1=方块操作（Type：5：替换方块为指定方块），2=攻击，3=加状态，4=击飞，5=召唤，6=治疗，7=发射投掷物，8=图纸，9=变蛋，10=接剧情，11-13都被占用，14=加状态（自身），15=引雷，16=巴啦啦变身，17=清除某类型状态，18=给某类型生物加状态,19=Actor,20=架盾,21=穿刺投掷,22=削韧]"
341,蓄力钓鱼,6500,,6501,104,1,2,1,0.1,0.8,,0.1,500,1,-1,,,,2,500,500,500,,,,,,,,,,,,,,,,
342,成功钓鱼扣耐久,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""CostType"":0,""CostVal"":5}]",
343,冰魄法杖发射,,,,,2,,,20,0.5,,8,,,,,,,,,,,101111,101111,,,100116,,,item_11580.gather,item_11580.fire,,item_staffgather_cure,staffshot_cure,,,,"[{""function_id"":7,""ProjectileID"":11669,""SpeedAdd"":0}]"
344,极寒域法杖发射,,,,,2,,,20,0.5,,8,,,,,,,,,,,101111,101111,,,100116,,,item_11580.gather,item_11580.fire,,item_staffgather_cure,staffshot_cure,,,,"[{""function_id"":7,""ProjectileID"":11670,""SpeedAdd"":0}]"
345,冰魄,,,,,2,,,,,,,,0,-1,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":3,""ToBlockID"":123},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":4,""ToBlockID"":123},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":5,""ToBlockID"":1757},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":6,""ToBlockID"":1757},{""function_id"":3,""BuffID"":1038002,""Duration"":5,""Odds"":100},{""function_id"":3,""BuffID"":1037001,""Duration"":3,""Odds"":100}]"
346,极寒域,,,,,2,,,,,,,,0,-1,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":3,""ToBlockID"":123},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":4,""ToBlockID"":123},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":5,""ToBlockID"":1757},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":6,""ToBlockID"":1757},{""function_id"":3,""BuffID"":1038002,""Duration"":5,""Odds"":100}]"
347,生成冰雾,,,,,2,,,,,,,,0,-1,,,,2,800,800,800,,,,,,,,,,,,,,,,"[{""function_id"":3,""BuffID"":1038003,""Duration"":3,""Odds"":100}]"
350,布丁块,,,,,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":1,""ActionType"":1,""DropOut"":1,""BlockID"":1992}]"
351,传送球,,,,,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":19,""ActorName"":""ActorPortal"",""Num"":1}]"
352,木盾技能,,,,,2,2,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""CostType"":3,""CostVal"":3}]","[{""function_id"":20,""DefenceRange"":70,""DamageReduce"":0,""KnockbackResist"":0.2}]"
353,铜盾技能,,,,,2,2,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""CostType"":3,""CostVal"":2}]","[{""function_id"":20,""DefenceRange"":80,""DamageReduce"":0,""KnockbackResist"":0.4}]"
354,钛金盾技能,,,,,2,2,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""CostType"":3,""CostVal"":1}]","[{""function_id"":20,""DefenceRange"":90,""DamageReduce"":0,""KnockbackResist"":0.6}]"
355,蝎壳盾技能,,,,,2,2,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""CostType"":3,""CostVal"":1}]","[{""function_id"":20,""DefenceRange"":100,""DamageReduce"":0,""KnockbackResist"":0.8}]"
356,蝎刺盾技能,,,,,2,2,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""CostType"":3,""CostVal"":2}]","[{""function_id"":20,""DefenceRange"":90,""DamageReduce"":0,""KnockbackResist"":0.5,""GainBuff"":1071001}]"
357,石剑技能,,,,,1,2,2,1,0.8,,8,,0,-1,,,,2,300,150,200,101111,101111,,,100150,100151,,item_11580.gather,item.12005.charge4,,,item_12005_4,,,"[{""CostType"":0,""CostVal"":5},{""CostType"":3,""CostVal"":5}]","[{""function_id"":2,""AttackType"":1,""AttackVal"":15},{""function_id"":22,""TouReduce"":10}]"
358,短剑技能,,,,,1,2,2,1,0.8,,8,,0,-1,,,,2,500,150,200,101111,101111,,,100150,100151,,item_11580.gather,item.12005.charge4,,,item_12005_4,,,"[{""CostType"":0,""CostVal"":5},{""CostType"":3,""CostVal"":5}]","[{""function_id"":2,""AttackType"":1,""AttackVal"":25},{""function_id"":22,""TouReduce"":15}]"
359,收割者技能,,,,,1,2,2,1,0.7,,8,,0,-1,,,,2,500,150,200,101111,101111,,,100150,100151,,item_11580.gather,item.12005.charge4,,,item_12005_4,,,"[{""CostType"":0,""CostVal"":5},{""CostType"":3,""CostVal"":5}]","[{""function_id"":2,""AttackType"":1,""AttackVal"":25},{""function_id"":22,""TouReduce"":20}]"
360,穿刺投掷,6500,,6501,101,2,,,,,,,,0,-1,,,,,,,,,,,,,,,,,,,,,,,"[{""function_id"":21,""PunctureNum"":-1}]"
361,木棒技能,,,,,1,2,2,3,0.5,,10,,0,-1,,,,2,200,200,200,101111,101111,,600139,600139,600140,,item_11580.gather,,,,,,,"[{""CostType"":0,""CostVal"":5},{""CostType"":3,""CostVal"":5}]","[{""function_id"":2,""AttackType"":1,""AttackVal"":25},{""function_id"":3,""BuffID"":1019001,""Duration"":2,""Odds"":0},{""function_id"":22,""TouReduce"":20}]"
362,尖尖碰碰锤技能,,,,,1,2,2,2,0.5,,10,,0,-1,,,,2,200,200,200,101111,101111,,600139,600139,600140,,item_11580.gather,,,,,,,"[{""CostType"":0,""CostVal"":5},{""CostType"":3,""CostVal"":5}]","[{""function_id"":2,""AttackType"":1,""AttackVal"":3},{""function_id"":3,""BuffID"":1019001,""Duration"":1,""Odds"":0},{""function_id"":3,""BuffID"":1020001,""Duration"":3,""Odds"":0},{""function_id"":22,""TouReduce"":30}]"
363,冻结棒技能,,,,,1,2,2,2,0.5,,10,,0,-1,,,,2,300,200,200,101111,101111,,600139,600139,600140,,item_11580.gather,,,,,,,"[{""CostType"":0,""CostVal"":5},{""CostType"":3,""CostVal"":5}]","[{""function_id"":2,""AttackType"":1,""AttackVal"":3},{""function_id"":3,""BuffID"":1019001,""Duration"":1,""Odds"":0},{""function_id"":3,""BuffID"":1050001,""Duration"":3,""Odds"":0},{""function_id"":22,""TouReduce"":30}]"
364,燃烧弹,,,,100,2,,,,,,,,0,0,,,,3,200,360,500,,,,,,,,,,,,,,,,"[{""function_id"":1,""ActionType"":1,""DropOut"":0,""BlockID"":500},{""function_id"":24,""ActionType"":1,""DropOut"":0,""BlockID"":500}]"
400,接剧情,6500,,6501,109,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,,"[{""function_id"":10,""Type"":1,""ID"":6}]"
500,模板,6500,,6501,100,1,2,2,1.5,0.7,,5,500,0,-1,,,,0,200,200,200,101130,101131,101132,,100148,100147,,,,,,,,,,
600,道具配方-田园坐垫-蓝,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""201528"",""UnlockType"":1}]"
601,道具配方-田园单人床,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""201508"",""UnlockType"":1}]"
602,道具配方-田园衣柜,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""201501"",""UnlockType"":1}]"
603,道具配方-田园箱子,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""201502"",""UnlockType"":1}]"
604,道具配方-田园方桌-黄,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""201531"",""UnlockType"":1}]"
605,道具配方-田园方桌-蓝,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""201532"",""UnlockType"":1}]"
606,道具配方-田园方桌-绿,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""201533"",""UnlockType"":1}]"
607,道具配方-田园花盆-白,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""201516"",""UnlockType"":1}]"
608,道具配方-田园花盆-蓝,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""201529"",""UnlockType"":1}]"
609,道具配方-田园花盆-红,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""201530"",""UnlockType"":1}]"
610,道具配方-田园壁灯,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""201510"",""UnlockType"":1}]"
611,道具配方-田园窗帘,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""201511"",""UnlockType"":1}]"
612,道具配方-田园壁炉,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""201512"",""UnlockType"":1}]"
613,道具配方-田园地毯,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""201513"",""UnlockType"":1}]"
620,图纸-四格土砖,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""160011"",""UnlockType"":1}]"
621,图纸-棱纹土砖,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""160014"",""UnlockType"":1}]"
622,图纸-花横纹土砖,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""160015"",""UnlockType"":1}]"
623,图纸-花横纹土砖楼梯,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""169012"",""UnlockType"":1}]"
624,图纸-花横纹土砖薄板,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""161012"",""UnlockType"":1}]"
625,图纸-竖纹土砖,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""160016"",""UnlockType"":1}]"
626,图纸-竖纹土砖竖薄板,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""162013"",""UnlockType"":1}]"
627,图纸-四格黄砖,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""160017"",""UnlockType"":1}]"
628,图纸-多格黄砖,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""160019"",""UnlockType"":1}]"
629,图纸-花横纹黄砖,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""160020"",""UnlockType"":1}]"
630,图纸-花横纹黄砖楼梯,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""169013"",""UnlockType"":1}]"
631,图纸-花横纹黄砖薄板,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""161013"",""UnlockType"":1}]"
632,图纸-竖纹黄砖,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""160021"",""UnlockType"":1}]"
633,图纸-竖纹黄砖竖薄板,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""162014"",""UnlockType"":1}]"
634,图纸-四格砂土砖,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""160023"",""UnlockType"":1}]"
635,图纸-多格砂土砖,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""160025"",""UnlockType"":1}]"
636,图纸-多格砂土砖楼梯,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""169014"",""UnlockType"":1}]"
637,图纸-多格砂土砖竖薄板,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""162015"",""UnlockType"":1}]"
638,图纸-多格砂土砖薄板,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""161014"",""UnlockType"":1}]"
640,图纸-精制多格石砖,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""160037"",""UnlockType"":1}]"
641,图纸-精制扇纹多格石砖,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""160038"",""UnlockType"":1}]"
642,图纸-精制花横纹石砖,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""160040"",""UnlockType"":1}]"
643,图纸-精制花横纹石楼梯,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""169022"",""UnlockType"":1}]"
644,图纸-精制花横纹石薄板,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""161022"",""UnlockType"":1}]"
645,图纸-精制竖纹石砖,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""160041"",""UnlockType"":1}]"
646,图纸-精制竖纹石竖薄板,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""162023"",""UnlockType"":1}]"
647,图纸-天青蓝水蘑石块,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""160033"",""UnlockType"":1}]"
648,图纸-天青蓝水蘑石薄板,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""161020"",""UnlockType"":1}]"
649,图纸-天青蓝水蘑石竖薄板,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""162021"",""UnlockType"":1}]"
650,图纸-天青蓝水蘑石楼梯,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""169020"",""UnlockType"":1}]"
651,图纸-天青蓝水蘑石斜板,,,,icon11916,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":8,""ItemID"":""163022"",""UnlockType"":1}]"
