方块ID,方块名称,预制文件名,英文名称,插件用名称[必填/不能有空格],繁体名称,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）,类别,插件编辑[大于0开放插件编辑，1=综合，2=彩色，3=建筑],触发器开放[1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块],地形编辑器开放[1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块],成长后替换的模型ID,插件编辑模板[0=不是模板，1=作为模板],变换颜色,鼠标点击碰撞,移动碰撞[0=空气， 1=固体， 2= 液体， 3=不阻挡投射物，4=空气挡子弹，5=不阻挡物理],阻挡水流（0=不阻挡，1=阻挡，2=被流沙同化，3=覆盖阻挡）,"推动标识-0:普通推动后续方块, 1:推动碾碎, 2:不能推动",重力影响方式0:不影响， 1: 沙子会下坠， 2: 流体会往低处流， 3：花草会破坏,PlaceDir(0：没有方向，1：和放置的面相关，类似火把，  2：和自己视线的方向相关，类似楼梯),放置可直接替换,植物标识（填了1就视为是植物方块）,生长时间（生长阶段数|阶段生成时间）,覆雪标识[默认0=不覆雪 1=覆雪],爆炸抗性,硬度,地滑程度,燃烧速度,点燃概率,毒液侵蚀速度,充能状态,掉落物1,掉落概率1,掉落物2,掉落概率2,空手掉落物,空手掉落概率,采集掉落经验,掉落经验概率,掉落的星星数量（数组，两个值随机）,"遮挡旁边块0: 不遮挡， 1: 遮挡， 2： 根据厚度来定,  3: 遮挡相同材质",光衰减,光源强度,使用旁边方块的光照,高度（block),贴图1,贴图2/模型类这里填模型名称,prefab资源（用到prefab资源的方块填此字段）,走在上面声音,挖的声音,放置的声音,精准掉落物品,采集工具/1=斧头，2=镐，3=铲子，5=剪刀,工具等级（1=石，2=铜，3=铁，4=铝，5=钛，6=钴，7=钨）,随机颜色【地形生成树的时候会从三个颜色里等概率随机一个，以012的形式存于blockdata】,小地图颜色,分数,特殊数据1,可被投掷物击碎,特效名字,蓝图方块分类[多类相加，1=不能复制 2=不消耗 4=有方向的方块 8=随机数 16=多方向 32=不能替换],所需材料替换方块[蓝图],物理碰撞（0-无碰撞，1-满1格碰撞，2-不满一格的碰撞，3-门那种， 6-会根据方块data改变形状）,微缩透明度(0全透 15不透明),微缩发光度(0最亮 15不发光),温度源强度（用于计算温度源的热传导）,温度衰减（用于计算温度源的传热衰减）,植物生长温度区间（1=冻结，2=极寒，3=寒冷，4=适宜，5=炎热，6=极热，7=自燃；不在适宜温度区间则会降低生长速度，仅对cropper，flowergrow，melonstem，shrub这几个type生效；0或不填则不开启）,"多格方块类型(0非多格,1多格例如床钢琴箱子等)",韧度值,LOD等级(默认为0，0=强制显示),是否产生阴影(默认为1),是否按屏幕空间大小的方式裁剪(默认是1),破坏中的掉落粒子使用的特效文件，填文件名称，默认填空为使用通用粒子；文件地址：CommonResource\Assets\Resources\minigame\prefab\particles,破坏后的掉落粒子使用的特效文件，填文件名称，默认填空为使用通用粒子；文件地址：CommonResource\Assets\Resources\minigame\prefab\particles,挖掘附属特效（例如石头-火花）,可否被变向（0没有方向无法变向，1四向，2六、八向，3特殊处理）,自发光颜色,不透明度(0-255),"方块结构标识-0:可被推动、转动, 1:推动、转动碾碎, 2:不能推动、转动",里世界交互标识（0不可被交互，1可被交互）,PBR功能贴图,蓝图方块价值,替换绘制类型（BlockDrawType）,是否可活化,HDR自发光强度系数
160033,天青蓝水蘑石块,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,10,1,0,,0,,160033,10000,0,0,160033,10000,,,,2,15,0,,1,terrazzo_skyblue,,,blocks.stone,blocks.stone,blockd.stone,160033,2,1,,87ceeb,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160034,菌菇板,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,1,5,1,0,,0,,160034,10000,0,0,160034,10000,,,,2,15,0,,1,mushroom_plank,,,blocks.wood,blocks.wood,blockd.wood,160034,1,1,,c67b5b,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160035,精制四格石砖,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160035,10000,0,0,160035,10000,,,,2,15,0,,1,refined_four_grid_stone_brick,,,blocks.stone,blocks.stone,blockd.stone,160035,2,1,,84887e,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160036,精制完整石砖,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160036,10000,0,0,160036,10000,,,,2,15,0,,1,refined_complete_stone_brick,,,blocks.stone,blocks.stone,blockd.stone,160036,2,1,,84887e,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160037,精制多格石砖,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160037,10000,0,0,160037,10000,,,,2,15,0,,1,refined_multi_grid_stone_brick,,,blocks.stone,blocks.stone,blockd.stone,160037,2,1,,84887e,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160038,精制扇纹多格石砖,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160038,10000,0,0,160038,10000,,,,2,15,0,,1,refined_fan_patterned_multi_grid_stone_brick,,,blocks.stone,blocks.stone,blockd.stone,160038,2,1,,84887e,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160039,精制完整镶边石砖,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160039,10000,0,0,160039,10000,,,,2,15,0,,1,refined_and_complete_edged_stone_brick,,,blocks.stone,blocks.stone,blockd.stone,160039,2,1,,84887e,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160040,精制花横纹石砖,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160040,10000,0,0,160040,10000,,,,2,15,0,,1,refined_horizontal_striped_patterned_stone_brick,,,blocks.stone,blocks.stone,blockd.stone,160040,2,1,,84887e,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160041,精制竖纹石砖,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160041,10000,0,0,160041,10000,,,,2,15,0,,1,refined_vertical_striped_stone_brick,,,blocks.stone,blocks.stone,blockd.stone,160041,2,1,,84887e,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160042,粗制四格垒石砖,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160042,10000,0,0,160042,10000,,,,2,15,0,,1,rough_four_grid_stacked_stone_brick,,,blocks.stone,blocks.stone,blockd.stone,160042,2,1,,84887e,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160043,粗制完整石砖,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160043,10000,0,0,160043,10000,,,,2,15,0,,1,rough_complete_stone_brick,,,blocks.stone,blocks.stone,blockd.stone,160043,2,1,,84887e,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160044,粗制多格石砖,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160044,10000,0,0,160044,10000,,,,2,15,0,,1,rough_multi_grid_stone_brick,,,blocks.stone,blocks.stone,blockd.stone,160044,2,1,,84887e,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160045,粗制竖纹石砖,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160045,10000,0,0,160045,10000,,,,2,15,0,,1,rough_vertical_striped_stone_brick,,,blocks.stone,blocks.stone,blockd.stone,160045,2,1,,84887e,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160046,粗制苔藓石砖,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160046,10000,0,0,160046,10000,,,,2,15,0,,1,rough_mossy_stone_brick,,,blocks.stone,blocks.stone,blockd.stone,160046,2,1,,6e7463,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160047,橙色屋顶块,,OrangeRoofBlock,OrangeRoofBlock,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160047,10000,0,0,160047,10000,,,,2,15,0,,1,countryroofblock_orange,,,blocks.stone,blocks.stone,blockd.stone,160047,2,1,,C1A661,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160048,紫色屋顶块,,PurpleRoofBlock,PurpleRoofBlock,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160048,10000,0,0,160048,10000,,,,2,15,0,,1,countryroofblock_purple,,,blocks.stone,blocks.stone,blockd.stone,160048,2,1,,9370DB,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160049,多竖格釉面砖,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160049,10000,0,0,160049,10000,,,,2,15,0,,1,multi_vertical_grid_glazed_block,,,blocks.stone,blocks.stone,blockd.stone,160049,2,1,,84887e,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160050,斜向绿白格釉面砖,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160050,10000,0,0,160050,10000,,,,2,15,0,,1,diagonal_green_white_glazed_block,,,blocks.stone,blocks.stone,blockd.stone,160050,2,1,,84887e,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160051,完整釉面砖,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160051,10000,0,0,160051,10000,,,,2,15,0,,1,complete_glazed_block,,,blocks.stone,blocks.stone,blockd.stone,160051,2,1,,84887e,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160052,绿白马赛克釉面砖,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160052,10000,0,0,160052,10000,,,,2,15,0,,1,green_white_mosaic_glazed_block,,,blocks.stone,blocks.stone,blockd.stone,160052,2,1,,D0C4A8,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160053,灰绿马赛克釉面砖,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160053,10000,0,0,160053,10000,,,,2,15,0,,1,gray_green_mosaic_glazed_block,,,blocks.stone,blocks.stone,blockd.stone,160053,2,1,,788D6F,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160054,灰蓝马赛克釉面砖,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160054,10000,0,0,160054,10000,,,,2,15,0,,1,gray_blue_mosaic_glazed_block,,,blocks.stone,blocks.stone,blockd.stone,160054,2,1,,B4BDBF,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160055,土黄竖条格釉面砖,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160055,10000,0,0,160055,10000,,,,2,15,0,,1,ochre_vertical_grid_glazed_block,,,blocks.stone,blocks.stone,blockd.stone,160055,2,1,,C1A272,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
160056,浅蓝多竖格釉面砖,,,,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,100,15,1,0,,0,,160056,10000,0,0,160056,10000,,,,2,15,0,,1,light_blue_multi_vertical_grid_glazed_block,,,blocks.stone,blocks.stone,blockd.stone,160056,2,1,,2FACCD,,,,,,,1,15,15,,1,,,10,,,,,,,0,,255,0,1,,0.2,,1,
161000,161000-161999为多边形1/4薄砖方块,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161000,,,,161000,,,,,,,,,,,,,,,,161000,,,,,,,,,,,,,,,1,,,,,,,,,,0,,0,,0,,0,,,
161001,厚雪薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,3,1.5,1,0,,0,,161001,10000,0,0,161001,10000,,,,2,15,0,,1,snow,,,blocks.snow,blockd.snow,,161001,3,1,,d4f4f5,,,,,,,2,15,15,,1,,,,,,,,,,0,,255,0,1,,0.2,,,
161002,自然冰薄板,,,,,,crackslab,3,4,4,,,,1,1,3,0,0,2,,,,,2,5,1.6,0,,0,,161002,10000,0,0,161002,10000,,,,2,15,0,,1,ice,,,blocks.stone,blockd.stone,,161002,2,1,,5bc0ee,,,,,,,2,15,15,,1,,,1,,,,,,,0,,255,0,0,,0.2,,,
161003,永冻冰薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,10,5,1.6,0,,0,,161003,10000,0,0,161003,10000,,,,2,15,4,,1,eternal_ice,,,blocks.stone,blockd.stone,,161003,2,1,,5bc0ee,,,,,,,2,15,15,,1,,,1,,,,,,,0,c6d6dc,255,0,1,,0.2,,,2
161004,[水墨]黑墨薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,10,5,1,0,,0,,161004,10000,0,0,161004,10000,,,,2,15,0,,1,ink_black,,,blocks.stone,blockd.stone,,161004,2,1,,5bc0ee,,,,,,,2,15,15,,1,,,1,,,,,,,0,,255,0,1,,0.5,,,
161005,[水墨]灰墨薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,10,5,1,0,,0,,161005,10000,0,0,161005,10000,,,,2,15,0,,1,ink_grey,,,blocks.stone,blockd.stone,,161005,2,1,,5bc0ee,,,,,,,2,15,15,,1,,,1,,,,,,,0,,255,0,1,,0.5,,,
161006,[水墨]墨灰砖薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,10,5,1,0,,0,,161006,10000,0,0,161006,10000,,,,2,15,0,,1,ink_greybrick,,,blocks.stone,blockd.stone,,161006,2,1,,5bc0ee,,,,,,,2,15,15,,1,,,1,,,,,,,0,,255,0,1,,0.5,,,
161007,[水墨]墨白砖薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,10,5,1,0,,0,,161007,10000,0,0,161007,10000,,,,2,15,0,,1,ink_whitebrick,,,blocks.stone,blockd.stone,,161007,2,1,,5bc0ee,,,,,,,2,15,15,,1,,,1,,,,,,,0,,255,0,1,,0.5,,,
161008,[水墨]宣纸薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,10,5,1,0,,0,,161008,10000,0,0,161008,10000,,,,2,15,0,,1,xuanzhi,,,blocks.stone,blockd.stone,,161008,2,1,,5bc0ee,,,,,,,2,15,15,,1,,,1,,,,,,,0,,255,0,1,,0.5,,,
161009,[水墨]瓦片薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,10,5,1,0,,0,,161009,10000,0,0,161009,10000,,,,2,15,0,,1,wapian,,,blocks.stone,blockd.stone,,161009,2,1,,5bc0ee,,,,,,,2,15,15,,1,,,1,,,,,,,0,,255,0,1,,0.5,,,
161010,[水墨]茅草薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,10,5,1,0,,0,,161010,10000,0,0,161010,10000,,,,2,15,0,,1,maocao,,,blocks.stone,blockd.stone,,161010,2,1,,5bc0ee,,,,,,,2,15,15,,1,,,1,,,,,,,0,,255,0,1,,0.5,,,
161011,[水墨]青瓦薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,10,5,1,0,,0,,161011,10000,0,0,161011,10000,,,,2,15,0,,1,qingwa,,,blocks.stone,blockd.stone,,161011,2,1,,5bc0ee,,,,,,,2,15,15,,1,,,1,,,,,,,0,,255,0,1,,0.5,,,
161012,花横纹土砖薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,50,12,1,0,,0,,161012,10000,0,0,161012,10000,,,,2,15,0,,1,horizontal_striped_patterned_adobe_brick,,,blocks.stone,blockd.stone,blockd.stone,161012,2,1,,84887e,,,,,,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,0.2,,,
161013,花横纹黄砖薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,50,12,1,0,,0,,161013,10000,0,0,161013,10000,,,,2,15,0,,1,horizontal_striped_patterned_sand_brick,,,blocks.stone,blockd.stone,blockd.stone,161013,2,1,,84887e,,,,,,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,0.2,,,
161014,多格砂土砖薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,50,12,1,0,,0,,161014,10000,0,0,161014,10000,,,,2,15,0,,1,multi_grid_arenosol_brick,,,blocks.stone,blockd.stone,blockd.stone,161014,2,1,,c79d59,,,,,,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,0.2,,,
161015,蘑古砖薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,100,15,1,0,,0,,161015,10000,0,0,161015,10000,,,,2,15,0,,1,blue_rock_brick,,,blocks.stone,blocks.stone,blockd.stone,161015,2,1,,263235,,,,,,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,0.2,,,
161016,魔古砖薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,100,15,1,0,,0,,161016,10000,0,0,161016,10000,,,,2,15,0,,1,mogu_brick,,,blocks.stone,blocks.stone,blockd.stone,161016,2,1,,413250,,,,,,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,0.2,,,
161017,宝石蓝薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,100,6,1,0,,0,,161017,10000,0,0,161017,10000,,,,2,15,0,,1,planks_sapphireblue,,,blocks.wood,blocks.wood,blockd.wood,161017,1,1,,3b82f6,,,,,,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,0.2,,,
161018,花青紫薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,100,6,1,0,,0,,161018,10000,0,0,161018,10000,,,,2,15,0,,1,planks_anthocyaninpurple,,,blocks.wood,blocks.wood,blockd.wood,161018,1,1,,9b4dca,,,,,,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,0.2,,,
161019,浅色水蘑石薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,100,10,1,0,,0,,161019,10000,0,0,161019,10000,,,,2,15,0,,1,terrazzo_pale,,,blocks.stone,blocks.stone,blockd.stone,161019,2,1,,f5f5f5,,,,,,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,0.2,,,
161020,天青蓝水蘑石薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,100,10,1,0,,0,,161020,10000,0,0,161020,10000,,,,2,15,0,,1,terrazzo_skyblue,,,blocks.stone,blocks.stone,blockd.stone,161020,2,1,,87ceeb,,,,,,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,0.2,,,
161021,菌菇板薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,1,5,1,0,,0,,161021,10000,0,0,161021,10000,,,,2,15,0,,1,mushroom_plank,,,blocks.wood,blocks.wood,blockd.wood,161021,1,1,,c67b5b,,,,,,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,0.2,,,
161022,精制花横纹石薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,100,15,1,0,,0,,161022,10000,0,0,161022,10000,,,,2,15,0,,1,refined_horizontal_striped_patterned_stone_brick,,,blocks.stone,blocks.stone,blockd.stone,161022,2,1,,84887e,,,,,,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,0.2,,,
161023,粗制多格石薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,100,15,1,0,,0,,161023,10000,0,0,161023,10000,,,,2,15,0,,1,rough_multi_grid_stone_brick,,,blocks.stone,blocks.stone,blockd.stone,161023,2,1,,84887e,,,,,,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,0.2,,,
161024,横格釉面砖薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,100,15,1,0,,0,,161024,10000,0,0,161024,10000,,,,2,15,0,,1,glazed_tile_1,,,blocks.stone,blocks.stone,blockd.stone,161024,2,1,,84887e,,,,,,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,0.2,,,
161025,绿白马赛克釉面砖薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,100,15,1,0,,0,,161025,10000,0,0,161025,10000,,,,2,15,0,,1,green_white_mosaic_glazed_block,,,blocks.stone,blocks.stone,blockd.stone,161025,2,1,,D0C4A8,,,,,,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,0.2,,,
161026,灰绿马赛克釉面砖薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,100,15,1,0,,0,,161026,10000,0,0,161026,10000,,,,2,15,0,,1,gray_green_mosaic_glazed_block,,,blocks.stone,blocks.stone,blockd.stone,161026,2,1,,788D6F,,,,,,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,0.2,,,
161027,灰蓝马赛克釉面砖薄板,,,,,,slab,3,4,4,,,,1,1,3,0,0,2,,,,,100,15,1,0,,0,,161027,10000,0,0,161027,10000,,,,2,15,0,,1,gray_blue_mosaic_glazed_block,,,blocks.stone,blocks.stone,blockd.stone,161027,2,1,,B4BDBF,,,,,,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,0.2,,,
162000,162000-162999为多边形1/4竖薄砖方块,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162000,,,,162000,,,,,,,,,1,,,,,,,162000,,,,,,,,,,,,,,,1,,,,,,,,,,0,,0,,0,,0,,,
162001,软雪竖薄板,,,,,,varyverticalslab,3,4,4,,,,1,0,3,0,0,2,,,,,3,1.5,1,0,,0,,162001,10000,0,0,162001,10000,,,,2,15,0,,1,snow,,,blocks.snow,blockd.snow,,162001,3,1,,d4f4f5,,,,,,,2,15,15,,1,,,,,,,,,,1,,255,0,1,,0.2,,,
162002,厚雪竖薄板,,,,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,3,1.5,1,0,,0,,162002,10000,0,0,162002,10000,,,,2,15,0,,1,snow,,,blocks.snow,blockd.snow,,162002,3,1,,d4f4f5,,,,,,,2,15,15,,1,,,,,,,,,,1,,255,0,1,,0.2,,,
162003,自然冰竖薄板,,,,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,2,5,1.6,0,,0,,162003,10000,0,0,162003,10000,,,,2,15,0,,1,ice,,,blocks.stone,blockd.stone,,162003,2,1,,5bc0ee,,,,,,,2,15,15,,1,,,1,,,,,,,1,,255,0,1,,0.2,,,
162004,永冻冰竖薄板,,,,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,10,5,1.6,0,,0,,162004,10000,0,0,162004,10000,,,,2,15,4,,1,eternal_ice,,,blocks.stone,blockd.stone,,162004,2,1,,5bc0ee,,,,,,,2,15,15,,1,,,1,,,,,,,1,c6d6dc,255,0,1,,0.2,,,2
162005,[水墨]黑墨竖薄板,,,,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,10,5,1,0,,0,,162005,10000,0,0,162005,10000,,,,2,15,0,,1,ink_black,,,blocks.stone,blockd.stone,,162005,2,1,,5bc0ee,,,,,,,2,15,15,,1,,,1,,,,,,,1,,255,0,1,,0.5,,,
162006,[水墨]灰墨竖薄板,,,,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,10,5,1,0,,0,,162006,10000,0,0,162006,10000,,,,2,15,0,,1,ink_grey,,,blocks.stone,blockd.stone,,162006,2,1,,5bc0ee,,,,,,,2,15,15,,1,,,1,,,,,,,1,,255,0,1,,0.5,,,
162007,[水墨]墨灰砖竖薄板,,,,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,10,5,1,0,,0,,162007,10000,0,0,162007,10000,,,,2,15,0,,1,ink_greybrick,,,blocks.stone,blockd.stone,,162007,2,1,,5bc0ee,,,,,,,2,15,15,,1,,,1,,,,,,,1,,255,0,1,,0.5,,,
162008,[水墨]墨白砖竖薄板,,,,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,10,5,1,0,,0,,162008,10000,0,0,162008,10000,,,,2,15,0,,1,ink_whitebrick,,,blocks.stone,blockd.stone,,162008,2,1,,5bc0ee,,,,,,,2,15,15,,1,,,1,,,,,,,1,,255,0,1,,0.5,,,
162009,[水墨]宣纸竖薄板,,,,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,10,5,1,0,,0,,162009,10000,0,0,162009,10000,,,,2,15,0,,1,xuanzhi,,,blocks.stone,blockd.stone,,162009,2,1,,5bc0ee,,,,,,,2,15,15,,1,,,1,,,,,,,1,,255,0,1,,0.5,,,
162010,[水墨]瓦片竖薄板,,,,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,10,5,1,0,,0,,162010,10000,0,0,162010,10000,,,,2,15,0,,1,wapian,,,blocks.stone,blockd.stone,,162010,2,1,,5bc0ee,,,,,,,2,15,15,,1,,,1,,,,,,,1,,255,0,1,,0.5,,,
162011,[水墨]茅草竖薄板,,,,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,10,5,1,0,,0,,162011,10000,0,0,162011,10000,,,,2,15,0,,1,maocao,,,blocks.stone,blockd.stone,,162011,2,1,,5bc0ee,,,,,,,2,15,15,,1,,,1,,,,,,,1,,255,0,1,,0.5,,,
162012,[水墨]青瓦竖薄板,,,,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,10,5,1,0,,0,,162012,10000,0,0,162012,10000,,,,2,15,0,,1,qingwa,,,blocks.stone,blockd.stone,,162012,2,1,,5bc0ee,,,,,,,2,15,15,,1,,,1,,,,,,,1,,255,0,1,,0.5,,,
162013,竖纹土砖竖薄板,,,,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,50,12,1,0,,0,,162013,10000,0,0,162013,10000,,,,2,15,0,,1,vertical_striped_adobe_brick,,,blocks.stone,blockd.stone,blockd.stone,162013,2,1,,84887e,,,,,,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,0.2,,,
162014,竖纹黄砖竖薄板,,,,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,50,12,1,0,,0,,162014,10000,0,0,162014,10000,,,,2,15,0,,1,vertical_striped_sand_brick,,,blocks.stone,blockd.stone,blockd.stone,162014,2,1,,84887e,,,,,,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,0.2,,,
162015,多格砂土砖竖薄板,,,,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,50,12,1,0,,0,,162015,10000,0,0,162015,10000,,,,2,15,0,,1,multi_grid_arenosol_brick,,,blocks.stone,blockd.stone,blockd.stone,162015,2,1,,c79d59,,,,,,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,0.2,,,
162016,蘑古砖竖薄板,,,,,,varyverticalslab,3,4,4,,,,1,1,3,0,0,2,,,,,100,15,1,0,,0,,162016,10000,0,0,162016,10000,,,,2,15,0,,1,blue_rock_brick,,,blocks.stone,blocks.stone,blocks.stone,162016,2,1,,263235,,,,,,,2,15,15,,1,,,10,,,,,,,2,,255,0,1,,0.2,,,
