id,特效名,备注,插件库开放[0代表不开放，1=开放 ],触发器开放[0代表不开放，1=开放 ],分类（1=烟雾 2=爆炸 3=光效 4=粒子 5=火焰 6=环境 7=提示）,特效类型（1=ent类型 2=emo类型 3=两者都有 4=prefab类型）,播放模式（1=循环播放，2=播放后结束，3=播放后停留）,播放时长（单位秒，对非循环生效）(弃用),特效路径,音效名称,图标名字
1793,140067_1,,0,0,7,2,2,10,140067_1,,
1794,140067_2,,0,0,7,2,2,10,140067_2,,
1795,140068_1,,0,0,7,2,2,10,140068_1,,
1796,140068_2,,0,0,7,2,2,10,140068_2,,
1797,140069_1,,0,0,7,2,2,10,140069_1,,
1798,140069_2,,0,0,7,2,2,10,140069_2,,
1799,140070_1,,0,0,7,2,2,10,140070_1,,
1800,140070_2,,0,0,7,2,2,10,140070_2,,
1801,140071_1,,0,0,7,2,2,10,140071_1,,
1802,140071_2,,0,0,7,2,2,10,140071_2,,
1803,140072_1,,0,0,7,2,2,10,140072_1,,
1804,140072_2,,0,0,7,2,2,10,140072_2,,
1805,140073_1,,0,0,7,2,2,10,140073_1,,
1806,140073_2,,0,0,7,2,2,10,140073_2,,
1807,140074_1,,0,0,7,2,2,10,140074_1,,
1808,140075_1,,0,0,7,2,2,10,140075_1,,
1809,140076_1,,0,0,7,2,2,10,140076_1,,
1810,140077_1,,0,0,7,2,2,10,140077_1,,
1811,140078_1,,0,0,7,2,2,10,140078_1,,
1812,140078_2,,0,0,7,2,2,10,140078_2,,
1813,140079_1,,0,0,7,2,2,10,140079_1,,
1814,140079_2,,0,0,7,2,2,10,140079_2,,
1815,140083_1,,0,0,7,2,2,10,140083_1,,
1816,140084_1,,0,0,7,2,2,10,140084_1,,
1817,140084_2,,0,0,7,2,2,10,140084_2,,
1818,140085_1,,0,0,7,2,2,10,140085_1,,
1819,140086_1,,0,0,7,2,2,10,140086_1,,
1820,140086_2,,0,0,7,2,2,10,140086_2,,
1821,140087_1,,0,0,7,2,2,10,140087_1,,
1822,140087_2,,0,0,7,2,2,10,140087_2,,
1823,140088_1,,0,0,7,2,2,10,140088_1,,
1824,140088_2,,0,0,7,2,2,10,140088_2,,
1825,140089_1,,0,0,7,2,2,10,140089_1,,
1826,140089_2,,0,0,7,2,2,10,140089_2,,
1827,140090_1,,0,0,7,2,2,10,140090_1,,
1828,140096_1,,0,0,7,2,2,10,140096_1,,
1829,140102_1,,0,0,7,2,2,10,140102_1,,
1830,140103_1,,0,0,7,2,2,10,140103_1,,
1831,140103_2,,0,0,7,2,2,10,140103_2,,
1832,140104_1,,0,0,7,2,2,10,140104_1,,
1833,140104_2,,0,0,7,2,2,10,140104_2,,
1834,140105_1,,0,0,7,2,2,10,140105_1,,
1835,140106_1,,0,0,7,2,2,10,140106_1,,
1836,140106_2,,0,0,7,2,2,10,140106_2,,
1837,140107_1,,0,0,7,2,2,10,140107_1,,
1838,140108_1,,0,0,7,2,2,10,140108_1,,
1839,140108_2,,0,0,7,2,2,10,140108_2,,
1840,140109_1,,0,0,7,2,2,10,140109_1,,
1841,140109_2,,0,0,7,2,2,10,140109_2,,
1842,140110_1,,0,0,7,2,2,10,140110_1,,
1843,140111_1,,0,0,7,2,2,10,140111_1,,
1844,140111_2,,0,0,7,2,2,10,140111_2,,
1845,140112_1,,0,0,7,2,2,10,140112_1,,
1846,140113_1,,0,0,7,2,2,10,140113_1,,
1847,140113_2,,0,0,7,2,2,10,140113_2,,
1848,140114_1,,0,0,7,2,2,10,140114_1,,
1849,140115_1,,0,0,7,2,2,10,140115_1,,
1850,140115_2,,0,0,7,2,2,10,140115_2,,
1851,140116_1,,0,0,7,2,2,10,140116_1,,
1852,140116_2,,0,0,7,2,2,10,140116_2,,
1853,140117_1,,0,0,7,2,2,10,140117_1,,
1854,140117_2,,0,0,7,2,2,10,140117_2,,
1855,140118_1,,0,0,7,2,2,10,140118_1,,
1856,140119_1,,0,0,7,2,2,10,140119_1,,
1857,140120_1,,0,0,7,2,2,10,140120_1,,
1858,140120_2,,0,0,7,2,2,10,140120_2,,
1859,140121_1,,0,0,7,2,2,10,140121_1,,
1860,140122_1,,0,0,7,2,2,10,140122_1,,
1861,140122_2,,0,0,7,2,2,10,140122_2,,
1862,140123_1,,0,0,7,2,2,10,140123_1,,
1863,140123_2,,0,0,7,2,2,10,140123_2,,
1864,140124_1,,0,0,7,2,2,10,140124_1,,
1865,140124_2,,0,0,7,2,2,10,140124_2,,
1866,140125_1,,0,0,7,2,2,10,140125_1,,
1867,140126_1,,0,0,7,2,2,10,140126_1,,
1868,140127_1,,0,0,7,2,2,10,140127_1,,
1869,140128_1,,0,0,7,2,2,10,140128_1,,
1870,140129_1,,0,0,7,2,2,10,140129_1,,
1871,140130_1,,0,0,7,2,2,10,140130_1,,
1872,140131_1,,0,0,7,2,2,10,140131_1,,
1873,140132_1,,0,0,7,2,2,10,140132_1,,
1874,140133_1,,0,0,7,2,2,10,140133_1,,
1875,140134_1,,0,0,7,2,2,10,140134_1,,
1876,140136_1,,0,0,7,2,2,10,140136_1,,
1877,140138_1,,0,0,7,2,2,10,140138_1,,
1878,140139_1,,0,0,7,2,2,10,140139_1,,
1879,140139_2,,0,0,7,2,2,10,140139_2,,
1880,140146_1,,0,0,7,2,2,10,140146_1,,
1881,140147_1,,0,0,7,2,2,10,140147_1,,
1882,140147_2,,0,0,7,2,2,10,140147_2,,
1883,140148_1,,0,0,7,2,2,10,140148_1,,
1884,140149_1,,0,0,7,2,2,10,140149_1,,
1885,140150_1,,0,0,7,2,2,10,140150_1,,
1886,140150_2,,0,0,7,2,2,10,140150_2,,
1887,140151_1,,0,0,7,2,2,10,140151_1,,
1888,140151_2,,0,0,7,2,2,10,140151_2,,
1889,140152_1,,0,0,7,2,2,10,140152_1,,
1890,140152_2,,0,0,7,2,2,10,140152_2,,
1891,140153_1,,0,0,7,2,2,10,140153_1,,
1892,140154_1,,0,0,7,2,2,10,140154_1,,
1893,140155_1,,0,0,7,2,2,10,140155_1,,
1894,140155_2,,0,0,7,2,2,10,140155_2,,
1895,140156_1,,0,0,7,2,2,10,140156_1,,
1896,140156_2,,0,0,7,2,2,10,140156_2,,
1897,140157_1,,0,0,7,2,2,10,140157_1,,
1898,140157_2,,0,0,7,2,2,10,140157_2,,
1899,140158_1,,0,0,7,2,2,10,140158_1,,
1900,140158_2,,0,0,7,2,2,10,140158_2,,
1901,140159_1,,0,0,7,2,2,10,140159_1,,
1902,140160_1,,0,0,7,2,2,10,140160_1,,
1903,140161_1,,0,0,7,2,2,10,140161_1,,
1904,140161_2,,0,0,7,2,2,10,140161_2,,
1905,140162_1,,0,0,7,2,2,10,140162_1,,
1906,140162_2,,0,0,7,2,2,10,140162_2,,
1907,140163_1,,0,0,7,2,2,10,140163_1,,
1908,140163_2,,0,0,7,2,2,10,140163_2,,
1909,140164_1,,0,0,7,2,2,10,140164_1,,
1910,140164_2,,0,0,7,2,2,10,140164_2,,
1911,140165_1,,0,0,7,2,2,10,140165_1,,
1912,140165_2,,0,0,7,2,2,10,140165_2,,
1913,140166_1,,0,0,7,2,2,10,140166_1,,
1914,140167_1,,0,0,7,2,2,10,140167_1,,
1915,140167_2,,0,0,7,2,2,10,140167_2,,
1916,140168_1,,0,0,7,2,2,10,140168_1,,
1917,140168_2,,0,0,7,2,2,10,140168_2,,
1918,140169_1,,0,0,7,2,2,10,140169_1,,
1919,140169_2,,0,0,7,2,2,10,140169_2,,
1920,140170_1,,0,0,7,2,2,10,140170_1,,
1921,140171_1,,0,0,7,2,2,10,140171_1,,
1922,140172,,0,0,7,2,2,10,140172,,
1923,140172_1,,0,0,7,2,2,10,140172_1,,
1924,140172_2,,0,0,7,2,2,10,140172_2,,
1925,140173_1,,0,0,7,2,2,10,140173_1,,
1926,140173_2,,0,0,7,2,2,10,140173_2,,
1927,140174_1,,0,0,7,2,2,10,140174_1,,
1928,140174_2,,0,0,7,2,2,10,140174_2,,
1929,140175_1,,0,0,7,2,2,10,140175_1,,
1930,140175_2,,0,0,7,2,2,10,140175_2,,
1931,140175_4,,0,0,7,2,2,10,140175_4,,
1932,140176_1,,0,0,7,2,2,10,140176_1,,
1933,140176_2,,0,0,7,2,2,10,140176_2,,
1934,140178_1,,0,0,7,2,2,10,140178_1,,
1935,140178_2,,0,0,7,2,2,10,140178_2,,
1936,140179_1,,0,0,7,2,2,10,140179_1,,
1937,140179_2,,0,0,7,2,2,10,140179_2,,
1938,140180_1,,0,0,7,2,2,10,140180_1,,
1939,140181_1,,0,0,7,2,2,10,140181_1,,
1940,140182_1,,0,0,7,2,2,10,140182_1,,
1941,140182_2,,0,0,7,2,2,10,140182_2,,
1942,140183_1,,0,0,7,2,2,10,140183_1,,
1943,140183_2,,0,0,7,2,2,10,140183_2,,
1944,140184_1,,0,0,7,2,2,10,140184_1,,
1945,140185_1,,0,0,7,2,2,10,140185_1,,
1946,140186_1,,0,0,7,2,2,10,140186_1,,
1947,140186_2,,0,0,7,2,2,10,140186_2,,
1948,140187_1,,0,0,7,2,2,10,140187_1,,
1949,140188_1,,0,0,7,2,2,10,140188_1,,
1950,140188_2,,0,0,7,2,2,10,140188_2,,
1951,140189_1,,0,0,7,2,2,10,140189_1,,
1952,140189_2,,0,0,7,2,2,10,140189_2,,
1953,140190_1,,0,0,7,2,2,10,140190_1,,
1954,140190_2,,0,0,7,2,2,10,140190_2,,
1955,140191_1,,0,0,7,2,2,10,140191_1,,
1956,140192_1,,0,0,7,2,2,10,140192_1,,
1957,140192_2,,0,0,7,2,2,10,140192_2,,
1958,140193_1,,0,0,7,2,2,10,140193_1,,
1959,140193_2,,0,0,7,2,2,10,140193_2,,
1960,140194_1,,0,0,7,2,2,10,140194_1,,
1961,140194_2,,0,0,7,2,2,10,140194_2,,
1962,140195_1,,0,0,7,2,2,10,140195_1,,
1963,140195_2,,0,0,7,2,2,10,140195_2,,
1964,140196_1,,0,0,7,2,2,10,140196_1,,
1965,140197_1,,0,0,7,2,2,10,140197_1,,
1966,140197_2,,0,0,7,2,2,10,140197_2,,
1967,140198_1,,0,0,7,2,2,10,140198_1,,
1968,140198_2,,0,0,7,2,2,10,140198_2,,
1969,140199_1,,0,0,7,2,2,10,140199_1,,
1970,140199_2,,0,0,7,2,2,10,140199_2,,
1971,140200_1,,0,0,7,2,2,10,140200_1,,
1972,140201_1,,0,0,7,2,2,10,140201_1,,
1973,140202_1,,0,0,7,2,2,10,140202_1,,
1974,140202_2,,0,0,7,2,2,10,140202_2,,
1975,140202_4,,0,0,7,2,2,10,140202_4,,
1976,140203_1,,0,0,7,2,2,10,140203_1,,
1977,140203_4,,0,0,7,2,2,10,140203_4,,
1978,140204_1,,0,0,7,2,2,10,140204_1,,
1979,140205_1,,0,0,7,2,2,10,140205_1,,
1980,140206_1,,0,0,7,2,2,10,140206_1,,
1981,140206_2,,0,0,7,2,2,10,140206_2,,
1982,140207_1,,0,0,7,2,2,10,140207_1,,
1983,140207_2,,0,0,7,2,2,10,140207_2,,
1984,140208_1,,0,0,7,2,2,10,140208_1,,
1985,140208_2,,0,0,7,2,2,10,140208_2,,
1986,140209_1,,0,0,7,2,2,10,140209_1,,
1987,140209_2,,0,0,7,2,2,10,140209_2,,
1988,140211_1,,0,0,7,2,2,10,140211_1,,
1989,140216_1,,0,0,7,2,2,10,140216_1,,
1990,140216_2,,0,0,7,2,2,10,140216_2,,
1991,140217_1,,0,0,7,2,2,10,140217_1,,
1992,140217_2,,0,0,7,2,2,10,140217_2,,
1993,140218_1,,0,0,7,2,2,10,140218_1,,
1994,140219_1,,0,0,7,2,2,10,140219_1,,
1995,140220_1,,0,0,7,2,2,10,140220_1,,
1996,140221_1,,0,0,7,2,2,10,140221_1,,
1997,140221_2,,0,0,7,2,2,10,140221_2,,
1998,140222_1,,0,0,7,2,2,10,140222_1,,
1999,140222_2,,0,0,7,2,2,10,140222_2,,
2000,140223_1,,0,0,7,2,2,10,140223_1,,
2001,140223_2,,0,0,7,2,2,10,140223_2,,
2002,140228_1,,0,0,7,2,2,10,140228_1,,
2003,140228_2,,0,0,7,2,2,10,140228_2,,
2004,140229_1,,0,0,7,2,2,10,140229_1,,
2005,140230_1,,0,0,7,2,2,10,140230_1,,
2006,140230_2,,0,0,7,2,2,10,140230_2,,
2007,140232_1,,0,0,7,2,2,10,140232_1,,
2008,140233_1,,0,0,7,2,2,10,140233_1,,
2009,140234_1,,0,0,7,2,2,10,140234_1,,
2010,140234_2,,0,0,7,2,2,10,140234_2,,
2011,140235_1,,0,0,7,2,2,10,140235_1,,
2012,140235_2,,0,0,7,2,2,10,140235_2,,
2013,140236_1,,0,0,7,2,2,10,140236_1,,
2014,140236_2,,0,0,7,2,2,10,140236_2,,
2015,140237_1,,0,0,7,2,2,10,140237_1,,
2016,140237_2,,0,0,7,2,2,10,140237_2,,
2017,140238_1,,0,0,7,2,2,10,140238_1,,
2018,140238_2,,0,0,7,2,2,10,140238_2,,
2019,140239_1,,0,0,7,2,2,10,140239_1,,
2020,140239_2,,0,0,7,2,2,10,140239_2,,
2021,140240_1,,0,0,7,2,2,10,140240_1,,
2022,140240_2,,0,0,7,2,2,10,140240_2,,
2023,140241_1,,0,0,7,2,2,10,140241_1,,
2024,140241_2,,0,0,7,2,2,10,140241_2,,
2025,140242_1,,0,0,7,2,2,10,140242_1,,
2026,140242_2,,0,0,7,2,2,10,140242_2,,
2027,140243_1,,0,0,7,2,2,10,140243_1,,
2028,140243_2,,0,0,7,2,2,10,140243_2,,
2029,140245_1,,0,0,7,2,2,10,140245_1,,
2030,140246_1,,0,0,7,2,2,10,140246_1,,
2031,140246_2,,0,0,7,2,2,10,140246_2,,
2032,140247_1,,0,0,7,2,2,10,140247_1,,
2033,140247_2,,0,0,7,2,2,10,140247_2,,
2034,140248_1,,0,0,7,2,2,10,140248_1,,
2035,140249_1,,0,0,7,2,2,10,140249_1,,
2036,140249_2,,0,0,7,2,2,10,140249_2,,
2037,140250_1,,0,0,7,2,2,10,140250_1,,
2038,140251_1,,0,0,7,2,2,10,140251_1,,
2039,140251_2,,0,0,7,2,2,10,140251_2,,
2040,140252_1,,0,0,7,2,2,10,140252_1,,
2041,140252_2,,0,0,7,2,2,10,140252_2,,
2042,140253_1,,0,0,7,2,2,10,140253_1,,
2043,140253_2,,0,0,7,2,2,10,140253_2,,
2044,140254_1,,0,0,7,2,2,10,140254_1,,
2045,140254_2,,0,0,7,2,2,10,140254_2,,
2046,140255_1,,0,0,7,2,2,10,140255_1,,
2047,140255_2,,0,0,7,2,2,10,140255_2,,
2048,140256_1,,0,0,7,2,2,10,140256_1,,
2049,140256_2,,0,0,7,2,2,10,140256_2,,
2050,140257_1,,0,0,7,2,2,10,140257_1,,
2051,140258_1,,0,0,7,2,2,10,140258_1,,
2052,140258_2,,0,0,7,2,2,10,140258_2,,
2053,140259_1,,0,0,7,2,2,10,140259_1,,
2054,140259_2,,0,0,7,2,2,10,140259_2,,
2055,140260_1,,0,0,7,2,2,10,140260_1,,
2056,140260_2,,0,0,7,2,2,10,140260_2,,
2057,140260_4,,0,0,7,2,2,10,140260_4,,
2058,140260_101,,0,0,7,2,2,10,140260_101,,
2059,140260_102,,0,0,7,2,2,10,140260_102,,
2060,140260_104,,0,0,7,2,2,10,140260_104,,
2061,140260_107,,0,0,7,2,2,10,140260_107,,
2062,140260_130,,0,0,7,2,2,10,140260_130,,
2063,140260_131,,0,0,7,2,2,10,140260_131,,
2064,140260_155,,0,0,7,2,2,10,140260_155,,
2065,140260_859,,0,0,7,2,2,10,140260_859,,
2066,140260_860,,0,0,7,2,2,10,140260_860,,
2067,140261_1,,0,0,7,2,2,10,140261_1,,
2068,140261_2,,0,0,7,2,2,10,140261_2,,
2069,140262_1,,0,0,7,2,2,10,140262_1,,
2070,140262_2,,0,0,7,2,2,10,140262_2,,
2071,140263_1,,0,0,7,2,2,10,140263_1,,
2072,140263_2,,0,0,7,2,2,10,140263_2,,
2073,140264_1,,0,0,7,2,2,10,140264_1,,
2074,140264_2,,0,0,7,2,2,10,140264_2,,
2075,140265_1,,0,0,7,2,2,10,140265_1,,
2076,140265_2,,0,0,7,2,2,10,140265_2,,
2077,140266_1,,0,0,7,2,2,10,140266_1,,
2078,140266_2,,0,0,7,2,2,10,140266_2,,
2079,140267_1,,0,0,7,2,2,10,140267_1,,
2080,140267_2,,0,0,7,2,2,10,140267_2,,
2081,140267_4,,0,0,7,2,2,10,140267_4,,
2082,140267_101,,0,0,7,2,2,10,140267_101,,
2083,140267_102,,0,0,7,2,2,10,140267_102,,
2084,140267_104,,0,0,7,2,2,10,140267_104,,
2085,140267_107,,0,0,7,2,2,10,140267_107,,
2086,140267_130,,0,0,7,2,2,10,140267_130,,
2087,140267_131,,0,0,7,2,2,10,140267_131,,
2088,140267_155,,0,0,7,2,2,10,140267_155,,
2089,140267_859,,0,0,7,2,2,10,140267_859,,
2090,140267_860,,0,0,7,2,2,10,140267_860,,
2091,140268_1,,0,0,7,2,2,10,140268_1,,
2092,140268_2,,0,0,7,2,2,10,140268_2,,
2093,140269_1,,0,0,7,2,2,10,140269_1,,
2094,140269_2,,0,0,7,2,2,10,140269_2,,
2095,140270_1,,0,0,7,2,2,10,140270_1,,
2096,140270_2,,0,0,7,2,2,10,140270_2,,
2097,140271_1,,0,0,7,2,2,10,140271_1,,
2098,140271_2,,0,0,7,2,2,10,140271_2,,
2099,140272_1,,0,0,7,2,2,10,140272_1,,
2100,140272_2,,0,0,7,2,2,10,140272_2,,
2101,140272_4,,0,0,7,2,2,10,140272_4,,
2102,140272_5,,0,0,7,2,2,10,140272_5,,
2103,140273_1,,0,0,7,2,2,10,140273_1,,
2104,140273_2,,0,0,7,2,2,10,140273_2,,
2105,140273_5,,0,0,7,2,2,10,140273_5,,
2106,140274_1,,0,0,7,2,2,10,140274_1,,
2107,140274_2,,0,0,7,2,2,10,140274_2,,
2108,140275_1,,0,0,7,2,2,10,140275_1,,
2109,140275_2,,0,0,7,2,2,10,140275_2,,
2110,140276_1,,0,0,7,2,2,10,140276_1,,
2111,140276_2,,0,0,7,2,2,10,140276_2,,
2112,140277_1,,0,0,7,2,2,10,140277_1,,
2113,140277_2,,0,0,7,2,2,10,140277_2,,
2114,140278_1,,0,0,7,2,2,10,140278_1,,
2115,140278_2,,0,0,7,2,2,10,140278_2,,
2116,140279_1,,0,0,7,2,2,10,140279_1,,
2117,140279_2,,0,0,7,2,2,10,140279_2,,
2118,140280_1,,0,0,7,2,2,10,140280_1,,
2119,140280_2,,0,0,7,2,2,10,140280_2,,
2120,140281_1,,0,0,7,2,2,10,140281_1,,
2121,140281_2,,0,0,7,2,2,10,140281_2,,
2122,140282_1,,0,0,7,2,2,10,140282_1,,
2123,140284_1,,0,0,7,2,2,10,140284_1,,
2124,140284_2,,0,0,7,2,2,10,140284_2,,
2125,140286_1,,0,0,7,2,2,10,140286_1,,
2126,140286_2,,0,0,7,2,2,10,140286_2,,
2127,140287_1,,0,0,7,2,2,10,140287_1,,
2128,140287_2,,0,0,7,2,2,10,140287_2,,
2129,140288_1,,0,0,7,2,2,10,140288_1,,
2130,140288_2,,0,0,7,2,2,10,140288_2,,
2131,140289_1,,0,0,7,2,2,10,140289_1,,
2132,140289_2,,0,0,7,2,2,10,140289_2,,
2133,140290_1,,0,0,7,2,2,10,140290_1,,
2134,140290_2,,0,0,7,2,2,10,140290_2,,
2135,140291_1,,0,0,7,2,2,10,140291_1,,
2136,140291_2,,0,0,7,2,2,10,140291_2,,
2137,140292_1,,0,0,7,2,2,10,140292_1,,
2138,140293_1,,0,0,7,2,2,10,140293_1,,
2139,140294_1,,0,0,7,2,2,10,140294_1,,
2140,140294_2,,0,0,7,2,2,10,140294_2,,
2141,140295_1,,0,0,7,2,2,10,140295_1,,
2142,140295_2,,0,0,7,2,2,10,140295_2,,
2143,140296_1,,0,0,7,2,2,10,140296_1,,
2144,140296_2,,0,0,7,2,2,10,140296_2,,
2145,140298_1,,0,0,7,2,2,10,140298_1,,
2146,140299_1,,0,0,7,2,2,10,140299_1,,
2147,140299_2,,0,0,7,2,2,10,140299_2,,
2148,140300_1,,0,0,7,2,2,10,140300_1,,
2149,140300_2,,0,0,7,2,2,10,140300_2,,
2150,140301_1,,0,0,7,2,2,10,140301_1,,
2151,140301_2,,0,0,7,2,2,10,140301_2,,
2152,140302_1,,0,0,7,2,2,10,140302_1,,
2153,140302_2,,0,0,7,2,2,10,140302_2,,
2154,140303_1,,0,0,7,2,2,10,140303_1,,
2155,140303_2,,0,0,7,2,2,10,140303_2,,
2156,140304_1,,0,0,7,2,2,10,140304_1,,
2157,140304_2,,0,0,7,2,2,10,140304_2,,
2158,140305_1,,0,0,7,2,2,10,140305_1,,
2159,140308_1,,0,0,7,2,2,10,140308_1,,
2160,140308_2,,0,0,7,2,2,10,140308_2,,
2161,140309_1,,0,0,7,2,2,10,140309_1,,
2162,140310_1,,0,0,7,2,2,10,140310_1,,
2163,140311_1,,0,0,7,2,2,10,140311_1,,
2164,140311_2,,0,0,7,2,2,10,140311_2,,
2165,140312_1,,0,0,7,2,2,10,140312_1,,
2166,140312_2,,0,0,7,2,2,10,140312_2,,
2167,140313_1,,0,0,7,2,2,10,140313_1,,
2168,140313_2,,0,0,7,2,2,10,140313_2,,
2169,140314_1,,0,0,7,2,2,10,140314_1,,
2170,140314_2,,0,0,7,2,2,10,140314_2,,
2171,140315_1,,0,0,7,2,2,10,140315_1,,
2172,140315_2,,0,0,7,2,2,10,140315_2,,
2173,140316_1,,0,0,7,2,2,10,140316_1,,
2174,140316_2,,0,0,7,2,2,10,140316_2,,
2175,140317_1,,0,0,7,2,2,10,140317_1,,
2176,140317_2,,0,0,7,2,2,10,140317_2,,
2177,140318_1,,0,0,7,2,2,10,140318_1,,
2178,140318_2,,0,0,7,2,2,10,140318_2,,
2179,140319_1,,0,0,7,2,2,10,140319_1,,
2180,140319_2,,0,0,7,2,2,10,140319_2,,
2181,140320_1,,0,0,7,2,2,10,140320_1,,
2182,140320_2,,0,0,7,2,2,10,140320_2,,
2183,140321_1,,0,0,7,2,2,10,140321_1,,
2184,140321_2,,0,0,7,2,2,10,140321_2,,
2185,140322_1,,0,0,7,2,2,10,140322_1,,
2186,140322_2,,0,0,7,2,2,10,140322_2,,
2187,140322_4,,0,0,7,2,2,10,140322_4,,
2188,140323_1,,0,0,7,2,2,10,140323_1,,
2189,140323_2,,0,0,7,2,2,10,140323_2,,
2190,140324_1,,0,0,7,2,2,10,140324_1,,
2191,140324_2,,0,0,7,2,2,10,140324_2,,
2192,140325_1,,0,0,7,2,2,10,140325_1,,
2193,140325_2,,0,0,7,2,2,10,140325_2,,
2194,140328_1,,0,0,7,2,2,10,140328_1,,
2195,140328_2,,0,0,7,2,2,10,140328_2,,
2196,140329_1,,0,0,7,2,2,10,140329_1,,
2197,140329_2,,0,0,7,2,2,10,140329_2,,
2198,140330_1,,0,0,7,2,2,10,140330_1,,
2199,140330_2,,0,0,7,2,2,10,140330_2,,
2200,140331_1,,0,0,7,2,2,10,140331_1,,
2201,140331_2,,0,0,7,2,2,10,140331_2,,
2202,140332_1,,0,0,7,2,2,10,140332_1,,
2203,140332_2,,0,0,7,2,2,10,140332_2,,
2204,140333_1,,0,0,7,2,2,10,140333_1,,
2205,140333_2,,0,0,7,2,2,10,140333_2,,
2206,140341_1,,0,0,7,2,2,10,140341_1,,
2207,140341_2,,0,0,7,2,2,10,140341_2,,
2208,150010_2,,0,0,7,2,2,10,150010_2,,
2209,150011_2,,0,0,7,2,2,10,150011_2,,
2210,150012_2,,0,0,7,2,2,10,150012_2,,
2211,150013_2,,0,0,7,2,2,10,150013_2,,
2212,150014_2,,0,0,7,2,2,10,150014_2,,
2213,150015_2,,0,0,7,2,2,10,150015_2,,
2214,150016_2,,0,0,7,2,2,10,150016_2,,
2215,150017_2,,0,0,7,2,2,10,150017_2,,
2216,150018_2,,0,0,7,2,2,10,150018_2,,
2217,150019_2,,0,0,7,2,2,10,150019_2,,
2218,150020_2,,0,0,7,2,2,10,150020_2,,
2219,150021_2,,0,0,7,2,2,10,150021_2,,
2220,150022_2,,0,0,7,2,2,10,150022_2,,
2221,150023_2,,0,0,7,2,2,10,150023_2,,
2222,150024_2,,0,0,7,2,2,10,150024_2,,
2223,150025_2,,0,0,7,2,2,10,150025_2,,
2224,150026_2,,0,0,7,2,2,10,150026_2,,
2225,150027_2,,0,0,7,2,2,10,150027_2,,
2226,150028_2,,0,0,7,2,2,10,150028_2,,
2227,150029_2,,0,0,7,2,2,10,150029_2,,
2228,150030_2,,0,0,7,2,2,10,150030_2,,
2229,150031_2,,0,0,7,2,2,10,150031_2,,
2230,150032_2,,0,0,7,2,2,10,150032_2,,
2231,150033_2,,0,0,7,2,2,10,150033_2,,
2232,150034_2,,0,0,7,2,2,10,150034_2,,
2233,150035_2,,0,0,7,2,2,10,150035_2,,
2234,150036_2,,0,0,7,2,2,10,150036_2,,
2235,150037_2,,0,0,7,2,2,10,150037_2,,
2236,150038_2,,0,0,7,2,2,10,150038_2,,
2237,150039_2,,0,0,7,2,2,10,150039_2,,
2238,150040_2,,0,0,7,2,2,10,150040_2,,
2239,150041_2,,0,0,7,2,2,10,150041_2,,
2240,150042_2,,0,0,7,2,2,10,150042_2,,
2241,150043_2,,0,0,7,2,2,10,150043_2,,
2242,150044_2,,0,0,7,2,2,10,150044_2,,
2243,150045_2,,0,0,7,2,2,10,150045_2,,
2244,150046_1,,0,0,7,2,2,10,150046_1,,
2245,150047_1,,0,0,7,2,2,10,150047_1,,
2246,150047_1B,,0,0,7,2,2,10,150047_1B,,
2247,150048_1,,0,0,7,2,2,10,150048_1,,
2248,150048_1B,,0,0,7,2,2,10,150048_1B,,
2249,150048_1c,,0,0,7,2,2,10,150048_1c,,
2250,150049_1,,0,0,7,2,2,10,150049_1,,
2251,150050_1,,0,0,7,2,2,10,150050_1,,
2252,150050_1b,,0,0,7,2,2,10,150050_1b,,
2253,150051_1,,0,0,7,2,2,10,150051_1,,
2254,150051_1b,,0,0,7,2,2,10,150051_1b,,
2255,150051_1c,,0,0,7,2,2,10,150051_1c,,
2256,150061_d_1,,0,0,7,2,2,10,150061_d_1,,
2257,150061_g_1,,0,0,7,2,2,10,150061_g_1,,
2258,150061_z_1,,0,0,7,2,2,10,150061_z_1,,
2259,150062_d_1,,0,0,7,2,2,10,150062_d_1,,
2260,150062_g_1,,0,0,7,2,2,10,150062_g_1,,
2261,150062_z_1,,0,0,7,2,2,10,150062_z_1,,
2262,150063_d_1,,0,0,7,2,2,10,150063_d_1,,
2263,150063_g_1,,0,0,7,2,2,10,150063_g_1,,
2264,150063_z_1,,0,0,7,2,2,10,150063_z_1,,
2265,150064_d_1,,0,0,7,2,2,10,150064_d_1,,
2266,150064_g_1,,0,0,7,2,2,10,150064_g_1,,
2267,150064_z_1,,0,0,7,2,2,10,150064_z_1,,
2268,150066_d_1,,0,0,7,2,2,10,150066_d_1,,
2269,150066_g_1,,0,0,7,2,2,10,150066_g_1,,
2270,150066_z_1,,0,0,7,2,2,10,150066_z_1,,
2271,150067_d_1,,0,0,7,2,2,10,150067_d_1,,
2272,150067_g_1,,0,0,7,2,2,10,150067_g_1,,
2273,150067_z_1,,0,0,7,2,2,10,150067_z_1,,
2274,150068_d_1,,0,0,7,2,2,10,150068_d_1,,
2275,150068_g_1,,0,0,7,2,2,10,150068_g_1,,
2276,150068_z_1,,0,0,7,2,2,10,150068_z_1,,
2277,150069_d_1,,0,0,7,2,2,10,150069_d_1,,
2278,150069_g_1,,0,0,7,2,2,10,150069_g_1,,
2279,150069_z_1,,0,0,7,2,2,10,150069_z_1,,
2280,150070_d_1,,0,0,7,2,2,10,150070_d_1,,
2281,150070_g_1,,0,0,7,2,2,10,150070_g_1,,
