ID[整型],名称[string],界面大类[整型](1事件 2条件 3动作 4取值 5流程控制 6变量 7自定义),界面子类[整型]【1通用，2游戏，3玩家，4生物，5方块，6道具，7变量，8控制，9自定义，10数学，11组，12计时器，13界面，14特效，15音频，16图文信息，17开发者，18赋值，19数据存储，21区域，22位置，23数值，24字符串，25布尔值，26生物类型，27排行榜，28一维表，29世界，30二维表，36蓝图】,形状类型[数值](1事件 2条件 3动作 4取值 5重复执行 6次数重复执行 7重复执行直到 8退出循环 9如果那么 如果那么否则 10保持等待直到),简略显示[数值]【在库里是否缩略显示，1=是，0=否】,描述[string],图标[string],使用场景过滤[string],传参[string],左右值标记[整型],返回值[整型],参数1类型[string],参数1默认值[string],参数2类型,参数2默认值,参数3类型,参数3默认值,参数4类型,参数4默认值,参数5类型,参数5默认值,参数6类型,参数6默认值,参数7类型,参数7默认值,参数8类型,参数8默认值,参数9类型,参数9默认值,参数10类型,参数10默认值,参数11类型,参数11默认值,显示控制（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见 3=4位数迷你号可见  4 = 仅国内可见  5 = 仅海外可见 6 = 仅国内开发者可见 7 = 仅海外开发者可见）,积木间距值（间距值默认为60，超过60会开始变高）,说明,是否显示详细说明（0和空不显示，1显示）,
3010006,发送广播并等待,3,2,3,1,发送广播%1并等待,12,"1,1,0,1,1,0",,,,1090|1|0,,,,,,,,,,,,,,,,,,,,,,,,306222,,264
3010011,发送服务器广播到所有云服房间,3,2,3,1,发送服务器广播%1到所有云服房间,12,"1,1,0,1,1,0",,,,1090|1|0,,,,,,,,,,,,,,,,,,,,,,0,100,306295,,265
3010008,设置全局天空盒贴图,3,2,3,1,设置%1为%2,12,"1,1,0,1,1,0",,,,1125|1|0,5|910001,1076|1|0,2|30001,,,,,,,,,,,,,,,,,,,0,,306138,,266
3010009,设置全局环境颜色,3,2,3,1,设置%1%2为%3,12,"1,1,0,1,1,0",,,,1124|1|0,5|900001,1126|1|0,5|920001,1056|1|0,1|0xFFFFFF,,,,,,,,,,,,,,,,,0,,306139,,267
3010010,设置全局环境参数(随时间变化),3,2,3,1,设置%1%2为%3,12,"1,1,0,1,1,0",,,,1124|1|0,5|900001,1127|1|0,5|930001,1005|1|0,1|20,,,,,,,,,,,,,,,,,0,,306140,,268
3010016,设置全局环境参数,3,2,3,1,设置%1为%2,12,"1,1,0,1,1,0",,,,3146|1|0,5|4460001,1005|1|0,1|20,,,,,,,,,,,,,,,,,,,,,,,
3010012,设置全局环境模板,3,2,3,1,设置当前环境为%1,12,"1,1,0,1,1,0",,,,1134|1|0,2|1,,,,,,,,,,,,,,,,,,,,,0,,306217,,269
3010014,设置全局天空盒开关,3,2,3,1,设置%1%2为%3,12,"1,1,0,1,1,0",,,,1124|1|0,5|900001,1139|1|0,5|1000001,1013|1|0,5|100001,,,,,,,,,,,,,,,,,0,100,306141,,270
3120003,设置数值,3,18,3,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1005|0|0,,1005|1|0,1|0,,,,,,,,,,,,,,,,,,,0,,306038,1,271
3120010,设置字符串,3,18,3,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1010|0|0,,1010|1|0,1|300198,,,,,,,,,,,,,,,,,,,0,,306240,,272
3120004,设置布尔值,3,18,3,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1014|0|0,,1014|1|0,5|320002,,,,,,,,,,,,,,,,,,,0,100,306241,,273
3120005,设置玩家,3,18,3,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1018|0|0,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,0,,306045,1,274
3120008,设置生物,3,18,3,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1031|0|0,,1031|1|0,3|80006,,,,,,,,,,,,,,,,,,,0,100,306242,,275
3120006,设置方块类型,3,18,3,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1025|0|0,,1025|1|0,2|200,,,,,,,,,,,,,,,,,,,0,,306243,,276
3120007,设置道具类型,3,18,3,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1028|0|0,,1028|1|0,2|11002,,,,,,,,,,,,,,,,,,,0,,306244,,277
3120009,设置生物类型,3,18,3,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1032|0|0,,1032|1|0,2|3400,,,,,,,,,,,,,,,,,,,0,100,306245,,278
3120001,设置位置,3,18,3,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1002|0|0,,1002|1|0,3|40003,,,,,,,,,,,,,,,,,,,0,,306246,,279
3120002,设置区域,3,18,3,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1001|0|0,,1001|1|0,,,,,,,,,,,,,,,,,,,,0,100,306247,,280
3120011,设置特效类型,3,18,3,1,设置%1为%2,6,"1,1,0,1,1,0",,,,1045|0|0,,1045|1|0,2|1024,,,,,,,,,,,,,,,,,,,0,,306248,,281
3050004,设置玩家属性,3,3,3,1,设置%1的%2为%3,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1020|1|2,5|140001,1005|1|0,1|0,,,,,,,,,,,,,,,,,0,,306031,1,282
3050007,设置玩家权限,3,3,3,1,设置%1的%2为%3,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1022|1|2,5|160001,1013|1|2,5|100001,,,,,,,,,,,,,,,,,0,100,306047,1,283
3050011,设置玩家位置,3,3,3,1,传送%1至%2,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1002|1|0,,,,,,,,,,,,,,,,,,,,0,,306036,1,284
3050012,设置玩家朝向,3,3,3,1,设置%1的朝向为%2,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1003|1|2,5|20001,,,,,,,,,,,,,,,,,,,0,,306055,1,285
3050044,设置玩家移动方式,3,3,3,1,设置%1的移动方式为%2,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1077|1|2,5|530001,,,,,,,,,,,,,,,,,,,,,306109,,286
3050020,设置玩家视角,3,3,3,1,设置%1的视角为%2，锁定%3,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1004|1|2,5|30002,1013|1|2,5|100001,,,,,,,,,,,,,,,,,0,100,306145,,287
3050036,设置玩家外观,3,3,3,1,设置%1的外观为%2,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1060|1|0,2|163,,,,,,,,,,,,,,,,,,,,,306056,1,288
3050079,设置玩家外观为某玩家外观,3,3,3,1,设置%1的外观为迷你号%2的玩家外观,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1010|1|0,,,,,,,,,,,,,,,,,,,,0,,306100,1,289
3050037,恢复玩家外观,3,3,3,1,恢复%1为初始外观,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,,,306057,1,290
3050043,设置玩家名字,3,3,3,1,设置%1的名字为%2,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1010|1|0,1|1010008,,,,,,,,,,,,,,,,,,,2,,306249,,291
3050024,玩家播放动画表情,3,3,3,1,使%2播放%1,8,"1,1,0,1,1,0",,,,1041|1|0,2|1,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,0,100,306223,,292
3050050,设置玩家道具,3,3,3,1,设置%1%2的道具为%3，数量为%4,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1104|1|0,,1028|1|0,2|200,1005|1|0,1|1,,,,,,,,,,,,,,,0,,306146,,293
3050051,移除玩家道具,3,3,3,1,移除%1%2的%3个道具,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1104|1|0,,1005|1|0,1|1,,,,,,,,,,,,,,,,,0,,306147,,294
3050053,清空玩家道具库,3,3,3,1,清空%1的所有%2,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1103|1|0,5|710002,,,,,,,,,,,,,,,,,,,0,,306058,1,295
3050054,移动玩家道具,3,3,3,1,移动%1身上%2个%3到%4,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1005|1|0,1|1,1104|1|0,,1104|1|0,,,,,,,,,,,,,,,,0,,306250,,296
3050055,交换玩家道具,3,3,3,1,交换%1身上%2到%3,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1104|1|0,,1104|1|0,,,,,,,,,,,,,,,,,,0,,306148,,297
3050025,对玩家显示飘窗文字,3,3,3,1,对%1显示飘窗文字%2,10,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1010|1|0,1|300198,,,,,,,,,,,,,,,,,,,0,,306039,1,298
3050027,对玩家显示聊天框信息,3,3,3,1,对%1显示聊天框信息%2,10,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1010|1|0,1|300198,,,,,,,,,,,,,,,,,,,0,100,306220,,299
3050014,添加道具至玩家背包,3,3,3,1,添加%1个%2至%3背包,8,"1,1,0,1,1,0",,,,1005|1|0,1|1,1028|1|0,2|200,1018|1|0,3|60009,,,,,,,,,,,,,,,,,0,,306035,1,300
3050016,丢弃玩家背包道具,3,3,3,1,丢弃%1身上的%2个%3,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1005|1|0,1|1,1028|1|0,2|200,,,,,,,,,,,,,,,,,0,,306149,,301
3050017,销毁玩家背包道具,3,3,3,1,销毁%1身上的%2个%3,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1005|1|0,1|1,1028|1|0,2|200,,,,,,,,,,,,,,,,,0,,306150,,302
3050026,玩家使用快捷栏道具,3,3,3,1,使用%1快捷栏选中道具,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,100,306101,,303
3050056,移除玩家身上所有状态效果,3,3,3,1,清除%1身上所有状态效果,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,,306251,,304
3050057,移除玩家身上所有有害状态效果,3,3,3,1,清除%1身上所有有害状态效果,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,,306252,,305
3050058,设置玩家面向角度,3,3,3,1,设置%1面向角度为%2,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1005|1|0,1|90,,,,,,,,,,,,,,,,,,,0,,306253,,306
3050089,设置玩家模型角度,3,3,3,1,设置%1 模型%2角度为%3,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1147|1|2,5|1480001,1005|1|0,1|90,,,,,,,,,,,,,,,,,0,,,,307
3050059,对玩家打开世界中的箱子,3,3,3,1,对%1打开%2的箱子（有效范围约60个方块）,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1002|1|0,3|40003,,,,,,,,,,,,,,,,,,,0,,306254,,308
3050060,对玩家打开工匠台,3,3,3,1,对%1打开工匠台,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,,306255,,309
3050005,给予玩家状态效果,3,3,3,1,给予%1%2效果，永久持续%3，持续%4秒,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1037|1|0,2|4001,1014|1|0,5|320002,1005|1|0,1|0,,,,,,,,,,,,,,,0,,306041,1,310
3050006,移除玩家状态效果,3,3,3,1,移除%1的%2效果,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1037|1|0,2|4001,,,,,,,,,,,,,,,,,,,0,,306256,,311
3050031,替换玩家状态效果,3,3,3,1,将%1身上的%2替换为%3，永久持续%4，持续%5秒,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1037|1|0,2|4001,1037|1|0,2|8001,1014|1|0,5|320002,1005|1|0,1|0,,,,,,,,,,,,,0,100,306257,,312
3050001,击败玩家,3,3,3,1,击败%1,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,,306258,,313
3050002,玩家复活到指定位置,3,3,3,1,使%1复活到%2,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1002|1|0,3|40003,,,,,,,,,,,,,,,,,,,0,,306261,,314
3050052,发送房间内好友申请,3,3,3,1,使%1向房间内的%2发送好友申请,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1018|1|0,3|60010,,,,,,,,,,,,,,,,,,,0,,306263,,315
3050003,设置玩家复活点,3,3,3,1,设置%1的复活点为%2,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1002|1|0,3|40003,,,,,,,,,,,,,,,,,,,0,,306262,,316
3050023,玩家胜利,3,3,3,1,使%1获得游戏胜利,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,,306264,,317
3050008,移除玩家,3,3,3,1,将%1移出本局游戏,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,,306265,,318
3050066,传送玩家到指定地图,3,3,3,1,将%1传送到地图ID为%2的地图,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1010|1|0,,,,,,,,,,,,,,,,,,,,0,,306266,,319
3050067,传送玩家到指定房间,3,3,3,1,将%1传送到房间ID为%2的地图,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1010|1|0,,,,,,,,,,,,,,,,,,,,0,,306267,,320
3050078,传送玩家到指定类型房间,3,3,3,1,将%1传送到类型为%2的房间,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1010|1|0,,,,,,,,,,,,,,,,,,,,0,,306268,,321
3050080,传送玩家到指定地图且指定类型房间,3,3,3,1,将%1传送到地图ID为%2类型为%3的房间,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1010|1|0,,1010|1|0,,,,,,,,,,,,,,,,,,0,,306269,,322
3050081,对玩家显示好友邀请弹窗,3,3,3,1,对%1显示好友邀请弹窗,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,,306270,,323
3050090,使玩家对玩家赠送礼物,3,3,3,1,对%1显示赠送礼物弹窗，接收者为%2,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1018|1|0,3|60010,,,,,,,,,,,,,,,,,,,2,,306263,,323
3050068,传送玩家组到其他房间,3,3,3,1,将%1传送到当前地图的其他房间,8,"1,1,0,1,1,0",,,,1019|1|0,3|60006,,,,,,,,,,,,,,,,,,,,,0,100,306271,,324
3050009,玩家加入观战模式,3,3,3,1,使%1加入观战模式,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,,306272,,325
3050045,玩家退出观战模式,3,3,3,1,使%1退出观战模式,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,,100,306273,,326
3050030,使玩家移动,3,3,3,1,使%1朝%2移动，速度%3,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1047|1|0,5|350005,1005|1|0,1|1,,,,,,,,,,,,,,,,,0,,306274,,327
3050018,玩家骑乘载具,3,3,3,1,使%1骑乘%2，位置编号%3，可控制%4,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1031|1|0,,1005|1|0,1|1,1013|1|2,5|100002,,,,,,,,,,,,,,,0,,306213,,328
3050019,玩家离开载具,3,3,3,1,使%1离开当前载具,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,,306214,,329
3050021,玩家控制载具前进,3,3,3,1,使%1驾驶载具自动前进,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,2,,306275,,330
3050022,玩家自动寻路,3,3,3,1,使%1尝试自动寻路到%2，可操作%3,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1002|1|0,,1013|1|2,5|100001,,,,,,,,,,,,,,,,,0,100,该事件有距离限制，超过一定（约32个方块）范围会导致无法触发,,331
3050040,使玩家对玩家造成伤害,3,3,3,1,使%1对%2造成%3点%4伤害,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1018|1|0,3|60010,1005|1|0,1|10,1011|1|2,5|80001,,,,,,,,,,,,,,,,,"1.可以获取到伤害来源为玩家，会显示伤害飘字
2.近战伤害、远程伤害、爆炸伤害会默认加5点伤害值，会根据防御力计算最终的伤害值
3.会触发对应的事件（例如玩家造成伤害，玩家受到伤害），但不会触发玩家攻击、攻击命中等事件",,332
3050041,使玩家对生物造成伤害,3,3,3,1,使%1对%2造成%3点%4伤害,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1031|1|0,3|80007,1005|1|0,1|10,1011|1|2,5|80001,,,,,,,,,,,,,,,,,"1.可以获取到伤害来源为玩家，会显示伤害飘字
2.近战伤害、远程伤害、爆炸伤害会默认加5点伤害值，会根据防御力计算最终的伤害值
3.会触发对应的事件（例如玩家造成伤害，玩家受到伤害），但不会触发玩家攻击、攻击命中等事件",,333
3050042,使玩家伤害区域内的目标,3,3,3,1,使%1对%2内的所有目标造成%3点%4伤害,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1001|1|0,,1005|1|0,1|10,1011|1|2,5|80001,,,,,,,,,,,,,,,,,"1.对所有人造成伤害（包括自己），可以获取到伤害来源为玩家，会显示伤害飘字
2.近战伤害、远程伤害、爆炸伤害会默认加5点伤害值，会根据防御力计算最终的伤害值
3. 会触发对应的事件（例如玩家造成伤害、玩家、生物受到伤害等），但不会触发玩家攻击、攻击命中等事件
",,334
3050046,设置玩家免疫伤害类型,3,3,3,1,设置%1免疫%2,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1011|1|2,5|80001,,,,,,,,,,,,,,,,,,,,,306276,,335
3050047,移除玩家免疫伤害类型,3,3,3,1,移除%1免疫%2,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1011|1|2,5|80001,,,,,,,,,,,,,,,,,,,,100,306277,,336
3050032,使玩家穿上装备,3,3,3,1,使%1穿上背包中的%2,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1055|1|0,2|12202,,,,,,,,,,,,,,,,,,,,,306278,,337
3050033,使玩家脱下装备,3,3,3,1,使%1脱下%2的装备至背包中,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1054|1|0,,,,,,,,,,,,,,,,,,,,,,306279,,338
3050034,创建玩家装备,3,3,3,1,创建%1至%2装备栏中,8,"1,1,0,1,1,0",,,,1055|1|0,2|12202,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,306280,,339
3050035,销毁玩家装备,3,3,3,1,销毁%1%2中的装备,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1054|1|0,5|420001,,,,,,,,,,,,,,,,,,,,,306281,,340
3050028,指定玩家道具不可丢弃,3,3,3,1,设置%1的%2不可丢弃为%3,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1028|1|0,2|200,1013|1|2,5|100001,,,,,,,,,,,,,,,,,0,,306282,,341
3050029,指定玩家道具不可掉落,3,3,3,1,设置%1的%2不可掉落为%3,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1028|1|0,2|200,1013|1|2,5|100001,,,,,,,,,,,,,,,,,0,100,306283,,342
3050064,设置玩家滤镜的颜色,3,3,3,1,设置%1的滤镜颜色为%2,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1056|1|0,1|0xFFFFFF,,,,,,,,,,,,,,,,,,,0,,306142,,343
3050065,设置玩家滤镜的参数,3,3,3,1,设置%1的滤镜%2为%3,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1129|1|0,5|950001,1005|1|0,1|50,,,,,,,,,,,,,,,,,0,,306143,,344
3050076,设置玩家滤镜的色彩风格,3,3,3,1,设置%1滤镜的色彩风格为%2,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1135|1|0,2|1,,,,,,,,,,,,,,,,,,,0,,306144,,345
3050077,设置玩家的滤镜模板,3,3,3,1,设置%1滤镜模板为%2,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1136|1|0,2|1,,,,,,,,,,,,,,,,,,,0,100,306238,,346
3050082,设置玩家天空盒贴图(动效),3,3,3,1,设置%1的%2为%3，动画%4，时长%5秒,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1125|1|0,5|910001,1076|1|0,2|30001,1112|1|2,5|850002,1005|1|0,1|1,,,,,,,,,,,,,,,306284,,347
3050083,设置玩家天空盒颜色(动效),3,3,3,1,设置%1%2为%3，动画%4，时长%5秒,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1126|1|0,5|920001,1056|1|0,1|0xFFFFFF,1112|1|2,5|850002,1005|1|0,1|1,,,,,,,,,,,,,,,306285,,348
3050084,设置玩家天空盒参数(动效),3,3,3,1,设置%1%2为%3,8,"0,0,0,0,0,0",,,,1124|1|0,5|900001,1127|1|0,5|930001,1005|1|0,1|20,,,,,,,,,,,,,,,,,0,,,,349
3050085,设置玩家天空盒模板(动效),3,3,3,1,设置%1当前天空盒为%2,8,"0,0,0,0,0,0",,,,1124|1|0,5|900001,1134|1|0,2|1,,,,,,,,,,,,,,,,,,,0,,,,350
3050086,设置玩家天空盒开关(动效),3,3,3,1,设置%1%2为%3,8,"0,0,0,0,0,0",,,,1124|1|0,5|900001,1139|1|0,5|1000001,1013|1|0,5|100001,,,,,,,,,,,,,,,,,0,,,,351
3050087,设置玩家滤镜的颜色(动效),3,3,3,1,设置%1的滤镜颜色为%2，动画%3，时长%4秒,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1056|1|0,1|0xFFFFFF,1112|1|2,5|850002,1005|1|0,1|1,,,,,,,,,,,,,,,,,306286,,352
3050088,设置玩家镜头特效(动效),3,3,3,1,设置%1的镜头特效为%2，颜色%3，密度%4，方向%5,8,"0,0,0,0,0,0",,,,1018|1|0,3|60009,1076|1|0,2|30001,1056|1|0,1|0xFFFFFF,1005|1|0,1|1,1005|1|0,1|1,,,,,,,,,,,,,0,100,,,353
3050013,设置玩家摄像机角度,3,3,3,1,设置%1的摄像机角度为世界坐标水平%2度，垂直%3度,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1005|1|0,1|1,1005|1|0,1|1,,,,,,,,,,,,,,,,,0,,306123,,354
3050048,抖动玩家摄像机,3,3,3,1,抖动%1摄像机%2秒，强度为%3,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1005|1|0,1|2,1005|1|0,1|100,,,,,,,,,,,,,,,,,,,306059,1,355
3050049,停止玩家摄像机抖动,3,3,3,1,停止%1摄像机抖动,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,,,306115,,356
3050069,使摄像机移动,3,3,3,1,使%1%2%3(与世界坐标比例为100:1)，动画%4，时长%5秒,8,"1,1,0,1,1,0",,,,1132|1|0,3|320001,1120|1|2,5|840001,1005|1|0,1|10,1112|1|2,5|850002,1005|1|0,1|1,,,,,,,,,,,,,0,,306120,,357
3050070,使摄像机旋转,3,3,3,1,使%1%2%3，动画%4，时长%5秒,8,"1,1,0,1,1,0",,,,1132|1|0,3|320002,1120|1|2,5|840001,1005|1|0,1|45,1112|1|2,5|850002,1005|1|0,1|1,,,,,,,,,,,,,0,,306121,,358
3050071,设置摄像机权限,3,3,3,1,设置%1的摄像机%2为%3,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1130|1|2,5|960001,1013|1|2,5|100001,,,,,,,,,,,,,,,,,0,,306118,,359
3050072,设置摄像机转动模式,3,3,3,1,设置%1的摄像机转动模式为%2,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1131|1|2,5|970001,,,,,,,,,,,,,,,,,,,0,,306122,,360
3050073,将摄像机挂载到对象,3,3,3,1,将%1的摄像机挂载到%2上,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1048|1|0,,,,,,,,,,,,,,,,,,,,0,,306117,,361
3050074,将摄像机挂载到位置,3,3,3,1,将%1的摄像机挂载到%2上,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1002|1|0,,,,,,,,,,,,,,,,,,,,0,,306116,,362
3050075,还原摄像机属性,3,3,3,1,还原%1的摄像机属性,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,100,306119,,363
3050063,使玩家手机震动,3,3,3,1,设置%1手机震动时长%2毫秒，强度%3,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1005|1|0,1|100,1005|1|0,1|100,,,,,,,,,,,,,,,,,,100,306287,,364
3200004,对玩家显示显示板,3,3,3,1,对%1显示%2,10,"1,0,0,1,1,0",,,,1018|1|0,3|60009,1082|1|0,,,,,,,,,,,,,,,,,,,,,,306288,,365
3200005,对玩家隐藏显示板,3,3,3,1,对%1设置%2为隐藏,10,"1,0,0,1,1,0",,,,1018|1|0,3|60009,1082|1|0,,,,,,,,,,,,,,,,,,,,,,306289,,366
3200001,设置玩家显示板的图片,3,3,3,1,设置该%1%2图片为%3,10,"1,0,0,1,1,0",,,,1018|1|0,3|60009,1082|1|0,,1076|1|0,2|10100,,,,,,,,,,,,,,,,,,,306290,,367
3200002,设置玩家显示板的视频,3,3,3,1,设置该%1%2视频链接为%3,10,"1,0,0,1,1,0",,,,1018|1|0,3|60009,1082|1|0,,1010|1|0,,,,,,,,,,,,,,,,,,,,306291,,368
3200003,设置玩家显示板的界面,3,3,3,1,设置该%1%2显示界面为%3,10,"1,0,0,1,1,0",,,,1018|1|0,3|60009,1082|1|0,,1074|1|0,,,,,,,,,,,,,,,,,,2,,"1.同个显示板可以对不同玩家显示不同的内容
2.需要对所有玩家都执行一次该事件，才能让所有玩家看到相同的内容",,369
3200006,设置玩家显示板视频播放模式,3,3,3,1,设置该%1%2 的视频播放模式为%3,10,"1,0,0,1,1,0",,,,1018|1|0,3|60009,1082|1|0,,1086|1|2,5|610001,,,,,,,,,,,,,,,,,,,306292,,370
3200007,设置玩家显示板的网络视频,3,3,3,1,设置该%1%2显示网络视频链接为%3,10,"1,0,0,1,1,0",,,,1018|1|0,3|60009,1082|1|0,,1010|1|0,,,,,,,,,,,,,,,,,,,100,306293,,371
3050010,设置玩家队伍,3,3,3,1,设置%1的队伍为%2，重置原属性值%3,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1023|1|0,5|170001,1013|1|2,5|100001,,,,,,,,,,,,,,,,,0,,306296,,372
3050061,对玩家打开排行榜,3,3,3,1,对%1显示%2,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1111|1|0,,,,,,,,,,,,,,,,,,,,0,,306297,,373
3050062,对玩家隐藏排行榜,3,3,3,1,对%1隐藏排行榜,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,,,,,,,,,,,,,,,,,,,,,0,,306298,,374
3060001,添加玩家进玩家组,3,3,3,1,将%1添加进%2,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1019|0|0,,,,,,,,,,,,,,,,,,,,0,,306299,,375
3060002,从玩家组中移除玩家,3,3,3,1,将%1从%2中移除,8,"1,1,0,1,1,0",,,,1018|1|0,3|60009,1019|0|0,,,,,,,,,,,,,,,,,,,,0,,306300,,376
3060003,清空玩家组,3,3,3,1,清空%1,8,"1,1,0,1,1,0",,,,1019|0|0,,,,,,,,,,,,,,,,,,,,,,0,100,306301,,377
3060004,对玩家组执行触发器,3,3,3,1,对%1内的每一个玩家执行%2，并检查触发器条件为%3,8,"1,1,0,1,1,0",,,,1019|1|0,,1038|1|0,,1014|1|0,5|320002,,,,,,,,,,,,,,,,,0,,306302,,378
3060006,对玩家组显示飘窗文字,3,3,3,1,对%1内每一个玩家显示飘窗文字%2,10,"1,1,0,1,1,0",,,,1019|1|0,,1010|1|0,1|300198,,,,,,,,,,,,,,,,,,,0,,306040,1,379
3060005,对玩家组显示聊天框信息,3,3,3,1,对%1内每一个玩家显示聊天框信息%2,10,"1,1,0,1,1,0",,,,1019|1|0,,1010|1|0,1|300198,,,,,,,,,,,,,,,,,,,0,,306221,,380
