任务ID,名称,类型（0=主线、1=支线、2=成就、3=科技树）,描述(加上@goal_index#会显示对应任务目标序号的任务计数，使用@item_道具id#添加可查看详情的道具),任务追踪框描述(加上@goal_index#会显示对应任务目标序号的任务计数，使用@item_道具id#添加道具文本，默认颜色#c7bbe3a),任务目标(道具：I_itemID(若使用组则填“IG_道具ID”)、生物：M_monsterID、生态：B_biometypename、星球：P_planet(0=迷拉星，1=烈焰星，2=萌眼星)、T_tunestoneEnchantType，0代表任意),奖励（成就型任务只读取index=1的奖励）,奖励发放类型(1=自动发放 2=手动领取),任务icon(填写“id”，获取显示对应item的图标，填写“#id”表示使用生物头像，路径：Assetruntime\Assets\Resources\ui\roles),指引图片(读取Assetruntime\Assets\Resources\ui\survivetaskguide目录下的文件名),继承存量已完成任务id,条件记录方式（科技树专用）,能否预完成（0=允许，1=不允许）,是否上报服务器（0=不上报，1=上报）,上报参数1,上报参数2
309602,原色艺术家2,2,"[
{
""String"" : ""获得@item_11514#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11514#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11514"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 15
}
]",2,11514,,[2010013],0,,0,,
309603,原色艺术家3,2,"[
{
""String"" : ""获得@item_11532#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11532#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11532"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 15
}
]",2,11532,,[2010014],0,,0,,
309604,原色艺术家4,2,"[
{
""String"" : ""获得@item_11500#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11500#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11500"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 15
}
]",2,11500,,[],0,,0,,
309701,调色1,2,"[
{
""String"" : ""获得@item_11501#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11501#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11501"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11501,,[2010015],0,,0,,
309702,调色2,2,"[
{
""String"" : ""获得@item_11502#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11502#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11502"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11502,,[],0,,0,,
309703,调色3,2,"[
{
""String"" : ""获得@item_11503#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11503#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11503"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11503,,[],0,,0,,
309704,调色4,2,"[
{
""String"" : ""获得@item_11505#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11505#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11505"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11505,,[],0,,0,,
309705,调色5,2,"[
{
""String"" : ""获得@item_11506#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11506#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11506"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11506,,[],0,,0,,
309706,调色6,2,"[
{
""String"" : ""获得@item_11507#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11507#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11507"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11507,,[],0,,0,,
309801,调色7,2,"[
{
""String"" : ""获得@item_11508#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11508#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11508"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11508,,[],0,,0,,
309802,调色8,2,"[
{
""String"" : ""获得@item_11509#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11509#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11509"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11509,,[],0,,0,,
309803,调色9,2,"[
{
""String"" : ""获得@item_11510#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11510#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11510"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11510,,[2010017],0,,0,,
309804,调色10,2,"[
{
""String"" : ""获得@item_11512#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11512#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11512"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11512,,[],0,,0,,
309805,调色11,2,"[
{
""String"" : ""获得@item_11513#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11513#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11513"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11513,,[2010016],0,,0,,
309806,调色12,2,"[
{
""String"" : ""获得@item_11515#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11515#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11515"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11515,,[],0,,0,,
309901,调色13,2,"[
{
""String"" : ""获得@item_11536#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11536#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11536"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11536,,[],0,,0,,
309902,调色14,2,"[
{
""String"" : ""获得@item_11537#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11537#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11537"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11537,,[],0,,0,,
309903,调色15,2,"[
{
""String"" : ""获得@item_11538#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11538#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11538"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11538,,[],0,,0,,
309904,调色16,2,"[
{
""String"" : ""获得@item_11539#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11539#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11539"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11539,,[],0,,0,,
309905,调色17,2,"[
{
""String"" : ""获得@item_11540#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11540#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11540"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11540,,[],0,,0,,
309906,调色18,2,"[
{
""String"" : ""获得@item_11541#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11541#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11541"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11541,,[],0,,0,,
310001,调色19,2,"[
{
""String"" : ""获得@item_11542#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11542#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11542"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11542,,[],0,,0,,
310002,调色20,2,"[
{
""String"" : ""获得@item_11543#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11543#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11543"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11543,,[],0,,0,,
310003,调色21,2,"[
{
""String"" : ""获得@item_11544#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11544#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11544"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11544,,[],0,,0,,
310004,调色22,2,"[
{
""String"" : ""获得@item_11545#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11545#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11545"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11545,,[],0,,0,,
310005,调色23,2,"[
{
""String"" : ""获得@item_11546#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11546#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11546"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11546,,[],0,,0,,
310006,调色24,2,"[
{
""String"" : ""获得@item_11547#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11547#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11547"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 10
}
]",2,11547,,[],0,,0,,
310101,BOSS战利品1,2,"[
{
""String"" : ""获得@item_11591#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11591#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11591"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 50
}
]",2,11591,,[],0,,0,,
310102,BOSS战利品2,2,"[
{
""String"" : ""获得@item_12056#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_12056#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_12056"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 50
}
]",2,12056,,[],0,,0,,
310103,BOSS战利品3,2,"[
{
""String"" : ""获得@item_1059#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_1059#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_1059"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 50
}
]",2,1059,,[],0,,0,,
310104,BOSS战利品4,2,"[
{
""String"" : ""获得@item_12311#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_12311#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_12311"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 50
}
]",2,12311,,[],0,,0,,
310105,BOSS战利品5,2,"[
{
""String"" : ""获得@item_11232#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11232#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11232"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 50
}
]",2,11232,,[],0,,0,,
310201,星能1,2,"[
{
""String"" : ""制作@item_366#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作@item_366#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 4,
""GoalID1"" : ""I_366"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 25
}
]",2,366,,[],0,,0,,
310202,星能2,2,"[
{
""String"" : ""制作@item_374#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作@item_374#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 4,
""GoalID1"" : ""I_374"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 25
}
]",2,374,,[],0,,0,,
310203,星能3,2,"[
{
""String"" : ""制作@item_387#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作@item_387#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 4,
""GoalID1"" : ""I_387"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 25
}
]",2,387,,[],0,,0,,
310204,星能4,2,"[
{
""String"" : ""制作@item_353#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作@item_353#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 4,
""GoalID1"" : ""I_353"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 25
}
]",2,353,,[],0,,0,,
310205,星能5,2,"[
{
""String"" : ""制作@item_354#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作@item_354#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 4,
""GoalID1"" : ""I_354"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 25
}
]",2,354,,[],0,,0,,
310206,星能6,2,"[
{
""String"" : ""制作@item_355#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作@item_355#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 4,
""GoalID1"" : ""I_355"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 25
}
]",2,355,,[],0,,0,,
310301,星能7,2,"[
{
""String"" : ""制作@item_1052#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作@item_1052#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 4,
""GoalID1"" : ""I_1052"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 25
}
]",2,1052,,[],0,,0,,
310302,星能8,2,"[
{
""String"" : ""制作@item_1053#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作@item_1053#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 4,
""GoalID1"" : ""I_1053"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 25
}
]",2,1053,,[],0,,0,,
310303,星能9,2,"[
{
""String"" : ""制作@item_1054#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作@item_1054#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 4,
""GoalID1"" : ""I_1054"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 25
}
]",2,1054,,[],0,,0,,
310304,星能10,2,"[
{
""String"" : ""制作@item_1032#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作@item_1032#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 4,
""GoalID1"" : ""I_1032"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 25
}
]",2,1032,,[],0,,0,,
310305,星能11,2,"[
{
""String"" : ""制作@item_1168#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作@item_1168#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 4,
""GoalID1"" : ""I_1168"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 25
}
]",2,1168,,[],0,,0,,
310306,星能12,2,"[
{
""String"" : ""制作@item_1169#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作@item_1169#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 4,
""GoalID1"" : ""I_1169"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 25
}
]",2,1169,,[],0,,0,,
310401,星能13,2,"[
{
""String"" : ""制作@item_356#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作@item_356#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 4,
""GoalID1"" : ""I_356"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 25
}
]",2,356,,[],0,,0,,
310402,星能14,2,"[
{
""String"" : ""制作@item_357#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作@item_357#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 4,
""GoalID1"" : ""I_357"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 25
}
]",2,357,,[],0,,0,,
310403,星能15,2,"[
{
""String"" : ""制作@item_365#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作@item_365#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 4,
""GoalID1"" : ""I_365"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 25
}
]",2,365,,[],0,,0,,
310404,星能16,2,"[
{
""String"" : ""制作@item_358#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作@item_358#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 4,
""GoalID1"" : ""I_358"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 25
}
]",2,358,,[],0,,0,,
310405,星能17,2,"[
{
""String"" : ""制作@item_364#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作@item_364#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 4,
""GoalID1"" : ""I_364"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 25
}
]",2,364,,[],0,,0,,
310406,星能18,2,"[
{
""String"" : ""制作@item_360#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作@item_360#@goal_1#""
]
","[
{
""Index"" : 1,
""Type"" : 4,
""GoalID1"" : ""I_360"",
""GoalNum"" : 1
}
]
","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 25
}
]",2,360,,[],0,,0,,
310501,符文强化1,2,"[
{
""String"" : ""进行#c79b83e符文强化#n@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""进行#c79b83e符文强化#n@goal_1#！""
]","[
{
""Index"" : 1,
""Type"" : 18,
""GoalID1"" : 0,
""GoalNum"" : 3
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 50
}
]",2,785,,[],0,,0,,
310502,符文强化2,2,"[
{
""String"" : ""进行#c79b83e符文强化#n@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""进行#c79b83e符文强化#n@goal_1#！""
]","[
{
""Index"" : 1,
""Type"" : 18,
""GoalID1"" : 0,
""GoalNum"" : 10
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 150
}
]",2,785,,[],0,,0,,
310503,符文强化3,2,"[
{
""String"" : ""进行#c79b83e符文强化#n@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""进行#c79b83e符文强化#n@goal_1#！""
]","[
{
""Index"" : 1,
""Type"" : 18,
""GoalID1"" : 0,
""GoalNum"" : 50
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 500
}
]",2,785,,[],0,,0,,
310504,符文强化4,2,"[
{
""String"" : ""进行#c79b83e符文强化#n@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""进行#c79b83e符文强化#n@goal_1#！""
]","[
{
""Index"" : 1,
""Type"" : 18,
""GoalID1"" : 0,
""GoalNum"" : 100
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 1000
}
]",2,785,,[],0,,0,,
310505,符文强化5,2,"[
{
""String"" : ""进行#c79b83e符文强化#n@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""进行#c79b83e符文强化#n@goal_1#！""
]","[
{
""Index"" : 1,
""Type"" : 18,
""GoalID1"" : 0,
""GoalNum"" : 500
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 3000
}
]",2,785,,[],0,,0,,
310601,满腹经纶,2,"[
{
""String"" : ""使用@item_1143#编书@goal_1# #r"",
""UnlockTaskId"" : 0,
},
{
""String"" : ""在@item_1143#中可以把写有文字的@item_11806#封装成册#r"",
""UnlockTaskId"" : 0,
}
]","[
""使用@item_1143#"",
""编书@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 26,
""GoalID1"" : 0,
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11806,
""RewardNum"" : 3
}
]",1,11804,,"[2010009,2010010]",0,,0,,
310701,苍穹呼叫,2,"[
{
""String"" : ""制作@item_13274#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作@item_13274#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_13274"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 100
}
]",1,13274,,[],0,,0,,
310702,坤舆呼叫,2,"[
{
""String"" : ""制作@item_13275#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""制作@item_13275#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_13275"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 100
}
]",1,13275,,[],0,,0,,
310801,收集符能粉尘1,2,"[
{
""String"" : ""获得@item_11516#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11516#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11516"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11516,
""RewardNum"" : 3
}
]",1,11516,,[],0,,0,,
310802,收集符能粉尘2,2,"[
{
""String"" : ""获得@item_11516#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11516#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11516"",
""GoalNum"" : 50
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 300
}
]",1,11516,,[],0,,0,,
310803,收集符能粉尘3,2,"[
{
""String"" : ""获得@item_11516#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11516#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11516"",
""GoalNum"" : 500
}
]","[
{
""Index"" : 1,
""RewardType"" : 1,
""RewardID"" : 0,
""RewardNum"" : 1000
}
]",1,11516,,[],0,,0,,
310901,符能提炼失败,2,"[
{
""String"" : ""获得@item_11522#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11522#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11522"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11516,
""RewardNum"" : 10
}
]",1,11522,,[],0,,0,,
311001,获得铭刻稳定剂,2,"[
{
""String"" : ""获得@item_11678#@goal_1#"",
""UnlockTaskId"" : 0,
}
]","[
""获得@item_11678#@goal_1#""
]","[
{
""Index"" : 1,
""Type"" : 3,
""GoalID1"" : ""I_11678"",
""GoalNum"" : 1
}
]","[
{
""Index"" : 1,
""RewardType"" : 0,
""RewardID"" : 11678,
""RewardNum"" : 2
}
]",1,11678,,[],0,,0,,
311002,蘑晶新手,2,"[
{
""String"": ""获得#c7bbe3a蘑晶石#n×10"",
""UnlockTaskId"": 0
}
]","[
""获得@item_201907#@goal_1#""
]","[
{
""Index"": 1,
""Type"": 3,
""GoalID1"": ""I_201907"",
""GoalNum"": 10
}
]","[
{
""Index"": 1,
""RewardType"": 1,
""RewardID"": 0,
""RewardNum"": 1
}
]",2,201907,,,[],0,0,,
