iD,备注（坐骑必须配置两个，服务器解锁用0级，客户端商店用1级）,被骑时高度,存档界面显示放缩,商城界面显示放缩,最小生命,最大生命,最小陆地速度,最大陆地速度,最小飞行速度,最大飞行速度,最小游泳速度,最大游泳速度,最小跳跃高度,最大跳跃高度,坐骑蛋ID,下蛋时间(刻),骑乘切换背视角,子模型显示（原鞍使用模型）,天生装备鞍,天生装备铠甲,铠甲栏位概率,天生技能1（1孵化蛋，2蓄力期间加速，3水上行走，4超级跳跃，5滑翔，6岩浆行走，7奔腾）,天生技能2（同天生技能1）,天生技能3（同天生技能1）,天生技能4（同天生技能1）,天生技能5（同天生技能1）,天生技能6（同天生技能1）,坐骑类型(1=变形关联坐骑2=驯服类坐骑3=解锁坐骑),骑乘绑点ID,"个人中心界面位置调整（基准位置-260, 20, -150）",,加速特效名称,食物,骑乘坐姿（0坐，1站）,变色
45640,虎虎生威,290,0.5,,220,220,1000,1000,,,,,100,100,,,1,4,12273,12274,100,106,10706,108,248,,,3,220,"-300, 20, -150",,,12530,,
4567,米兰达0级,290,0.5,,100,100,2000,2000,,,,,70,70,,,,1,11810,,,,,,,,,1,,,,,,,
4568,米兰达,290,0.5,,100,100,2000,2000,,,,,70,70,,,,2,12273,12274,,,,,,,,1,,,,,,,
4569,帝皇侠0级,290,0.5,,100,100,2000,2000,,,,,70,70,,,,1,11810,,,,,,,,,1,,,,,,,
4570,帝皇侠,290,0.5,,100,100,2000,2000,,,,,70,70,,,,2,12273,12274,,,,,,,,1,,,,,,,
4571,纸鹤0级,290,0.5,0.7,160,160,500,500,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,"-300, 20, -150",,,302,,
4572,星语心愿,290,0.5,0.7,180,180,800,800,,,,,80,80,,,1,2,12273,12274,100,109,,,,,,3,,"-300, 20, -150",,,302,,
4573,星语心愿,290,0.5,0.7,180,180,830,830,,,,,80,80,,,1,2,12273,12274,100,109,,,,,,3,,"-300, 20, -150",,,302,,
4574,星语心愿,290,0.5,0.7,180,180,860,860,,,,,80,80,,,1,2,12273,12274,100,109,,,,,,3,,"-300, 20, -150",,,302,,
45744,星语心愿,290,0.5,0.7,180,180,890,890,,,,,80,80,,,1,2,12273,12274,100,109,,,,,,3,,"-300, 20, -150",,,302,,
45745,华灯初上,290,0.5,0.7,200,200,900,900,,,,,90,90,,,1,3,12273,12274,100,110,112,,,,,3,,"-300, 20, -150",,,302,,
45746,华灯初上,290,0.5,0.7,200,200,920,920,,,,,90,90,,,1,3,12273,12274,100,110,112,,,,,3,,"-300, 20, -150",,,302,,
45747,华灯初上,290,0.5,0.7,200,200,940,940,,,,,90,90,,,1,3,12273,12274,100,110,112,,,,,3,,"-300, 20, -150",,,302,,
45748,华灯初上,290,0.5,0.7,200,200,960,960,,,,,90,90,,,1,3,12273,12274,100,110,112,,,,,3,,"-300, 20, -150",,,302,,
45749,华灯初上,290,0.5,0.7,200,200,980,980,,,,,90,90,,,1,3,12273,12274,100,110,112,,,,,3,,"-300, 20, -150",,,302,,
45750,春风燕语,290,0.5,0.7,220,220,1000,1000,,,,,100,100,,,1,4,12273,12274,100,111,241,113,,,,3,,"-300, 20, -150",,,302,,
4575,沙漠之舟0级,290,0.5,,160,160,500,500,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,,,,,,
4576,沙漠之舟,290,0.5,,220,220,600,600,,,,,60,60,,,1,2,12273,12274,100,6,,,,,,3,,,,,,,
4577,绿洲使者,290,0.5,,260,260,700,700,,,,,70,70,,,1,3,12273,12274,100,6,,,,,,3,,,,,,,
4578,华丽神驼,290,0.5,,290,290,800,800,,,,,80,80,,,1,4,12273,12274,100,6,,,,,,3,,,,,,,
4579,画卷0级,290,0.5,,180,180,600,600,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,"-210, 20, -150",,,12613,,
4580,梦逍遥,290,0.5,,180,180,800,800,,,,,80,80,,,1,2,12273,12274,100,114,116,,,,,3,,"-210, 20, -150",,,12613,,
4581,梦逍遥,290,0.5,,180,180,830,830,,,,,80,80,,,1,2,12273,12274,100,114,116,,,,,3,,"-210, 20, -150",,,12613,,
45793,梦逍遥,290,0.5,,180,180,860,860,,,,,80,80,,,1,2,12273,12274,100,114,116,,,,,3,,"-210, 20, -150",,,12613,,
45794,梦逍遥,290,0.5,,180,180,890,890,,,,,80,80,,,1,2,12273,12274,100,114,116,,,,,3,,"-210, 20, -150",,,12613,,
45795,梦逍遥,290,0.5,,200,200,900,900,,,,,90,90,,,1,2,12273,12274,100,114,116,,,,,3,,"-210, 20, -150",,,12613,,
45796,梦逍遥,290,0.5,,200,200,920,920,,,,,90,90,,,1,2,12273,12274,100,114,116,,,,,3,,"-210, 20, -150",,,12613,,
45797,梦逍遥,290,0.5,,200,200,940,940,,,,,90,90,,,1,2,12273,12274,100,114,116,,,,,3,,"-210, 20, -150",,,12613,,
45798,梦逍遥,290,0.5,,200,200,960,960,,,,,90,90,,,1,2,12273,12274,100,114,116,,,,,3,,"-210, 20, -150",,,12613,,
45799,梦逍遥,290,0.5,,200,200,980,980,,,,,90,90,,,1,2,12273,12274,100,114,116,,,,,3,,"-210, 20, -150",,,12613,,
45800,绘江山,290,0.5,,220,220,1000,1000,,,,,100,100,,,1,3,12273,12274,100,115,116,117,241,,,3,,"-210, 20, -150",,,12613,,
4582,仙钥0级,290,0.5,0.55,160,160,500,500,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,,,,12508,,
4583,逐影之钥,290,0.5,0.7,180,180,800,800,,,,,80,80,,,1,2,12273,12274,100,118,,,,,,3,200,"-230, 20, -150",,,12508,,
4584,逐影之钥,290,0.5,0.7,180,180,830,830,,,,,80,80,,,1,2,12273,12274,100,118,,,,,,3,200,"-230, 20, -150",,,12508,,
4585,逐影之钥,290,0.5,0.6,180,180,860,860,,,,,80,80,,,1,2,12273,12274,100,118,,,,,,3,200,"-230, 20, -150",,,12508,,
45824,逐影之钥,290,0.5,0.6,180,180,890,890,,,,,80,80,,,1,2,12273,12274,100,118,,,,,,3,200,"-230, 20, -150",,,12508,,
45825,梦璃之钥,290,0.5,0.6,200,200,900,900,,,,,90,90,,,1,3,12273,12274,100,118,9,,,,,3,210,,,,12508,,
45826,梦璃之钥,290,0.5,0.6,200,200,920,920,,,,,90,90,,,1,3,12273,12274,100,118,9,,,,,3,210,,,,12508,,
45827,梦璃之钥,290,0.5,0.6,200,200,940,940,,,,,90,90,,,1,3,12273,12274,100,118,9,,,,,3,210,,,,12508,,
45828,梦璃之钥,290,0.5,0.6,200,200,960,960,,,,,90,90,,,1,3,12273,12274,100,118,9,,,,,3,210,,,,12508,,
45829,梦璃之钥,290,0.5,0.6,200,200,980,980,,,,,90,90,,,1,3,12273,12274,100,118,9,,,,,3,210,,,,12508,,
45830,羽辉之钥,290,0.5,0.6,220,220,1000,1000,,,,,100,100,,,1,4,12273,12274,100,119,9,120,241,,,3,220,"-290, 20, -150",,,12508,,
4586,御剑0级,290,0.5,,180,180,600,600,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,,,,12516,1,
4587,赤霄长剑,290,0.5,,160,160,700,700,,,,,70,70,,,1,2,12273,12274,100,121,123,,,,,3,,,,,12516,1,
4588,赤霄长剑,290,0.5,,160,160,730,730,,,,,70,70,,,1,2,12273,12274,100,121,123,,,,,3,,,,,12516,1,
45863,赤霄长剑,290,0.5,,160,160,760,760,,,,,70,70,,,1,2,12273,12274,100,121,123,,,,,3,,,,,12516,1,
45864,赤霄长剑,290,0.5,,160,160,790,790,,,,,70,70,,,1,2,12273,12274,100,121,123,,,,,3,,,,,12516,1,
45865,赤霄长剑,290,0.5,,170,170,800,800,,,,,80,80,,,1,2,12273,12274,100,121,123,,,,,3,,,,,12516,1,
45866,赤霄长剑,290,0.5,,170,170,820,820,,,,,80,80,,,1,2,12273,12274,100,121,123,,,,,3,,,,,12516,1,
45867,赤霄长剑,290,0.5,,170,170,840,840,,,,,80,80,,,1,2,12273,12274,100,121,123,,,,,3,,,,,12516,1,
45868,赤霄长剑,290,0.5,,170,170,860,860,,,,,80,80,,,1,2,12273,12274,100,121,123,,,,,3,,,,,12516,1,
45869,赤霄长剑,290,0.5,,170,170,880,880,,,,,80,80,,,1,2,12273,12274,100,121,123,,,,,3,,,,,12516,1,
45870,轩辕圣剑,290,0.5,,180,180,900,900,,,,,90,90,,,1,3,12273,12274,100,122,123,124,,,,3,,,,,12516,1,
4589,浴缸0级,290,0.5,,180,180,600,600,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,"-280, 30, -150",,,12500,,
4590,休闲时光,290,0.3,0.6,180,180,800,800,,,,,80,80,,,1,2,12273,12274,100,125,,,,,,3,,"-280, 30, -150",,,12500,,
4591,休闲时光,290,0.3,0.6,180,180,830,830,,,,,80,80,,,1,2,12273,12274,100,125,,,,,,3,,"-280, 30, -150",,,12500,,
4592,休闲时光,290,0.3,0.5,180,180,860,860,,,,,80,80,,,1,2,12273,12274,100,125,,,,,,3,,"-280, 30, -150",,,12500,,
45894,休闲时光,290,0.3,0.5,180,180,890,890,,,,,80,80,,,1,2,12273,12274,100,125,,,,,,3,,"-280, 30, -150",,,12500,,
45895,童趣时光,290,0.3,0.5,200,200,900,900,,,,,90,90,,,1,3,12273,12274,100,125,127,,,,,3,,"-280, 30, -150",,,12500,,
45896,童趣时光,290,0.3,0.5,200,200,920,920,,,,,90,90,,,1,3,12273,12274,100,125,127,,,,,3,,"-280, 30, -150",,,12500,,
45897,童趣时光,290,0.3,0.5,200,200,940,940,,,,,90,90,,,1,3,12273,12274,100,125,127,,,,,3,,"-280, 30, -150",,,12500,,
45898,童趣时光,290,0.3,0.5,200,200,960,960,,,,,90,90,,,1,3,12273,12274,100,125,127,,,,,3,,"-280, 30, -150",,,12500,,
45899,童趣时光,290,0.3,0.5,200,200,980,980,,,,,90,90,,,1,3,12273,12274,100,125,127,,,,,3,,"-280, 30, -150",,,12500,,
45900,梦幻时光,290,0.3,0.5,220,220,1000,1000,,,,,100,100,,,1,4,12273,12274,100,126,248,128,,,,3,,"-280, 30, -150",,,12500,,
4593,狐仙0级,290,0.5,,180,180,600,600,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,"-280, 20, -150",,,12525,,
4594,萌小狸,290,0.5,,180,180,800,800,,,,,80,80,,,1,2,12273,12274,100,129,,,,,,3,200,"-340, 20, -150",,,12525,,
4595,萌小狸,290,0.5,,180,180,830,830,,,,,80,80,,,1,2,12273,12274,100,129,,,,,,3,200,"-340, 20, -150",,,12525,,
4596,萌小狸,290,0.5,,180,180,860,860,,,,,80,80,,,1,2,12273,12274,100,129,,,,,,3,200,"-340, 20, -150",,,12525,,
45934,萌小狸,290,0.5,,180,180,890,890,,,,,80,80,,,1,2,12273,12274,100,129,,,,,,3,200,"-340, 20, -150",,,12525,,
45935,狐灵俐,290,0.5,,200,200,900,900,,,,,90,90,,,1,3,12273,12274,100,129,131,,,,,3,210,"-300, 20, -150",,,12525,,
45936,狐灵俐,290,0.5,,200,200,920,920,,,,,90,90,,,1,3,12273,12274,100,129,13101,,,,,3,210,"-300, 20, -150",,,12525,,
45937,狐灵俐,290,0.5,,200,200,940,940,,,,,90,90,,,1,3,12273,12274,100,129,13102,,,,,3,210,"-300, 20, -150",,,12525,,
45938,狐灵俐,290,0.5,,200,200,960,960,,,,,90,90,,,1,3,12273,12274,100,129,13103,,,,,3,210,"-300, 20, -150",,,12525,,
45939,狐灵俐,290,0.5,,200,200,980,980,,,,,90,90,,,1,3,12273,12274,100,129,13104,,,,,3,210,"-300, 20, -150",,,12525,,
45940,赤颜幻姬,290,0.5,,220,220,1000,1000,,,,,100,100,,,1,4,12273,12274,100,130,13105,132,248,,,3,220,"-280, 20, -150",,,12525,,
4597,猫猫车0级,290,0.5,,200,200,600,600,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,"-280, 20, -150",,,11099,,
4598,喵萌敞篷车,290,0.5,,200,200,600,600,,,,,70,70,,,1,2,12273,12274,100,133,,,,,,3,,"-280, 20, -150",,,11099,,
4601,骆驼0级,290,0.5,,180,180,600,600,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,"-280, 20, -150",,,12601,,
4602,驼铃声声,290,0.5,,160,160,600,600,,,,,70,70,,,1,2,12273,12274,100,134,,,,,,3,,"-280, 20, -150",,,12601,,
4603,驼铃声声,290,0.5,,160,160,620,620,,,,,70,70,,,1,2,12273,12274,100,134,,,,,,3,,"-280, 20, -150",,,12601,,
46013,驼铃声声,290,0.5,,160,160,640,640,,,,,70,70,,,1,2,12273,12274,100,134,,,,,,3,,"-280, 20, -150",,,12601,,
46014,驼铃声声,290,0.5,,160,160,660,660,,,,,70,70,,,1,2,12273,12274,100,134,,,,,,3,,"-280, 20, -150",,,12601,,
46015,驼铃声声,290,0.5,,160,160,680,680,,,,,80,80,,,1,2,12273,12274,100,134,,,,,,3,,"-280, 20, -150",,,12601,,
46016,驼铃声声,290,0.5,,160,160,700,700,,,,,80,80,,,1,2,12273,12274,100,134,,,,,,3,,"-280, 20, -150",,,12601,,
46017,驼铃声声,290,0.5,,160,160,720,720,,,,,80,80,,,1,2,12273,12274,100,134,,,,,,3,,"-280, 20, -150",,,12601,,
46018,驼铃声声,290,0.5,,160,160,740,740,,,,,80,80,,,1,2,12273,12274,100,134,,,,,,3,,"-280, 20, -150",,,12601,,
46019,驼铃声声,290,0.5,,160,160,760,760,,,,,80,80,,,1,2,12273,12274,100,134,,,,,,3,,"-280, 20, -150",,,12601,,
46020,沙漠之舟,290,0.5,,180,180,800,800,,,,,90,90,,,1,3,12273,12274,100,134,135,,,,,3,,"-280, 20, -150",,,12601,,
4605,孔雀0级,290,0.5,,180,180,600,600,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,"-280, 20, -150",,,12525,,
4606,青绿,290,0.5,,180,180,800,800,,,,,80,80,,,1,2,12273,12274,100,136,,,,,,3,200,"-280, 20, -150",,,12525,,
4607,青绿,290,0.5,,180,180,830,830,,,,,80,80,,,1,2,12273,12274,100,136,,,,,,3,200,"-280, 20, -150",,,12525,,
4608,青绿,290,0.5,,180,180,860,860,,,,,80,80,,,1,2,12273,12274,100,136,,,,,,3,200,"-280, 20, -150",,,12525,,
46054,青绿,290,0.5,,180,180,890,890,,,,,80,80,,,1,2,12273,12274,100,136,,,,,,3,200,"-280, 20, -150",,,12525,,
46055,子夜,290,0.5,,200,200,900,900,,,,,90,90,,,1,3,12273,12274,100,137,139,,,,,3,210,"-280, 20, -150",,,12525,,
46056,子夜,290,0.5,,200,200,920,920,,,,,90,90,,,1,3,12273,12274,100,137,139,,,,,3,210,"-280, 20, -150",,,12525,,
46057,子夜,290,0.5,,200,200,940,940,,,,,90,90,,,1,3,12273,12274,100,137,139,,,,,3,210,"-280, 20, -150",,,12525,,
46058,子夜,290,0.5,,200,200,960,960,,,,,90,90,,,1,3,12273,12274,100,137,139,,,,,3,210,"-280, 20, -150",,,12525,,
46059,子夜,290,0.5,,200,200,980,980,,,,,90,90,,,1,3,12273,12274,100,137,139,,,,,3,210,"-280, 20, -150",,,12525,,
46060,韶光,290,0.5,,220,220,1000,1000,,,,,100,100,,,1,4,12273,12274,100,138,241,140,,,,3,220,"-280, 20, -150",,,12525,,
4609,月饼0级,290,0.5,,180,180,600,600,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,"-320, 20, -150",,,11599,,
4610,心里软,290,0.5,,180,180,800,800,,,,,80,80,,,1,2,12273,12274,100,141,,,,,,3,200,"-320, 20, -150",,,11599,,
4611,心里软,290,0.5,,180,180,830,830,,,,,80,80,,,1,2,12273,12274,100,141,,,,,,3,200,"-320, 20, -150",,,11599,,
4612,心里软,290,0.5,,180,180,860,860,,,,,80,80,,,1,2,12273,12274,100,141,,,,,,3,200,"-320, 20, -150",,,11599,,
46094,心里软,290,0.5,,180,180,890,890,,,,,80,80,,,1,2,12273,12274,100,141,,,,,,3,200,"-320, 20, -150",,,11599,,
46095,遥相思,290,0.5,0.7,200,200,900,900,,,,,90,90,,,1,3,12273,12274,100,142,143,,,,,3,210,"-300, 20, -150",,,11599,,
46096,遥相思,290,0.5,0.7,200,200,920,920,,,,,90,90,,,1,3,12273,12274,100,142,143,,,,,3,210,"-300, 20, -150",,,11599,,
46097,遥相思,290,0.5,0.7,200,200,940,940,,,,,90,90,,,1,3,12273,12274,100,142,143,,,,,3,210,"-300, 20, -150",,,11599,,
46098,遥相思,290,0.5,0.7,200,200,960,960,,,,,90,90,,,1,3,12273,12274,100,142,143,,,,,3,210,"-300, 20, -150",,,11599,,
46099,遥相思,290,0.5,0.7,200,200,980,980,,,,,90,90,,,1,3,12273,12274,100,142,143,,,,,3,210,"-300, 20, -150",,,11599,,
46100,月中桂,290,0.5,0.6,220,220,1000,1000,,,,,100,100,,,1,4,12273,12274,100,142,248,144,,,,3,220,"-280, 20, -150",,,11599,,
4613,步撵0级,290,0.5,,180,180,600,600,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,,,,12610,,
4614,紫幽铃,290,0.5,0.75,180,180,800,800,,,,,80,80,,,1,2,12273,12274,100,145,,,,,,3,,,,,12610,,
4615,紫幽铃,290,0.5,0.75,180,180,830,830,,,,,80,80,,,1,2,12273,12274,100,145,,,,,,3,,,,,12610,,
4616,紫幽铃,290,0.5,0.75,180,180,860,860,,,,,80,80,,,1,2,12273,12274,100,145,,,,,,3,,,,,12610,,
46134,紫幽铃,290,0.5,0.75,180,180,890,890,,,,,80,80,,,1,2,12273,12274,100,145,,,,,,3,,,,,12610,,
46135,铃梦沁蝶,290,0.5,0.75,200,200,900,900,,,,,90,90,,,1,3,12273,12274,100,145,147,,,,,3,,,,,12610,,
46136,铃梦沁蝶,290,0.5,0.75,200,200,920,920,,,,,90,90,,,1,3,12273,12274,100,145,147,,,,,3,,,,,12610,,
46137,铃梦沁蝶,290,0.5,0.75,200,200,940,940,,,,,90,90,,,1,3,12273,12274,100,145,147,,,,,3,,,,,12610,,
46138,铃梦沁蝶,290,0.5,0.75,200,200,960,960,,,,,90,90,,,1,3,12273,12274,100,145,147,,,,,3,,,,,12610,,
46139,铃梦沁蝶,290,0.5,0.75,200,200,980,980,,,,,90,90,,,1,3,12273,12274,100,145,147,,,,,3,,,,,12610,,
46140,风铃兰语,290,0.5,0.75,220,220,1200,1200,,,,,100,100,,,1,4,12273,12274,100,146,241,148,,,,3,,,,,12610,,
4617,滑板0级,290,0.5,,180,180,600,600,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,"-320,20,-150",,,12613,1,
4618,枫潮滑板,290,0.5,1.2,160,160,600,600,,,,,70,70,,,1,2,12273,12274,100,149,,,,,,3,,"-320,20,-150",,,12613,1,
4619,枫潮滑板,290,0.5,1.2,160,160,620,620,,,,,70,70,,,1,2,12273,12274,100,149,,,,,,3,,"-320,20,-150",,,12613,1,
46173,枫潮滑板,290,0.5,1.2,160,160,640,640,,,,,70,70,,,1,2,12273,12274,100,149,,,,,,3,,"-320,20,-150",,,12613,1,
46174,枫潮滑板,290,0.5,1.2,160,160,660,660,,,,,70,70,,,1,2,12273,12274,100,149,,,,,,3,,"-320,20,-150",,,12613,1,
46175,枫潮滑板,290,0.5,1.2,160,160,680,680,,,,,80,80,,,1,2,12273,12274,100,149,,,,,,3,,"-320,20,-150",,,12613,1,
46176,枫潮滑板,290,0.5,1.2,160,160,700,700,,,,,80,80,,,1,2,12273,12274,100,149,,,,,,3,,"-320,20,-150",,,12613,1,
46177,枫潮滑板,290,0.5,1.2,160,160,720,720,,,,,80,80,,,1,2,12273,12274,100,149,,,,,,3,,"-320,20,-150",,,12613,1,
46178,枫潮滑板,290,0.5,1.2,160,160,740,740,,,,,80,80,,,1,2,12273,12274,100,149,,,,,,3,,"-320,20,-150",,,12613,1,
46179,枫潮滑板,290,0.5,1.2,160,160,760,760,,,,,80,80,,,1,2,12273,12274,100,149,,,,,,3,,"-320,20,-150",,,12613,1,
46180,极限枫动,290,0.5,1.2,180,180,800,800,,,,,90,90,,,1,3,12273,12274,100,149,150,,,,,3,,"-320,20,-150",,,12613,1,
4621,天幕星龙 卡珀0级,290,0.5,,100,100,2000,2000,,,,,70,70,,,,1,11810,,,,,,,,,1,,,,,,,
4622,天幕星龙 卡珀,290,0.5,,100,100,2000,2000,,,,,70,70,,,,2,12273,12274,,,,,,,,1,,,,,,,
4623,猪宝宝,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,,,,3,200,"-280, 40, -150",,,12601,,
4624,飞行猪噜噜,290,0.5,0.8,180,180,800,800,,,,,80,80,1873,108000,1,2,12273,12274,100,151,,,,,,3,210,"-320, 40, -150",,,12601,,
4625,飞行猪噜噜,290,0.5,0.8,180,180,830,830,,,,,80,80,1873,108000,1,2,12273,12274,100,151,,,,,,3,210,"-320, 40, -150",,,12601,,
46233,飞行猪噜噜,290,0.5,0.8,180,180,860,860,,,,,80,80,1873,108000,1,2,12273,12274,100,151,,,,,,3,210,"-320, 40, -150",,,12601,,
46234,飞行猪噜噜,290,0.5,0.8,180,180,890,890,,,,,80,80,1873,108000,1,2,12273,12274,100,151,,,,,,3,210,"-320, 40, -150",,,12601,,
46235,飞行猪噜噜,290,0.5,0.8,200,200,900,900,,,,,90,90,1873,108000,1,2,12273,12274,100,151,,,,,,3,210,"-320, 40, -150",,,12601,,
46236,飞行猪噜噜,290,0.5,0.8,200,200,920,920,,,,,90,90,1873,108000,1,2,12273,12274,100,151,,,,,,3,210,"-320, 40, -150",,,12601,,
46237,飞行猪噜噜,290,0.5,0.8,200,200,940,940,,,,,90,90,1873,108000,1,2,12273,12274,100,151,,,,,,3,210,"-320, 40, -150",,,12601,,
46238,飞行猪噜噜,290,0.5,0.8,200,200,960,960,,,,,90,90,1873,108000,1,2,12273,12274,100,151,,,,,,3,210,"-320, 40, -150",,,12601,,
46239,飞行猪噜噜,290,0.5,0.8,200,200,980,980,,,,,90,90,1873,108000,1,2,12273,12274,100,151,,,,,,3,210,"-320, 40, -150",,,12601,,
46240,朋克猪燃燃,290,0.5,0.8,220,220,1000,1000,,,,,100,100,1873,72000,1,3,12273,12274,100,241,152,,,,,3,220,"-280, 40, -150",,,12601,,
4627,兔子坐骑0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,"-300, 20, -150",,,11599,,
4628,流云玉兔,290,0.5,,180,180,800,800,,,,,80,80,,,1,2,12273,12274,100,153,154,,,,,3,200,"-300, 20, -150",,,11599,,
4629,流云玉兔,290,0.5,,180,180,830,830,,,,,80,80,,,1,2,12273,12274,100,153,15402,,,,,3,200,"-300, 20, -150",,,11599,,
46273,流云玉兔,290,0.5,,180,180,860,860,,,,,80,80,,,1,2,12273,12274,100,153,15403,,,,,3,200,"-300, 20, -150",,,11599,,
46274,流云玉兔,290,0.5,,180,180,890,890,,,,,80,80,,,1,2,12273,12274,100,153,15404,,,,,3,200,"-300, 20, -150",,,11599,,
46275,流云玉兔,290,0.5,,200,200,900,900,,,,,90,90,,,1,2,12273,12274,100,153,15405,,,,,3,200,"-300, 20, -150",,,11599,,
46276,流云玉兔,290,0.5,,200,200,920,920,,,,,90,90,,,1,2,12273,12274,100,153,15406,,,,,3,200,"-300, 20, -150",,,11599,,
46277,流云玉兔,290,0.5,,200,200,940,940,,,,,90,90,,,1,2,12273,12274,100,153,15407,,,,,3,200,"-300, 20, -150",,,11599,,
46278,流云玉兔,290,0.5,,200,200,960,960,,,,,90,90,,,1,2,12273,12274,100,153,15408,,,,,3,200,"-300, 20, -150",,,11599,,
46279,流云玉兔,290,0.5,,200,200,980,980,,,,,90,90,,,1,2,12273,12274,100,153,15409,,,,,3,200,"-300, 20, -150",,,11599,,
46280,福兔临门,290,0.5,,220,220,1000,1000,,,,,100,100,,,1,3,12273,12274,100,153,15410,155,248,,,3,200,"-300, 20, -150",,,11599,,
4631,妆盒坐骑0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,"-280, -50, -150",,,12500,,
4632,小粉匣,290,0.5,,180,180,800,800,,,,,80,80,,,1,2,12273,12274,100,156,,,,,,3,200,"-280, -50, -150",,,12500,,
4633,小粉匣,290,0.5,,180,180,830,830,,,,,80,80,,,1,2,12273,12274,100,156,,,,,,3,200,"-280, -50, -150",,,12500,,
4634,小粉匣,290,0.5,,180,180,860,860,,,,,80,80,,,1,2,12273,12274,100,156,,,,,,3,200,"-280, -50, -150",,,12500,,
46314,小粉匣,290,0.5,,180,180,890,890,,,,,80,80,,,1,2,12273,12274,100,156,,,,,,3,200,"-280, -50, -150",,,12500,,
46315,藏星之盒,290,0.5,0.9,200,200,900,900,,,,,90,90,,,1,3,12273,12274,100,156,158,,,,,3,210,"-280, -50, -150",,,12500,,
46316,藏星之盒,290,0.5,0.9,200,200,920,920,,,,,90,90,,,1,3,12273,12274,100,156,158,,,,,3,210,"-280, -50, -150",,,12500,,
46317,藏星之盒,290,0.5,0.9,200,200,940,940,,,,,90,90,,,1,3,12273,12274,100,156,158,,,,,3,210,"-280, -50, -150",,,12500,,
46318,藏星之盒,290,0.5,0.9,200,200,960,960,,,,,90,90,,,1,3,12273,12274,100,156,158,,,,,3,210,"-280, -50, -150",,,12500,,
46319,藏星之盒,290,0.5,0.9,200,200,980,980,,,,,90,90,,,1,3,12273,12274,100,156,158,,,,,3,210,"-280, -50, -150",,,12500,,
46320,揽梦之翼,290,0.5,0.65,220,220,1000,1000,,,,,100,100,,,1,4,12273,12274,100,157,241,159,,,,3,220,"-280, -50, -150",,,12500,,
4635,雪花0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,,,,3,,"-260, 80, -150",,,12574,,
4636,雪琉璃,290,0.5,,180,180,800,800,,,,,80,80,,,1,2,12273,12274,100,160,161,,,,,3,200,"-280, 80, -150",,,12574,,
4637,雪琉璃,290,0.5,,180,180,810,810,,,,,80,80,,,1,2,12273,12274,100,160,161,,,,,3,200,"-280, 80, -150",,,12574,,
46353,雪琉璃,290,0.5,,180,180,820,820,,,,,80,80,,,1,2,12273,12274,100,160,161,,,,,3,200,"-280, 80, -150",,,12574,,
46354,雪琉璃,290,0.5,,180,180,830,830,,,,,80,80,,,1,2,12273,12274,100,160,161,,,,,3,200,"-280, 80, -150",,,12574,,
46355,雪琉璃,290,0.5,,190,190,840,840,,,,,90,90,,,1,2,12273,12274,100,160,161,,,,,3,200,"-280, 80, -150",,,12574,,
46356,雪琉璃,290,0.5,,190,190,850,850,,,,,90,90,,,1,2,12273,12274,100,160,161,,,,,3,200,"-280, 80, -150",,,12574,,
46357,雪琉璃,290,0.5,,190,190,860,860,,,,,90,90,,,1,2,12273,12274,100,160,161,,,,,3,200,"-280, 80, -150",,,12574,,
46358,雪琉璃,290,0.5,,190,190,870,870,,,,,90,90,,,1,2,12273,12274,100,160,161,,,,,3,200,"-280, 80, -150",,,12574,,
46359,雪琉璃,290,0.5,,190,190,880,880,,,,,90,90,,,1,2,12273,12274,100,160,161,,,,,3,200,"-280, 80, -150",,,12574,,
46360,冰霜绽放,290,0.5,,200,200,900,900,,,,,100,100,,,1,3,12273,12274,100,160,161,162,,,,3,210,"-260, 80, -150",,,12574,,
4639,魔藤圣导 菲丽茜亚0级,290,0.5,,100,100,2000,2000,,,,,70,70,,,,1,11810,,,,,,,,,1,,,,,,,
4640,魔藤圣导 菲丽茜亚,290,0.5,,100,100,2000,2000,,,,,70,70,,,,2,12273,12274,,,,,,,,1,,,,,,,
4641,秘境精灵 菲丽茜亚0级,290,0.5,,100,100,2000,2000,,,,,70,70,,,,1,11810,,,,,,,,,1,,,,,,,
4642,秘境精灵 菲丽茜亚,290,0.5,,100,100,2000,2000,,,,,70,70,,,,2,12273,12274,,,,,,,,1,,,,,,,
