id,中文名称【所有用到道具名称的地方都是读这里】,预制文件名,插件用【作为插件json文件的名称，不能有空格】,2.0创造背包开放，11=地形，12=植物，13=建筑，14=装饰，15=星能，16=颜色，17=功能，18=机械，21=动物，22=怪物，23=人物（NPC），24=载具，31=装备，32=功能，33=食物，34=材料，35武器，36工具，41=功能，42=创造，43=功能对象,插件编辑【大于0开放插件编辑，1=工具，2=武器，3=食物，4=装备，5=材料】,2.0插件编辑模板【0=不是模板，1=作为插件编辑模板】,作为插件编辑材料，如道具掉落等【0=不作为材料，1=作物分类，2=工具，3=杂物，4=方块】,开放到触发器选择的道具库【1-5方块类 6-10道具类 12投掷物类 1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块 6=消耗品 7=材料 8=武器 9=装备 10=工具 11=生物蛋 12=投掷物 13=乐器】,模型文件夹名字【用于手持模型和凋落物模型，位于res/itemmods】,贴图【模型的贴图文件，已弃用】,贴图id【一个模型可以使用不同的贴图，改变外观；仅用于手持模型名字为texturen】,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）,"品质等级【用于旧版家园开果实的奖励级别，0一级,1二级,2三级,3四级】","帐号道具类型【0普通功能，1碎片，2仅普通地图提取，3仅家园提取，4都可提取,5可选择，6抽奖礼包，7商业化道具，8宠物蛋】",1-皮肤，2-坐骑，3-avatar，4-皮肤碎片，5-坐骑碎片，6-武器皮肤道具，7-武器皮肤碎片，8-头像框，9-喷漆道具，10-喷漆道具碎片，11-气泡道具，12-播报道具，13-称号道具，14-迷你大会员，15-优惠券，16-头像，17-动作，18-心情框，19-背景，20称号，21表情包，22迷你赛季积分道具，23坐骑升级道具，24搭配赛抽奖券，26七彩碎片，29图鉴道具,皮肤/坐骑/avatarID/武器皮肤,"品质等级（1=浅灰色,2=绿色，3=蓝色，4=紫色，5=橙色，6=红色，7=白金）",0-普通，1-稀有，2-珍贵，3-传说，抽奖礼包暂用:4-永久，5-体验,关联物品ID【用于家园图鉴碎片配置对应解锁的道具，解锁类型是4时填10000】,家园图鉴解锁的货币类型【0不用解锁3碎片4迷你豆5混合】,家园图鉴解锁标志位【每个道具对应一个标志位】,替换解锁物品【家园图鉴解锁货币不足时用什么代替，解锁类型是4的时候这里填服务器那个ID】,碎片价格【跟替换解锁物品配套使用，替换物数】,家园图鉴解锁需要的碎片数量,"条件解锁类型【用来控制打完黑龙解锁的配方,1=一阶黑龙,2=二阶黑龙,3=三阶黑龙,4=科技树，-1=解锁配方才能用的道具】",背包筛选类型【冒险模式背包的筛选类型，1装备2工具3方块4材料】,"道具类型【会影响道具的功能，无0，方块1，杂物2，工具3，一组物品4，怪物5，帐号物品6，弓7，投掷8，装备9，枪械10，食物11，12工具+投掷物，13工具+食物，14方块+食物，16机械，17地图通行证，18乐器，19喷漆贴图，20气泡，21武器皮肤，22播报，23称号，24特长碎片,25头像，26动作，27心情框，28背景，31可孵化蛋，32方块+预制蓝图】","创造模式背包一级分类【0不显示,1作物2工具3杂物4方块5编辑】",创造模式背包二级分类【植物=11 食物=12 饲料=13 特殊作物=14 道具=21 电路=22 生物=23 装备=24 建材=[31] 家具=32 装饰物=33 特殊杂物=34 地形=41 资源=42 特殊方块=43 建筑=44 玩法=51】,排序【创造模式背包同分类下调整排序用，数字小的在前面，数字相同id小的在前面】,高级创造排序【高级创造背包/高级资源列表/资源库，同分类下调整排序用，数字小的在前面，数字相同id小的在前面】,类型描述,新道具提示版本号【填了之后，玩家第一次看到时会显示新字，取第二位】,描述中的解锁途径-String表ID,类型描述-String表ID,描述【所有道具tips等用到道具描述的地方，都是读的这里】,获取方式(工匠台和冶炼台的内容可读取并显示在tips上，无需写在这里了),图标【所有显示道具图标的地方都是读的这里，默认文件路径是env1/bin/res/items；方块类道具不填则使用自动生成的图标；#=使用角色头像，hf=使用头像框图标，#avatar_icon1000_=使用avatar图标，[=使用方块贴图】,是否显示模型【控制拿在手上是否显示模型，0显示图标，1显示工具模型toolmodel，2显示方块模型有模型优先调用模型没有就程序生成blockmodel，9显示新prefab模型（prefab道具手持），10prefab方块手持】,图标特效/填1带有特效,挥舞音效,挥舞用的图片,第一人称大小,第三人称大小,掉落物大小,挥舞周期（毫秒）,冒险背包最大堆叠数目/做了防作弊的处理，获得超过这个数量会宕机,是否可以右键使用,右键使用操作范围(1/100方块）,归属物品组【同一物品组，在作为制作或者修理素材时会视为同一物品】,"使用目标:0-放置或者不能用, 1-点击方块, 2-点击液体方块  3-点使用按钮,  4-使用弓, 5-使用食物，6-使用特技，7-仓库中使用，8-使用枪, 9-蓄力扔出，烟雾弹，手雷等,10-钩爪, 11-“微缩组合”道具，12-乐器，14-使用盾牌，15-使用timeline蓄力投出）",使用的脚本,使用的脚本2（同时使用两个脚本时填写）,发射器发射物品的脚本,附魔标记（1放上面 2放下面 3前两者都可以 0前两者都不可以）,材料级别（0木1皮2石3链4铁5钛合金6钻，6代表5条附魔 5代表3条附魔 4代表1条附魔）,附魔后道具ID,是否可以提取(0不能 1能 2只有房主),分数,冷却,道具功能,消耗饥饿度,手持特效,手持特效放大系数,UGC工具屏蔽（填0或空不屏蔽脚本调用，作者解锁了就能用。填1屏蔽脚本调用。填2屏蔽脚本、选择器调用，作者解锁也不能用）,给道具添加技能（可以添加多个，用 | 隔开）,3.0高级创造背包开放，11=地形，12=植物，13=建筑，14=装饰，15=星能，16=颜色，17=功能，18=机械，21=动物，22=怪物，23=人物（NPC），24=载具，31=装备，32=功能，33=食物，34=材料，35武器，36工具，41=功能，42=创造，43=功能对象 999=不展示并屏蔽使用功能,显示模型特效（prefab模型使用，0或不填=不显示，1=显示）,显示第一人称手模型(1=显示，0=不显示),新输入方式标识（0或不填为老单击、长按判断，1为新单击长按判断）,标签,豪华值
35406,滑雪靴（7天）,,,,,,,,,,,,,0,3,2370,2,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2370,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35407,小把戏（7天）,,,,,,,,,,,,,0,3,2371,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2371,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35408,小丑联盟（7天）,,,,,,,,,,,,,0,3,2372,3,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2372,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35409,小丑权杖（7天）,,,,,,,,,,,,,0,3,2373,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2373,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35410,谎言之书（7天）,,,,,,,,,,,,,0,3,2374,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2374,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35411,裤裤小丑（7天）,,,,,,,,,,,,,0,3,2375,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2375,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35412,魔音惊鸿（7天）,,,,,,,,,,,,,0,3,2376,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2376,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35413,瞬间石化（7天）,,,,,,,,,,,,,0,3,2377,3,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2377,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35414,甜品星球（7天）,,,,,,,,,,,,,0,3,2378,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2378,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35415,灿如星（7天）,,,,,,,,,,,,,0,3,2379,5,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2379,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35416,绿野莺歌（7天）,,,,,,,,,,,,,0,3,2380,2,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2380,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35417,凤仪万千（7天）,,,,,,,,,,,,,0,3,2381,5,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2381,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35418,万里山河（7天）,,,,,,,,,,,,,0,3,2382,5,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2382,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35419,紫竹清影（7天）,,,,,,,,,,,,,0,3,2383,5,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2383,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35420,兔兔花灯（7天）,,,,,,,,,,,,,0,3,2384,5,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2384,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35421,天青秘语（7天）,,,,,,,,,,,,,0,3,2385,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2385,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35422,绒边红上衣（7天）,,,,,,,,,,,,,0,3,2386,3,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2386,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35423,瞌睡兔（7天）,,,,,,,,,,,,,0,3,2387,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2387,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35424,甜甜梦境（7天）,,,,,,,,,,,,,0,3,2388,5,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2388,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35425,一步一响（7天）,,,,,,,,,,,,,0,3,2389,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2389,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35426,奶龙咆哮（7天）,,,,,,,,,,,,,0,3,2390,3,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2390,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35427,美味野餐（7天）,,,,,,,,,,,,,0,3,2391,5,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2391,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35428,浮生蝶影（7天）,,,,,,,,,,,,,0,3,2392,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2392,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35429,烟雨丹青（7天）,,,,,,,,,,,,,0,3,2393,3,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2393,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35430,腹有诗书（7天）,,,,,,,,,,,,,0,3,2394,3,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2394,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35431,书卷万里路（7天）,,,,,,,,,,,,,0,3,2395,3,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2395,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35432,喵酱短发（7天）,,,,,,,,,,,,,0,3,2396,2,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2396,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35433,活力橙汁（7天）,,,,,,,,,,,,,0,3,2397,2,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2397,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35434,巨人魔头（7天）,,,,,,,,,,,,,0,3,2398,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2398,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35435,巨人石像（7天）,,,,,,,,,,,,,0,3,2399,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2399,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35436,花鸟余音（7天）,,,,,,,,,,,,,0,3,2400,5,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2400,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35437,茉莉初香（7天）,,,,,,,,,,,,,0,3,2401,5,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2401,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35438,茉莉奶绿（7天）,,,,,,,,,,,,,0,3,2402,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2402,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35439,茉茉眼眸（7天）,,,,,,,,,,,,,0,3,2403,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2403,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35440,茉上清香（7天）,,,,,,,,,,,,,0,3,2404,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2404,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35441,柔婉茉莉（7天）,,,,,,,,,,,,,0,3,2405,5,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2405,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35442,乘风而去（7天）,,,,,,,,,,,,,0,3,2406,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2406,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35443,绿叶魔法（7天）,,,,,,,,,,,,,0,3,2407,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2407,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35444,绿叶靴（7天）,,,,,,,,,,,,,0,3,2408,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2408,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35445,悬浮把戏（7天）,,,,,,,,,,,,,0,3,2409,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2409,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35446,追风魔力（7天）,,,,,,,,,,,,,0,3,2410,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2410,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35447,时尚宠儿（7天）,,,,,,,,,,,,,0,3,2411,2,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2411,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35448,菠萝脑袋（7天）,,,,,,,,,,,,,0,3,2412,3,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2412,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35449,榴莲盾（7天）,,,,,,,,,,,,,0,3,2413,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2413,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35450,灵魂对视（7天）,,,,,,,,,,,,,0,3,2414,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2414,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35451,鸭梨山大（7天）,,,,,,,,,,,,,0,3,2415,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2415,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35452,小捣蛋（7天）,,,,,,,,,,,,,0,3,2416,4,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2416,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35453,清爽白裤（7天）,,,,,,,,,,,,,0,3,2417,2,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2417,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35454,摸鱼头套（7天）,,,,,,,,,,,,,0,3,2418,3,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2418,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35455,摸鱼上衣（7天）,,,,,,,,,,,,,0,3,2419,3,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2419,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35456,摸鱼下装（7天）,,,,,,,,,,,,,0,3,2420,3,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2420,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35457,心动一刻（7天）,,,,,,,,,,,,,0,3,2421,3,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2421,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35458,大脚丫（7天）,,,,,,,,,,,,,0,3,2422,6,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2422,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35459,诗书万卷（7天）,,,,,,,,,,,,,0,3,2423,1,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2423,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35460,千金散去（7天）,,,,,,,,,,,,,0,3,2424,1,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2424,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35461,踏遍山河（7天）,,,,,,,,,,,,,0,3,2425,5,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2425,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35462,月上青山（7天）,,,,,,,,,,,,,0,3,2426,1,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2426,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35463,星灿春山（7天）,,,,,,,,,,,,,0,3,2427,1,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2427,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35464,预留,,,,,,,,,,,,,0,3,2428,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2428,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35465,预留,,,,,,,,,,,,,0,3,2429,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2429,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35466,预留,,,,,,,,,,,,,0,3,2430,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2430,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35467,预留,,,,,,,,,,,,,0,3,2431,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2431,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35468,预留,,,,,,,,,,,,,0,3,2432,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2432,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35469,预留,,,,,,,,,,,,,0,3,2433,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2433,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35470,预留,,,,,,,,,,,,,0,3,2434,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2434,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35471,预留,,,,,,,,,,,,,0,3,2435,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2435,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35472,预留,,,,,,,,,,,,,0,3,2436,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2436,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35473,预留,,,,,,,,,,,,,0,3,2437,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2437,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35474,预留,,,,,,,,,,,,,0,3,2438,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2438,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35475,预留,,,,,,,,,,,,,0,3,2439,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2439,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35476,预留,,,,,,,,,,,,,0,3,2440,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2440,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35477,预留,,,,,,,,,,,,,0,3,2441,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2441,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35478,预留,,,,,,,,,,,,,0,3,2442,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2442,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35479,预留,,,,,,,,,,,,,0,3,2443,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2443,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35480,预留,,,,,,,,,,,,,0,3,2444,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2444,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35481,预留,,,,,,,,,,,,,0,3,2445,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2445,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35482,预留,,,,,,,,,,,,,0,3,2446,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2446,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35483,预留,,,,,,,,,,,,,0,3,2447,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2447,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35484,预留,,,,,,,,,,,,,0,3,2448,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2448,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35485,预留,,,,,,,,,,,,,0,3,2449,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2449,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35486,预留,,,,,,,,,,,,,0,3,2450,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2450,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35487,预留,,,,,,,,,,,,,0,3,2451,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2451,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35488,预留,,,,,,,,,,,,,0,3,2452,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2452,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35489,预留,,,,,,,,,,,,,0,3,2453,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2453,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35490,预留,,,,,,,,,,,,,0,3,2454,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2454,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35491,预留,,,,,,,,,,,,,0,3,2455,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2455,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35492,预留,,,,,,,,,,,,,0,3,2456,,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2456,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35493,瞌睡虫（7天）,,,,,,,,,,,,,0,3,2457,3,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2457,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35494,派对彩旗（7天）,,,,,,,,,,,,,0,3,2458,3,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2458,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35495,荔刻出发（7天）,,,,,,,,,,,,,0,3,2459,3,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2459,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35496,荔枝牛仔（7天）,,,,,,,,,,,,,0,3,2460,3,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2460,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
35497,神秘荔量（7天）,,,,,,,,,,,,,0,3,2461,3,5,,,,,,,,,6,0,,,,测试,,,,定制装扮,,#avatar_icon1000_2461,,,,,0.6,0.6,,200,64,0,5,,7,,,,,,,,,,,,,,,,,,,,,
