皮肤ID,皮肤名称,皮肤模型,贴图ID,头像,特效类型1[1=脚印，2=飞行，3=周身],特效1命名,特效类型2[1=脚印，2=飞行，3=周身],特效2命名,特效类型3[1=脚印，2=飞行，3=周身，4=拖尾],特效3命名,商店特效,购买天数1,钱类型1/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替6仅激活码解锁,消耗道具ID1,价格1,购买天数2,钱类型2/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替,消耗道具ID2,价格2,购买天数3,钱类型3/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替,消耗道具ID3,价格3,皮肤描述,购买提示类型（1前往家园和取消 2只有确定）,购买提示,标签（1限时 2折扣 3特惠 4典藏）,限时开始,限时结束,开放渠道ID（-1全关，0全开）,音效,高度,宽度,厚度,受击高度,受击宽度,受击厚度,特别效果类型1（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果1图标,特别效果1描述,特别效果类型2（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果2图标,特别效果2描述,特别效果类型3（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果3图标,特别效果3描述,特别效果类型4（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果4图标,特别效果4描述,特别效果类型5（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果5图标,特别效果5描述,特别效果类型6（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果6图标,特别效果6描述,背景图,背景动画文件,背景动画文件,动态商城图标（已废弃，改为读SkinCostDef装扮服务器表）,变形类型[不填=不显示变形按钮，1=变身为坐骑（且优先显示装扮），2=变身为装扮2（且优先显示装扮1），3=变身为坐骑（且优先显示坐骑）],变形关联（填入坐骑、装扮ID）,小窗logo,小窗尺寸(正常不填为2.0),野人举起高度,AR动捕支持（1支持，空则不支持）,备注标准人形骨骼（1为支持，0为不支持）,换装ID,新换装ID,头像框：只能永久,"表情动作（100140,100108）",解锁道具,装扮图片,互动关联,"多重换装ID(index_skinid,index表示对应的第几条特性,skinid表示皮肤id,有多个变色效果时用逗号隔开)",多重换装前置id,切换顺序,局部换肤,是否显示（1=不显示）,语音范围（半径）,出场语音,间隔时间1,初次判断时间1,休闲语音,间隔时间2,初次判断时间2,死亡语音,间隔时间3,社交语音,间隔时间4,初次判断时间3,光照条件,幻化特效,幻化准备时间,功能说明(1:幻化),动作播放顺序,主题序号（1=奇迹派对，2=探险小队，3=龙响天下，4=棉花泡泡，5=花蔓四季，6=幻想童话，7=小马宝莉，8=瑞雪丰年，9=梦旅笙歌，10=晨星战队，11=琉光圣灵）,主题图标,召唤ID,变身条件（1=水环境之外的环境，2=水环境）,变身特效,变身时间,天赋buff,跳转ID（全局跳转id_定制id）,左侧边栏背景色,可搭配部件类型,列表模型缩放比|y轴位移,变形坐骑移动端是否显示技能按钮（0=显示，1=不显示）,商城场景动画,皮肤类型 1常规皮肤（陆地移动）2飞行皮肤,,冒险互动类皮肤（默认不填）,死亡特效(放在particles目录下，只填特效名称即可，如scene_siwang_01）,换装皮肤贴图的名称,换装皮肤周身特效的名称,空手无道具时要切换的模型,cpID/支持配多个,cp效果范围半径/格,cp音效,cp特效,cpbuff,私人定制默认avt,私人定制皮肤列表
314,紫堂幻,140312,,449,3,140312_2,1,140312_3,,,140312_1,,,,,,,,,-1,2,,999,我真的，我真的，我真的已经很努力了啊！,2,,,,,999,skin314,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着紫色光点！,,,,,,,,,,,,,,dtxx_beijingtu105,0,,,,icon_60,,180,,,,,,,27196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
315,哞哞,140311,,450,3,140311_2,1,140311_3,,,140311_1,,,,,,,,,-1,2,,999,"狂风中高歌，暴雪里舞蹈。
拥有最柔软的毛发，也玩得转最锋利的匕首。
在雪域高原向您致意，我的朋友。",2,,,,,999,skin315,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着雪花！,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,27197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
316,花琦琦,140316,,451,3,140316_2,1,140316_3,,,140316_1,,,,,,,,,-1,2,,999,"呼~呼~把最想实现的愿望，统统吹进气球。
未来的日子，也要一起玩哦~
毕竟……与你相伴的每天，都是我的愿望成真日。",2,,,,,999,skin316,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着星光！,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,27198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
317,碧水青,140318,,452,3,140318_2,1,140318_3,,,140318_1,,,,,,,,,-1,2,,999,"无穷天水碧，渺渺群山青。
烟波含叠翠，石见画图惊。",2,,,,,999,skin317,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着金色三角！,2,acticon,互动：可与远山黛触发互动动作！,,,,,,,,,,,dtxx_beijingtu103,0,,,,,,180,,,,,,,27199,,38,,,,,,,,,,,,,,,,,,,,,,,22,lab_dresstheme_gyss,,,,,,,1,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
318,糕糕,140317,,453,3,140317_2,1,140317_3,,,140317_1,,,,,,,,,-1,2,,999,"温馨聚会，火热派对。迷萌考拉，传递快乐！
和糕糕一起，用甜蜜旋律，为今日欢唱~",2,,,,,999,skin318,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着星光！,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,27200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
319,米豆,140319,,454,3,140319_2,1,140319_3,,,140319_1,,,,,,,,,-1,2,,999,"咳咳，采访一下，
又是哪位朋友吃太多糖牙痛了？
巧克力豆虽好，但也不能多吃哦~",2,,,,,999,skin319,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着巧克力豆！,,,,,,,,,,,,,,dtxx_beijingtu107,0,,,,,,180,,,,,,,27201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
320,逍遥客,140320,,455,3,140320_2,1,140320_3,,,140320_1,,,,,,,,,-1,2,,999,"杀戮，非我之本意。
罪孽，江湖自会裁定。
风冷如刃，剑过无痕。
今夜，一决胜负！",2,,,,,999,skin320,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着绿色光点！,,,,,,,,,,,,,,dtxx_beijingtu108,0,,,,,,180,,,,,,,27202,,,,,,,,,,,,,,,,,,,,,,,,,22,lab_dresstheme_gyss,,,,,,,1,"3,5,8,9,13,14,15,16,17,18,19",1.38|0,,,1,,,,,,,,,,,,,
321,妮普洛,140295,,456,3,140295_2,1,140295_3,,,140295_1,,,,,,,,,-1,2,,999,"柔发迷人眼，飒沓如坠樱。
别问我代号，我是侠盗仙女一号。
恶魔，或骑士？我的身份，由你决定。",2,,,,,999,skin321,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着星光！,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,27203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
322,波菲尔,140294,,457,3,140294_2,1,140294_3,,,140294_1,,,,,,,,,-1,2,,999,"点石成金不难，善恶起落悠长，白纸自成黑字，术道不改德志。如果可爱不能使你感动，那我就施以魔法。变！
这是张好牌，不该给个坏蛋。",2,,,,,999,skin322,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着卡牌！,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,27204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
323,沧海帝姬 灵汐,140321,,458,3,140321_2,1,140321_3,,,140321_1,,,,,,,,,-1,2,,999,"暗觉冬日暖，抬首燕来湖。
戏掷彩贝去，遍听新荷声。",2,,,,,999,skin323,180,60,60,220,120,120,,bodyeffcet,特殊改变：游戏内可实现变身功能，改变造型和状态！,9,transfiguration,变身：在水中可变成人鱼形态，点击左侧按钮预览！,,genius,天赋：可以激发特殊血脉，在水下自由呼吸！,4,soundplay,专属语音：地图内会播放专属语音，点击左侧按钮可试听！,,headicon,头像框：获得后自动解锁动态头像框。,,footprint,行走足迹：走过的地方留下蓝色发光印记。,,dtxx_beijingtu109,0,,,,,,180,,,,,,,27205,,,2_324,,,,,8,ent.323.show,45,4,,,,,,,,,,,,,,,,,2_324,140322_4,5,,,1,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
324,泣珠仙姬 灵汐,140322,,459,3,140322_2,1,140322_3,,,140322_1,,,,,,,,,-1,2,,999,"夜饮溶溶月，绡坠荧荧珠。
神怜粉黛怯，泪化锦泽露。",2,,,,,999,skin324,180,60,60,220,120,120,,bodyeffcet,特殊改变：游戏内可实现变身功能，改变造型和状态！,9,transfiguration,变身：在陆地可变成自然形态，点击左侧按钮预览！,,genius,天赋：可以激发特殊血脉，在水下自由呼吸！,4,soundplay,专属语音：地图内会播放专属语音，点击左侧按钮可试听！,,headicon,头像框：获得后自动解锁动态头像框。,,,,,dtxx_beijingtu110,0,,,,,,180,,,,,,,27206,,,2_323,,,,1,8,ent.324.show,45,4,,,,,,,,,,,,,,,,,1_323,140322_4,5,2004001,,1,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
325,海茵,140323,,460,3,140323_2,1,140323_3,,,140323_1,,,,,,,,,-1,2,,999,"风中舞动如丝绸，
海底深藏如玉珂。
散发轻盈随海风，
行踪无迹任浪荡。",2,,,,,999,skin325,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着泡泡！,,footprint,行走足迹：走过的地方会留下水母印记。,,,,,,,,,,,dtxx_beijingtu111,0,,,,,,180,,,,,,,27207,,,,,,,,,,,,,,,,,,,,,,,,,20,lab_dresstheme_ygxl,,,,,,,1,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
326,哈尔薇,140330,,461,3,140330_2,1,140330_3,,,140330_1,,,,,,,,,-1,2,,999,"行走于生死边界，魂游于亡灵千列。
勇敢之翅，绚烂绽放，邪恶念起，呼啸奔去。
破碎之伤，需要信任的医治。
这彻骨的失望，早已潜入肺腑，低沉呻吟。",2,,,,,999,skin326,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着黑色羽毛！,,,,,,,,,,,,,,dtxx_beijingtu113,0,,,,,,180,,,,,,,27208,,,,,,,,,,,,,,,,,,,,,,,,,20,lab_dresstheme_ygxl,,,,,,,3,"3,5,8,9,13,14,15,16,17,18,19",1.38|0,,,2,,,,,,,,,,,,,
327,格兰妮,140325,,462,3,140325_2,1,140325_3,,,140325_1,,,,,,,,,-1,2,,999,"擦肩黑玫瑰，开启潘多拉，灵魂纹蝙蝠之骨，笑颜在骷髅上燃烧。
诞于暮，藏于晨——黑暗，才是我的本命。
樱红与凄美粉饰，骷髅及朋克并存。",2,,,,,999,skin327,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着蝙蝠和粉色爱心！,,,,,,,,,,,,,,dtxx_beijingtu112,0,,,,,1.5,180,,,,,,,27209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26_1980,1,"3,5,8,9,13,14,15,16,17,18,19",1.38|0,,,1,,,,,,,,,,,,,
328,版本过低,,,463,3,,,,,,,,,,,,,,,-1,2,,999,,2,,,,,999,skin328,180,60,60,220,120,120,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,27210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
329,版本过低,,,464,3,,,,,,,,,,,,,,,-1,2,,999,,2,,,,,999,skin329,180,60,60,220,120,120,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,27211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
330,版本过低,,,465,3,,,,,,,,,,,,,,,-1,2,,999,,2,,,,,999,skin330,180,60,60,220,120,120,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,27212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
331,版本过低,,,466,3,,,,,,,,,,,,,,,-1,2,,999,,2,,,,,999,skin331,180,60,60,220,120,120,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,27213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
332,萨亚,140351,,467,3,140351_2,1,140351_3,,,140351_1,,,,,,,,,-1,2,,999,"常年与变异怪物进行战斗，同样的病毒侵蚀着萨亚的身体，甚至心灵………
某次行动中，萨亚偶遇一名奇怪的异化少女，她的到来不仅给人类带来了新的希望，也在悄悄治愈萨亚千疮百孔的内心。",2,,,,,999,skin332,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着战斗能量！,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,27214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
333,路障,140324,,468,3,140324_2,1,140324_3,,,140324_1,,,,,,,,,-1,2,,999,路障是霸天虎阵营的战士，他能一眼看穿人类，利用人们的信任来耍弄他们。他还喜欢用威力巨大的武器和液压手把对手撕成碎片。,2,,,,,999,skin333,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着闪电！,1,changeicon,变形：点击左侧变形按钮，可切换机器人/载具形态！,,,,,,,,,,,dtxx_beijingtu04,0,,1,4652,icon_53,,180,,,,,,,27215,,,,,,,,,,,,,,,,,,,,,,,,,17,lab_dresstheme_mecha,,,,,,,1,"3,5,8,9,13,14,15,16,17,18,19",1.2|0,,,1,,,,,,,,,,,,,
334,可西光辉女孩,140331,,469,3,140331_2,1,140331_3,,,140331_1,,,,,,,,,-1,2,,999,可西光辉拥有可爱的外表，棋子车是她的可爱标志。野心勃勃的她，把友谊当做权力去操纵，最终被打败还变成了石像。,2,,,,,999,skin334,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着火焰！,,,,,,,,,,,,,,dtxx_beijingtu12,0,,,,icon_54,,180,,,,,,,27216,,,,,,,,,,,,,,,,,,,,,,,,,18,lab_dresstheme_cyclone,,,,,,,1,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,2,,,,,,,,,,,,,
335,苹果丽丽女孩,140332,,470,3,140332_2,1,140332_3,,,140332_1,,,,,,,,,-1,2,,999,苹果丽丽是苹果嘉儿的妹妹，也是可爱军团的创始成员之一，平时除了在甜苹果园帮忙收苹果以外，还会和甜心宝宝、醒目露露一起为可爱标志努力。,2,,,,,999,skin335,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着花朵！,,,,,,,,,,,,,,dtxx_beijingtu11,0,,,,icon_54,,180,,,,,,,27217,,,,,,,,,,,,,,,,,,,,,,,,,18,lab_dresstheme_cyclone,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
336,风雪之心女孩,140333,,471,3,140333_2,1,140333_3,,,140333_1,,,,,,,,,-1,2,,999,风雪之心是闪耀盔甲和音韵公主的女儿，这个名字是为了纪念她用哭声震碎水晶爱心那次的水晶典礼。在那之后，她的魔力得到了稳定，再也没有发生这种情况了。,2,,,,,999,skin336,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着粉色光点！,,,,,,,,,,,,,,dtxx_beijingtu15,0,,,,icon_54,,180,,,,,,,27218,,,,,,,,,,,,,,,,,,,,,,,,,18,lab_dresstheme_cyclone,,,,,,,4,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,2,,,,,,,,,,,,,
337,赤绫太子 莲笙,140328,,472,3,140328_2,1,140328_3,,,140328_1,,,,,,,,,-1,2,,999,"在这混沌世界
受伤的孩子们别害怕
谁要再来害人
翻江倒海，定不饶他！",2,,,,,999,skin337,180,60,60,220,120,120,,bodyeffcet,特殊改变：游戏内可实现变身功能，改变造型和状态！,3,changeskin,神通：可切换幼年形态，点击左侧按钮预览。,4,soundplay,专属语音：地图内会播放专属语音，点击左侧按钮可试听！,,headicon,头像框：获得后自动解锁动态头像框。,,,,,,,,dtxx_beijingtu114,0,,,,,,180,,,,,,,27219,,,2_338,,338,,,8,ent.337.show,45,4,,,,,,,,,,,,,,,,,,,,,,3,"3,5,8,9,13,14,15,16,17,18,19",1.3|-50,,,2,,,,,,,,,,,,,
338,灵泽童子 莲笙,140329,,473,3,140329_2,1,140329_3,,,140329_1,,,,,,,,,-1,2,,999,"众生看我
懵懂无忧
身后那莲花盛开
秋风起浪搅起几多风云。",2,,,,,999,skin338,180,60,60,220,120,120,,bodyeffcet,特殊改变：游戏内可实现变身功能，改变造型和状态！,3,changeskin,神通：可切换成年形态，点击左侧按钮预览。,4,soundplay,专属语音：地图内会播放专属语音，点击左侧按钮可试听！,,headicon,头像框：获得后自动解锁动态头像框。,,,,,,,,dtxx_beijingtu115,0,,,,,,180,,,,,,,27220,,,2_337,,337,,1,8,ent.338.show,45,4,,,,,,,,,,,,,,,,,,,,,,2,"3,5,8,9,13,14,15,16,17,18,19",1.3|-50,,,1,,,,,,,,,,,,,
339,韶华,140341,,474,3,140341_2,1,140341_3,,,140341_1,,,,,,,,,-1,2,,999,"艾束轻曳浴芳兰，重午佳阳花忽繁。
跃浪龙舟端午游，五丝缠粽碧玉透。
执扇浣溪散清暑，沛降赤阳忆古原。",2,,,,,999,skin339,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着绿叶！,,,,,,,,,,,,,,dtxx_beijingtu116,0,,,,,,180,,,,,,,27221,,,,,,,,,,,,,,,,,,,,,,,,,22,lab_dresstheme_gyss,,,,,,,1,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
340,朵瑞丝,140326,,475,3,140326_2,1,140326_3,,,140326_1,,,,,,,,,-1,2,,999,"叮咚，手握着远方的消息。
嗒嗒，穿行在近处的街巷。
嘻嘻，收件人的一个微笑，是送信人最大的满足！",2,,,,,999,skin340,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着信件！,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,27222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
341,多尔,140327,,476,3,140327_2,1,140327_3,,,140327_1,,,,,,,,,-1,2,,999,"悲欢离合的奏乐，飘入千家万户。
敲门声起，消息准时到达。
送信人的职责，是守护好每一封信件。",2,,,,,999,skin341,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着信件！,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,27223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
342,蓝伯特,140335,,477,3,140335_2,1,140335_3,,,140335_1,,,,,,,,,-1,2,,999,"占星之术，以星辰为姓，以意志为名。
命运之轮交错，星盘预言轮回。
关于未来的传说，从未消逝。而我，在寻找这遗失之物。",2,,,,,999,skin342,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着星光！,,,,,,,,,,,,,,dtxx_beijingtu117,0,,,,,,180,,,,,,,27224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
343,马丁尼,140342,,478,3,140342_2,1,140342_3,,,140342_1,,,,,,,,,-1,2,,999,马丁尼最初做赏金猎人时，他的初衷就是保护那些无法自卫的人们。在对抗一只基因改造的恐龙时，他的关节受了很严重的伤，而他随身携带的恐龙头骨让最黑恶的罪犯都会闻风丧胆。,2,,,,,999,skin343,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着光点！,,,,,,,,,,,,,,common_01,0,,,,,,180,,,,,,,27225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
344,擎天圣,140338,,479,3,140338_2,1,140338_3,,,140338_1,,,,,,,,,-1,2,,999,擎天圣是巨无霸小队的指挥官，在史前地球与霸王龙威震天领导的原始兽小队展开激战，并成功逮捕霸王龙威震天返回塞伯坦星球。他富有同情心、忠诚和荣誉感，每次战斗都身先士卒。,2,,,,,999,skin344,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身后喷射着火焰！,1,changeicon,变形：点击左侧变形按钮，可切换机器人/载具形态！,,footprint,行走足迹：走过的地方会留下阵营标志脚印。,,,,,,,,140443,0,,1,4658,icon_63,,180,,,,"344,460,461",,,27226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"3,5,8,9,13,14,15,16,17,18,19",1.2|0,,,1,,,,,,,,,,,,,
345,夏日晴歌 梦然,140345,,480,3,140345_2,1,140345_3,,,140345_1,,,,,,,,,-1,2,,999,夏日的风穿过衣角发梢，与所有的美好不期而遇。,2,,,,,999,skin345,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着花朵！,,footprint,行走足迹：走过的地方会留下叶子脚印。,,,,,,,,,,,dtxx_beijingtu119,0,,,,,,180,,,,,,,27227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
346,星舞跃动 贝琳达,140346,,481,3,140346_2,1,140346_3,,,140346_1,,,,,,,,,-1,2,,999,踩着滑板，跟上音乐，和我一起在地面开始飞行！,2,,,,,999,skin346,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着音符！,,footprint,行走足迹：走过的地方会留下音符印记。,,,,,,,,,,,dtxx_beijingtu118,0,,,,,,180,,,,,,,27228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
347,慵懒暖阳 帕妮,140344,,482,3,140344_2,1,140344_3,,,140344_1,,,,,,,,,-1,2,,999,好困好困，想躺回被窝中。在我心里，被窝就是世界上最最舒服的地方。,2,,,,,999,skin347,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着瞌睡泡！,,footprint,行走足迹：走过的地方会留下太阳蛋印记。,,,,,,,,,,,dtxx_beijingtu120,0,,,,,,180,,,,,,,27229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
348,铃梦奇缘 洛娜,140347,,483,3,140347_2,1,140347_3,,,140347_1,,,,,,,,,-1,2,,999,喜欢我头上的蝴蝶结？不行不行，这个可不能送人！,2,,,,,999,skin348,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着花瓣！,,footprint,行走足迹：走过的地方会留下花朵脚印。,,,,,,,,,,,dtxx_beijingtu121,0,,,,,,180,,,,,,,27230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
349,蓝屿樱茶 拟梦,140348,,484,3,140348_2,1,140348_3,,,140348_1,,,,,,,,,-1,2,,999,花瓣纷飞甜香浮动，真想让时间静止在这一刻。,2,,,,,999,skin349,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着花朵！,,footprint,行走足迹：走过的地方会留下糖果脚印。,,,,,,,,,,,dtxx_beijingtu122,0,,,,,,180,,,,,,,27231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
350,伽蓝,140358,,485,3,140358_2,1,140358_3,,,140358_1,,,,,,,,,-1,2,,999,"昔日洞窟之中，一次穿越改命运。
误入王子之身，历遍苦痛与困顿。
历史禁区尘烟里，花间草色安闲中。
忽来即离几许时，返望过往奇妙梦。",2,,,,,999,skin350,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着音符！,,,,,,,,,,,,,,dtxx_beijingtu124,0,,,,,,180,,,,,,,27232,,,,,,,,,,,,,,,,,,,,,,,,,22,lab_dresstheme_gyss,,,,,,,1,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
351,甜恬,140334,,486,3,140334_2,1,140334_3,,,140334_1,,,,,,,,,-1,2,,999,"三伏入夏无凉意，
绿皮红瓤甜砂沁。
果香浮来解暑气，
入齿冰凉肌体莹。",2,,,,,999,skin351,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着西瓜！,,,,,,,,,,,,,,dtxx_beijingtu123,0,,,,,,180,,,,,,,27233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"3,5,8,9,13,14,15,16,17,18,19",1.4|0,,,1,,,,,,,,,,,,,
