喷漆ID,喷漆显示时间(s),喷漆贴图信息
193,30,"[{""TexName"":""#spray_193_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_193_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_193_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_193_4"", ""Left"":0,""Up"":-1}]"
194,30,"[{""TexName"":""#spray_194_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_194_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_194_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_194_4"", ""Left"":0,""Up"":-1}]"
195,30,"[{""TexName"":""#spray_195_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_195_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_195_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_195_4"", ""Left"":0,""Up"":-1}]"
196,30,"[{""TexName"":""#spray_196_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_196_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_196_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_196_4"", ""Left"":0,""Up"":-1}]"
197,30,"[{""TexName"":""#spray_197_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_197_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_197_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_197_4"", ""Left"":0,""Up"":-1}]"
198,30,"[{""TexName"":""#spray_198_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_198_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_198_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_198_4"", ""Left"":0,""Up"":-1}]"
199,30,"[{""TexName"":""#spray_199_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_199_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_199_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_199_4"", ""Left"":0,""Up"":-1}]"
200,30,"[{""TexName"":""#spray_200_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_200_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_200_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_200_4"", ""Left"":0,""Up"":-1}]"
201,30,"[{""TexName"":""#spray_201_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_201_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_201_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_201_4"", ""Left"":0,""Up"":-1}]"
202,30,"[{""TexName"":""#spray_202_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_202_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_202_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_202_4"", ""Left"":0,""Up"":-1}]"
203,30,"[{""TexName"":""#spray_203_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_203_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_203_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_203_4"", ""Left"":0,""Up"":-1}]"
204,30,"[{""TexName"":""#spray_204_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_204_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_204_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_204_4"", ""Left"":0,""Up"":-1}]"
205,30,"[{""TexName"":""#spray_205_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_205_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_205_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_205_4"", ""Left"":0,""Up"":-1}]"
206,30,"[{""TexName"":""#spray_206_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_206_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_206_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_206_4"", ""Left"":0,""Up"":-1}]"
207,30,"[{""TexName"":""#spray_207_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_207_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_207_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_207_4"", ""Left"":0,""Up"":-1}]"
208,30,"[{""TexName"":""#spray_208_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_208_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_208_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_208_4"", ""Left"":0,""Up"":-1}]"
209,30,"[{""TexName"":""#spray_209_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_209_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_209_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_209_4"", ""Left"":0,""Up"":-1}]"
210,30,"[{""TexName"":""#spray_210_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_210_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_210_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_210_4"", ""Left"":0,""Up"":-1}]"
211,30,"[{""TexName"":""#spray_211_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_211_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_211_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_211_4"", ""Left"":0,""Up"":-1}]"
212,30,"[{""TexName"":""#spray_212_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_212_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_212_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_212_4"", ""Left"":0,""Up"":-1}]"
213,30,"[{""TexName"":""#spray_213_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_213_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_213_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_213_4"", ""Left"":0,""Up"":-1}]"
214,30,"[{""TexName"":""#spray_214_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_214_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_214_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_214_4"", ""Left"":0,""Up"":-1}]"
215,30,"[{""TexName"":""#spray_215_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_215_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_215_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_215_4"", ""Left"":0,""Up"":-1}]"
216,30,"[{""TexName"":""#spray_216_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_216_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_216_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_216_4"", ""Left"":0,""Up"":-1}]"
217,30,"[{""TexName"":""#spray_217_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_217_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_217_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_217_4"", ""Left"":0,""Up"":-1}]"
218,30,"[{""TexName"":""#spray_218_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_218_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_218_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_218_4"", ""Left"":0,""Up"":-1}]"
219,30,"[{""TexName"":""#spray_219_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_219_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_219_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_219_4"", ""Left"":0,""Up"":-1}]"
220,30,"[{""TexName"":""#spray_220_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_220_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_220_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_220_4"", ""Left"":0,""Up"":-1}]"
221,30,"[{""TexName"":""#spray_221_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_221_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_221_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_221_4"", ""Left"":0,""Up"":-1}]"
222,30,"[{""TexName"":""#spray_222_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_222_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_222_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_222_4"", ""Left"":0,""Up"":-1}]"
223,30,"[{""TexName"":""#spray_223_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_223_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_223_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_223_4"", ""Left"":0,""Up"":-1}]"
224,30,"[{""TexName"":""#spray_224_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_224_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_224_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_224_4"", ""Left"":0,""Up"":-1}]"
225,30,"[{""TexName"":""#spray_225_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_225_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_225_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_225_4"", ""Left"":0,""Up"":-1}]"
226,30,"[{""TexName"":""#spray_226_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_226_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_226_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_226_4"", ""Left"":0,""Up"":-1}]"
227,30,"[{""TexName"":""#spray_227_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_227_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_227_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_227_4"", ""Left"":0,""Up"":-1}]"
228,30,"[{""TexName"":""#spray_228_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_228_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_228_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_228_4"", ""Left"":0,""Up"":-1}]"
229,30,"[{""TexName"":""#spray_229_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_229_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_229_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_229_4"", ""Left"":0,""Up"":-1}]"
230,30,"[{""TexName"":""#spray_230_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_230_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_230_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_230_4"", ""Left"":0,""Up"":-1}]"
231,30,"[{""TexName"":""#spray_231_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_231_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_231_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_231_4"", ""Left"":0,""Up"":-1}]"
232,30,"[{""TexName"":""#spray_232_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_232_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_232_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_232_4"", ""Left"":0,""Up"":-1}]"
233,30,"[{""TexName"":""#spray_233_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_233_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_233_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_233_4"", ""Left"":0,""Up"":-1}]"
234,30,"[{""TexName"":""#spray_234_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_234_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_234_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_234_4"", ""Left"":0,""Up"":-1}]"
235,30,"[{""TexName"":""#spray_235_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_235_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_235_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_235_4"", ""Left"":0,""Up"":-1}]"
236,30,"[{""TexName"":""#spray_236_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_236_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_236_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_236_4"", ""Left"":0,""Up"":-1}]"
237,30,"[{""TexName"":""#spray_237_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_237_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_237_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_237_4"", ""Left"":0,""Up"":-1}]"
238,30,"[{""TexName"":""#spray_238_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_238_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_238_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_238_4"", ""Left"":0,""Up"":-1}]"
239,30,"[{""TexName"":""#spray_239_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_239_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_239_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_239_4"", ""Left"":0,""Up"":-1}]"
240,30,"[{""TexName"":""#spray_240_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_240_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_240_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_240_4"", ""Left"":0,""Up"":-1}]"
241,30,"[{""TexName"":""#spray_241_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_241_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_241_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_241_4"", ""Left"":0,""Up"":-1}]"
242,30,"[{""TexName"":""#spray_242_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_242_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_242_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_242_4"", ""Left"":0,""Up"":-1}]"
243,30,"[{""TexName"":""#spray_243_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_243_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_243_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_243_4"", ""Left"":0,""Up"":-1}]"
244,30,"[{""TexName"":""#spray_244_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_244_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_244_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_244_4"", ""Left"":0,""Up"":-1}]"
245,30,"[{""TexName"":""#spray_245_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_245_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_245_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_245_4"", ""Left"":0,""Up"":-1}]"
246,30,"[{""TexName"":""#spray_246_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_246_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_246_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_246_4"", ""Left"":0,""Up"":-1}]"
247,30,"[{""TexName"":""#spray_247_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_247_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_247_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_247_4"", ""Left"":0,""Up"":-1}]"
248,30,"[{""TexName"":""#spray_248_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_248_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_248_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_248_4"", ""Left"":0,""Up"":-1}]"
249,30,"[{""TexName"":""#spray_249_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_249_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_249_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_249_4"", ""Left"":0,""Up"":-1}]"
250,30,"[{""TexName"":""#spray_250_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_250_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_250_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_250_4"", ""Left"":0,""Up"":-1}]"
251,30,"[{""TexName"":""#spray_251_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_251_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_251_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_251_4"", ""Left"":0,""Up"":-1}]"
252,30,"[{""TexName"":""#spray_252_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_252_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_252_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_252_4"", ""Left"":0,""Up"":-1}]"
253,30,"[{""TexName"":""#spray_253_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_253_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_253_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_253_4"", ""Left"":0,""Up"":-1}]"
254,30,"[{""TexName"":""#spray_254_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_254_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_254_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_254_4"", ""Left"":0,""Up"":-1}]"
255,30,"[{""TexName"":""#spray_255_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_255_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_255_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_255_4"", ""Left"":0,""Up"":-1}]"
256,30,"[{""TexName"":""#spray_256_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_256_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_256_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_256_4"", ""Left"":0,""Up"":-1}]"
257,30,"[{""TexName"":""#spray_257_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_257_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_257_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_257_4"", ""Left"":0,""Up"":-1}]"
258,30,"[{""TexName"":""#spray_258_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_258_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_258_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_258_4"", ""Left"":0,""Up"":-1}]"
259,30,"[{""TexName"":""#spray_259_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_259_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_259_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_259_4"", ""Left"":0,""Up"":-1}]"
260,30,"[{""TexName"":""#spray_260_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_260_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_260_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_260_4"", ""Left"":0,""Up"":-1}]"
261,30,"[{""TexName"":""#spray_261_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_261_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_261_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_261_4"", ""Left"":0,""Up"":-1}]"
262,30,"[{""TexName"":""#spray_262_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_262_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_262_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_262_4"", ""Left"":0,""Up"":-1}]"
263,30,"[{""TexName"":""#spray_263_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_263_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_263_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_263_4"", ""Left"":0,""Up"":-1}]"
264,30,"[{""TexName"":""#spray_264_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_264_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_264_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_264_4"", ""Left"":0,""Up"":-1}]"
265,30,"[{""TexName"":""#spray_265_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_265_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_265_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_265_4"", ""Left"":0,""Up"":-1}]"
266,30,"[{""TexName"":""#spray_266_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_266_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_266_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_266_4"", ""Left"":0,""Up"":-1}]"
267,30,"[{""TexName"":""#spray_267_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_267_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_267_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_267_4"", ""Left"":0,""Up"":-1}]"
268,30,"[{""TexName"":""#spray_268_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_268_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_268_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_268_4"", ""Left"":0,""Up"":-1}]"
269,30,"[{""TexName"":""#spray_269_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_269_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_269_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_269_4"", ""Left"":0,""Up"":-1}]"
270,30,"[{""TexName"":""#spray_270_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_270_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_270_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_270_4"", ""Left"":0,""Up"":-1}]"
271,30,"[{""TexName"":""#spray_271_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_271_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_271_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_271_4"", ""Left"":0,""Up"":-1}]"
272,30,"[{""TexName"":""#spray_272_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_272_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_272_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_272_4"", ""Left"":0,""Up"":-1}]"
273,30,"[{""TexName"":""#spray_273_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_273_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_273_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_273_4"", ""Left"":0,""Up"":-1}]"
274,30,"[{""TexName"":""#spray_274_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_274_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_274_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_274_4"", ""Left"":0,""Up"":-1}]"
275,30,"[{""TexName"":""#spray_275_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_275_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_275_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_275_4"", ""Left"":0,""Up"":-1}]"
276,30,"[{""TexName"":""#spray_276_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_276_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_276_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_276_4"", ""Left"":0,""Up"":-1}]"
277,30,"[{""TexName"":""#spray_277_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_277_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_277_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_277_4"", ""Left"":0,""Up"":-1}]"
278,30,"[{""TexName"":""#spray_278_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_278_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_278_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_278_4"", ""Left"":0,""Up"":-1}]"
279,30,"[{""TexName"":""#spray_279_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_279_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_279_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_279_4"", ""Left"":0,""Up"":-1}]"
280,30,"[{""TexName"":""#spray_280_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_280_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_280_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_280_4"", ""Left"":0,""Up"":-1}]"
281,30,"[{""TexName"":""#spray_281_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_281_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_281_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_281_4"", ""Left"":0,""Up"":-1}]"
282,30,"[{""TexName"":""#spray_282_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_282_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_282_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_282_4"", ""Left"":0,""Up"":-1}]"
283,30,"[{""TexName"":""#spray_283_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_283_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_283_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_283_4"", ""Left"":0,""Up"":-1}]"
284,30,"[{""TexName"":""#spray_284_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_284_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_284_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_284_4"", ""Left"":0,""Up"":-1}]"
285,30,"[{""TexName"":""#spray_285_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_285_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_285_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_285_4"", ""Left"":0,""Up"":-1}]"
286,30,"[{""TexName"":""#spray_286_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_286_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_286_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_286_4"", ""Left"":0,""Up"":-1}]"
287,30,"[{""TexName"":""#spray_287_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_287_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_287_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_287_4"", ""Left"":0,""Up"":-1}]"
288,30,"[{""TexName"":""#spray_288_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_288_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_288_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_288_4"", ""Left"":0,""Up"":-1}]"
289,30,"[{""TexName"":""#spray_289_1"", ""Left"":1,""Up"":0},{""TexName"":""#spray_289_2"", ""Left"":0,""Up"":0},{""TexName"":""#spray_289_3"", ""Left"":1,""Up"":-1},{""TexName"":""#spray_289_4"", ""Left"":0,""Up"":-1}]"
