材料id,材料名,成功产物（11517=红/11518=蓝/11519=黄/11520=绿/11521=紫）,生产时间,生产数量,基础成功率,适配方块类型（竖线隔开）,适配环境修正值（%）,相悖方块类型（竖线隔开）,相悖环境修正值（%）,备注说明
11633,蝎尾,11521,3,1,50,voidHerbSeedBellFlower|voidBellFlower|voidHerbSeedDragonFlower|voidDragonFlower|voidModelStarFlower|voidModelDragonFlower|voidModelYellowFlower|voidModelWhiteFlower|voidModelWinterFlower|voidModelBiAnflower|Voidflowers|voidModelRuolan|voidModelRosebush,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,紫
11634,毒囊,11521,3,1,50,voidHerbSeedBellFlower|voidBellFlower|voidHerbSeedDragonFlower|voidDragonFlower|voidModelStarFlower|voidModelDragonFlower|voidModelYellowFlower|voidModelWhiteFlower|voidModelWinterFlower|voidModelBiAnflower|Voidflowers|voidModelRuolan|voidModelRosebush,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,紫
11635,元素核碎片,11519,3,1,55,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11640,守卫之心,11518,3,1,55,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
11648,闪电核心,11517,5,3,66,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
11654,彼岸菠萝,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
11655,珍珠,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11656,未用的荧光棒,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
11657,发光的荧光棒,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
11658,耗尽的荧光棒,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
11659,晒干的呆呆鱼,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11675,械核残片,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
11824,霜火石,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
11911,创造晶体,11518,4,2,65,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
11914,蝙蝠牙,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
12064,飞鱼鳍,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
12065,鲨鱼牙,11518,3,1,55,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
12066,鲨鱼皮,11518,3,1,55,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
12067,魔鬼鱼尾刺,11518,3,1,55,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
12278,雀莺羽毛,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
12282,石子,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
12287,泡泡球,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
12500,樱桃,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
12503,松果,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
12504,蜂巢碎片,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
12508,巨鳞羽果片,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
12509,瓶装鲜奶,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
12511,瓶装蜂蜜,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
12516,沃沃兽肉,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
12518,嘟嘟鸟肉,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
12520,鲜呆呆鱼,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
12522,墩墩肉,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
12526,奇怪的肘子,11521,3,1,50,voidHerbSeedBellFlower|voidBellFlower|voidHerbSeedDragonFlower|voidDragonFlower|voidModelStarFlower|voidModelDragonFlower|voidModelYellowFlower|voidModelWhiteFlower|voidModelWinterFlower|voidModelBiAnflower|Voidflowers|voidModelRuolan|voidModelRosebush,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,紫
12527,蟹腿,11517,3,1,20,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
12530,角鹿肉,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
12532,兔肉,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
12535,牦牛肉,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
12578,沃沃兽角,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
12582,氧气豆,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
12600,棉花,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
12601,桃子,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
12602,红杉果,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
12603,核桃,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
12604,白杨果,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
12605,焱焱蟹壳,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
12607,生鸵鸟腿,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
12610,胡杨花,11517,3,1,65,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
12611,胡杨泪,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
12612,仙人掌花,11517,3,1,65,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
12613,仙人掌果实,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
12614,锰结核,11519,5,3,66,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
12615,生海带,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
12618,锯齿蕨的刺茎,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
12619,刺球,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
12622,牦牛角,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
12623,雪兔皮草,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
12703,鲜丑丑鱼,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
12704,鲜奇奇鱼,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
12710,冰灵精粹,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
12717,海鸥羽毛,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
12718,变色腺体,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
12719,水母核心,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
12741,生鸡肉,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
12743,鸡蛋,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
12746,生猪肉,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
12755,石墨,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
12756,陶瓷,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
12758,铝棒,11519,5,3,90,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
12759,钴棒,11518,7,5,100,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
14012,生牛肉,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
14014,生羊肉,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
14016,羊毛,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
15507,冰锥,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
150007,冰晶喷菇幼苗,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
150008,无光冰晶喷菇,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
150009,有光冰晶喷菇,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
150012,冰晶蕨,11518,4,2,65,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
150049,白色野花,11519,4,2,65,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
150050,蓝色野花,11518,4,2,65,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
150051,黄色野花,11519,4,2,65,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
150052,蓝粉雏菊丛,11518,4,2,65,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
150053,橙色雏菊丛,11517,4,2,65,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
150054,粉色雏菊丛,11517,4,2,65,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
150055,粉蝶花,11517,4,2,65,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
150056,薰衣草,11520,4,2,65,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
150057,荧光小草,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
150058,荧光落叶,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
150059,星光菌,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
150060,蒲公英,11519,4,2,65,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
150061,狗尾草,11520,4,2,65,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
150062,芦苇,11519,4,2,65,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
150063,油菜花,11520,4,2,65,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
150064,郁金香,11519,4,2,65,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
150065,三叶草,11520,4,2,65,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
150066,荷叶,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
150067,浮萍,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
150068,水藻,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
150069,蕨,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
150070,紫色三角梅,11521,4,2,65,voidHerbSeedBellFlower|voidBellFlower|voidHerbSeedDragonFlower|voidDragonFlower|voidModelStarFlower|voidModelDragonFlower|voidModelYellowFlower|voidModelWhiteFlower|voidModelWinterFlower|voidModelBiAnflower|Voidflowers|voidModelRuolan|voidModelRosebush,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,紫
150071,白色三角梅,11519,4,2,65,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
150072,发光树藤,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
150073,发光树叶,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
150074,发光树干,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
150075,紫色地栽三角梅,11521,4,2,65,voidHerbSeedBellFlower|voidBellFlower|voidHerbSeedDragonFlower|voidDragonFlower|voidModelStarFlower|voidModelDragonFlower|voidModelYellowFlower|voidModelWhiteFlower|voidModelWinterFlower|voidModelBiAnflower|Voidflowers|voidModelRuolan|voidModelRosebush,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,紫
150076,白色地栽三角梅,11519,4,2,65,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
150932,牛粪,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
151008,粗发光树树枝,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
151009,细发光树树枝,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
151012,粗金合欢树树枝,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
151013,细金合欢树树枝,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
151014,粗猴面包树树枝,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
151015,细猴面包树树枝,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
151016,金合欢树叶,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
151017,金合欢树干,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
151018,猴面包树叶,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
151019,猴面包树干,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
151024,绿色荆棘,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
151025,枯萎荆棘,11519,3,1,50,minestone|minestonediffmtl|minestonerune|stonecore|cobblestone|cursestone|cursestoneactivated|giantstone|plutonicrock|rockoil|sandstonecolumn|sulphurrock|tombstone|solidsand|staticsandflow|sandflow,5,stillfluidwater|flowfluidwater|stillfluidlava|flowfluidlava,5,黄
151026,红色卫矛,11517,3,1,50,stillfluidlava|flowfluidlava|sulphurrock,5,stillfluidwater|flowfluidwater|ice,5,红
151027,爬山虎,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
151028,大刍草,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
151301,银杏树叶,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
151302,枫香树叶,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
151303,蓝花楹树叶,11518,3,1,50,stillfluidwater|flowfluidwater|ice|snow,5,coagualtion|solidsand|fluorescentlamp|fire|stillfluidlava|flowfluidlava|sulphurrock,5,蓝
151304,秋胡杨树叶,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
151401,银杏树干,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
151402,枫香树干,11520,3,1,50,grass|soil|farmland|sapling|log|cropper|shrub,5,solidsand|fluorescentlamp|fire|staticsandflow|sandflow|stillfluidlava|flowfluidlava,5,绿
