状态ID,名字,等级,作用时间(秒),"调用Update周期(秒), 0表示不调用","脚本名字:开始Script_Start,结束Script_End,Tick:Script_Tick",作为插件编辑效果[0代表不开放，1150=有害，1151=有益，1152=中立 ],触发器开放[0代表不开放，1=有害效果，2=有益效果，3=中立效果 ],效果库ID1,默认值1（时间需要除以10）,效果库ID2,默认值2,效果库ID3,默认值3,效果库ID4,默认值4,效果库ID5,默认值5,效果库ID6,默认值6,效果库ID7,默认值7,效果库ID8,默认值8,效果库ID9,默认值9,效果库ID10,默认值10,睡觉获取权重,睡觉获取权重生态加成,图标(填图标库ID),特效(填特效库ID),音效(填音效库ID),持续模式（0=无限时间 大于0=有限时间）,优先级（1=覆盖 2=并存）,死亡不清除（1=清除 2=不清除）,主动攻击清除效果（1=清除 2=不清除）,受到伤害清除效果（1=清除 2=不清除）,冷却时间（获取后这段时间内无法再次获得同一个buff，填秒数）（未开发）,冷却说明（描述冷却原因，填stringid）（未开发）,插件编辑模板(不填=不是模板 1=作为模板),属性类型1（废弃）,属性值1（废弃）,属性类型2（废弃）,属性值2（废弃）,属性类型3（废弃）,属性值3（废弃）,属性类型4（废弃）,属性值4（废弃）,属性类型5（废弃）,属性值5（废弃）,描述,图标名字,类型(0有益，1不利，2特殊),状态类型(0-无，1-火，2-变身，3-毒素，4-流血，5-冰，6-冻结),状态类型名称（填stringid）,特效名称,音效类型（0单次1循环）,音效名称,身体模型,中BUFF变第三人称,禁止做一切事,图标缺失,部件放大(将来除以1000等于部件),在buff栏隐藏,备注,标签,预制资源名
56003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
57001,游戏版本过低,1,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
57002,游戏版本过低,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
57003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
58001,游戏版本过低,1,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
58002,游戏版本过低,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
58003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
59001,游戏版本过低,1,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
59002,游戏版本过低,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
59003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
60001,中毒1级,1,5,1.25,DamageBuff,,,1008,12|5|101005,,,,,,,,,,,,,,,,,,,,,1034,1236,10095,5,1,1,2,2,,,,SCRIPT_VAR,4,SCRIPT_VAR,5,,,,,,,每1.2秒造成5点伤害。,damagebuff_poison,1,3,25467,BUFF_POISON_1,0,buff.buff_wither_1,,0,,,,,食物中毒,,
60002,中毒2级,2,5,1,DamageBuff,,,1008,10|5|101005,,,,,,,,,,,,,,,,,,,,,1034,1236,10095,5,1,1,2,2,,,,SCRIPT_VAR,4,SCRIPT_VAR,5,,,,,,,每1秒造成5点伤害。,damagebuff_poison,1,3,25467,BUFF_POISON_1,0,buff.buff_wither_1,,0,,,,,,,
61001,新手攻击,1,1800,,,,,1003,100301|1000,,,,,,,,,,,,,,,,,,,,,1016,1224,10078,1800,1,1,2,2,,,,ATTACK_PUNCH,10,,,,,,,,,极大提高近战攻击伤害。,attack_punch_add,0,,,BUFF_ATTACK_1,0,buff.buff_attack_1,,0,,,,,,,
62001,近战防御,1,1800,,,,,1010,100401|-100,,,,,,,,,,,,,,,,,,,,,1046,1229,10081,1800,1,1,2,2,,,,DAMAGED_PUNCH,-1,,,,,,,,,降低100%受到的近战伤害。,damaged_punch_add,0,,,BUFF_DAMAGED_1,0,buff.buff_damaged_1,,0,,,,,,,
63001,外星空气,1,199980,,,,,,,,,,,,,,,,,,,,,,,,,,,1069,,,0,1,1,2,2,,,,,,,,,,,,,,让人难受的有毒气体,NO-OXY,0,,,,,,,0,,,,,,,
63002,游戏版本过低,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
63003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
64001,外星剧毒,1,199980,,,,,,,,,,,,,,,,,,,,,,,,,,,1070,,,0,1,1,2,2,,,,,,,,,,,,,,肺部被毒气填满了，持续受伤！,NO-OXY-Dying,0,,,,,,,0,,,,,,,
64002,游戏版本过低,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
64003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,,unknown,0,,,,,,,0,,,,,,,
65001,不稳定氧气供给,1,60,,,,,1021,100802|10|5,,,,,,,,,,,,,,,,,,,,,1072,,,60,1,1,2,2,,,,OXYGEN_SUPPLY,10000,,,,,,,,,有氧（暂时）,OXY-unsatable,0,,,,,,,0,,,,,,,
65002,设备氧气供给,2,199980,,,,,,,,,,,,,,,,,,,,,,,,,,,1071,,,0,1,1,2,2,,,,OXYGEN_SUPPLY,10000,,,,,,,,,让人舒适的氧气环境。,OXY-satable,0,,,,,,,0,,,,,,,
65003,永久氧气供给,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,让人舒适的氧气环境。,unknown,0,,,,,,,0,,,,,,,
66001,不稳定氧气供给,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,1072,,,60,1,1,2,2,,,,OXYGEN_SUPPLY,10000,,,,,,,,,含有让人不舒服的气息。,OXY-unsatable,0,,,,,,,0,,,,,,,
66002,游戏版本过低,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
66003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
67001,星启石氧气区,1,300,,,,,1021,100802|10|5,,,,,,,,,,,,,,,,,,,,,1071,,,300,1,1,2,2,,,,OXYGEN_SUPPLY,10000,,,,,,,,,每次激活都将提供限时氧气区,OXY-satable,0,,,,,,,0,,,,,,,
67002,永久氧气供给,2,199980,,,,,1021,100802|10|5,,,,,,,,,,,,,,,,,,,,,1071,,,0,1,1,2,2,,,,OXYGEN_SUPPLY,10000,,,,,,,,,让人舒适的氧气环境。,OXY-satable,0,,,,,,,0,,,,,,,
67003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
68001,食物中毒1级,1,15,1,StarveBuff,,,1011,1000,,,,,,,,,,,,,,,,,,,,,1033,1236,10095,15,1,1,2,2,,,,SCRIPT_VAR,1000,,,,,,,,,你感觉更加饥饿了。,damagebuff_hunger,1,,,BUFF_POISON_1,0,buff.buff_wither_1,,0,,,,,,,
68002,游戏版本过低,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
68003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
69001,游戏版本过低,1,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,0,,,0,,,,,,,
69002,游戏版本过低,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
69003,游戏版本过低,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,180,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
70001,足球-无球,1,199980,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,0,1,1,2,2,,,,,,,,,,,,,,具有铲球、断球操作,ball_soccer_1,0,,,,,,,0,,,,,,,
70002,足球-带球,2,199980,,,,,,,,,,,,,,,,,,,,,,,,,,,1025,,10093,0,1,1,2,2,,,,,,,,,,,,,,具有吊球、射门操作,ball_soccer_2,0,,,,0,buff.buff_soccer,,0,,,,,,,
70003,游戏版本过低,3,300,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,,300,1,1,2,2,,,,,,,,,,,,,,当你看到这个的时候，证明你的游戏版本过低了！,unknown,0,,,,,,,0,,,,,,,
71001,变异鸡中毒,3,10,1,DamageBuff,,,1008,10|1|101004,,,,,,,,,,,,,,,,,,,,,1032,1236,10668,10,1,1,2,2,,,,SCRIPT_VAR,3,SCRIPT_VAR,1,,,,,,,鸡吃了变异食物后中毒,damagebuff_fire,1,,,BUFF_POISON_1,,,,0,,,,,,,
72001,篮球-无球,1,199980,,,,,,,,,,,,,,,,,,,,,,,,,,,1027,,,0,1,1,2,2,,,,,,,,,,,,,,"无球状态：不持球时可以进行抢断、阻挡、盖帽操作
抢断（鼠标左键）：将目标手中的篮球抢过来
阻挡（鼠标右键）：挡住对手的前进路线
盖帽（空格键）：跳起并拍开空中的篮球",basketball_nonedribble,0,,,,,,,0,,,,,,,
72002,篮球-运球,2,199980,,,,,,,,,,,,,,,,,,,,,,,,,,,1026,,10093,0,1,1,2,2,,,,,,,,,,,,,,"运球状态：持球时可进行传球、投篮、冲刺操作
传球（鼠标左键）：向被标识为目标的队友传球
投篮（鼠标右键）：蓄力并朝准心方向投篮。对准篮框时，让蓄力条停留在黄颜色的#cfa7a0f命中区域#n内，会有更大的命中几率
冲刺（空格键）：朝身体面向方向快速冲刺一段距离",basketball_dribble,0,,,,0,buff.buff_soccer,,0,,,,,,,
72003,动作,1,180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,改变玩家的@1动作,,0,,,,,,,1,,,,,,,
73001,炎热,1,199980,,,,,1034,101201|+20,,,,,,,,,,,,,,,,,,,,,1081,,,0,1,1,2,2,,,,,,,,,,,,,,在炎热环境下，非常不适应,,,,,,,,,,,,,,,,
73002,适应炎热,2,199980,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,,,0,1,1,2,2,,,,,,,,,,,,,,因为穿着了抵抗炎热的装备，可以在炎热环境下不受影响,,,,,,,,,,,,,,,,
74001,氧气稀少,1,199980,,,,,1031,101101|-50,1001,100101|-10,1040,,,,,,,,,,,,,,,,,,1069,,,0,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001,寒冷,1,5,,,,,1034,101201|20,,,,,,,,,,,,,,,,,,,,,1095,1586,10982,5,1,1,2,2,,,,,,,,,,,,,,在雪地环境下，非常不适应,,,,,,0,buff_cold,,,,,,,,,
76001,拉肚子,1,10,,,,,1037,,1041,76001|11311|10667,1001,100101|-25,,,,,,,,,,,,,,,,,1091,1585,10983,10,1,1,2,2,,,,,,,,,,,,,,,,,,,,0,buff_diarrhea,,0,,,,,,,
77001,流血,1,3,,,,,1008,10|3|101007,1001,100101|-30,,,,,,,,,,,,,,,,,,,1079,1584,10086,3,1,1,2,2,,,,,,,,,,,,,,啊，止不住了！医生在哪里？！,damagebuff_bleed,1,4,25468,BUFF_POISON_1,,buff.buff_wither_1,,,,,,,,,
77002,流血诅咒,2,199980,,,,,1008,10|3|101007,1001,100101|-30,,,,,,,,,,,,,,,,,,,1079,1584,10086,199980,1,1,2,2,,,,,,,,,,,,,,快停下！这块石头，不太妙啊。,damagebuff_bleed,1,4,25468,BUFF_POISON_1,,buff.buff_wither_1,,,,,,,,,
78001,备用,1,60,,,,,1029,20,,,,,,,,,,,,,,,,,,,,,1087,,,60,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79001,经验倍率,1,180,,,,,1030,20,,,,,,,,,,,,,,,,,,,,,1088,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80001,小憩一会,1,199980,,,,,1029,0,,,,,,,,,,,,,,,,,,,,,1097,,,199980,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81001,腿脚利索 ,1,180,,,,,1001,100101|50,1004,10,,,,,,,,,,,,,,,,,1200,ICE_MOUNTAINS|-500,1113,,,180,1,1,2,2,,,,,,,,,,,,,,一觉醒来发现腿部充满了力量。,,,,,,,,,,,,,,,,
82001,体力恢复,1,180,,,,,1035,101301|25,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82002,体力恢复,2,180,,,,,1035,101301|50,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82003,体力恢复,3,180,,,,,1035,101301|75,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83001,体力恢复-潜行,1,180,,,,,1035,101304|40,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83002,体力恢复-潜行,2,180,,,,,1035,101304|80,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83003,体力恢复-潜行,3,180,,,,,1035,101304|120,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84001,拓展体力,1,180,,,,,1032,101102|50,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84002,拓展体力,2,180,,,,,1032,101102|100,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84003,拓展体力,3,180,,,,,1032,101102|150,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85001,生命上限,1,180,,,,,1005,100201|25,,,,,,,,,,,,,,,,,,,,,1085,,,0,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85002,生命上限,2,180,,,,,1005,100201|50,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85003,生命上限,3,180,,,,,1005,100201|75,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86001,移动速度-爆发,1,30,,,,,1001,100101|50,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86002,移动速度-爆发,2,30,,,,,1001,100101|100,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86003,移动速度-爆发,3,30,,,,,1001,100101|150,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87001,降低体力消耗-挖方块,1,180,,,,,1034,101205|-30,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87002,降低体力消耗-挖方块,2,180,,,,,1034,101205|-45,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87003,降低体力消耗-挖方块,3,180,,,,,1034,101205|-55,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88001,降低体力消耗-奔跑（跳跃）,1,180,,,,,1034,101204|-40,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88002,降低体力消耗-奔跑（跳跃）,2,180,,,,,1034,101204|-45,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88003,降低体力消耗-奔跑（跳跃）,3,180,,,,,1034,101204|-55,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89001,降低体力消耗-使用工具蓄力,1,180,,,,,1034,101206|-20,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89002,降低体力消耗-使用工具蓄力,2,180,,,,,1034,101206|-35,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89003,降低体力消耗-使用工具蓄力,3,180,,,,,1034,101206|-45,,,,,,,,,,,,,,,,,,,,,1085,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90001,提高生命恢复,1,180,,,,,1029,25,,,,,,,,,,,,,,,,,,,,,1001,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90002,提高生命恢复,2,180,,,,,1029,50,,,,,,,,,,,,,,,,,,,,,1001,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90003,提高生命恢复,3,180,,,,,1029,75,,,,,,,,,,,,,,,,,,,,,1001,,,180,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91001,神圣树的庇佑,1,3600,,,,,1032,101102|30,1033,10|10,1029,10,,,,,,,,,,,,,,,,,1063,,,3600,1,1,2,2,,,,,,,,,,,,,,吃下神圣树的果实，你感到身体里涌动着无穷的力量,,,,,,,,,,,,,,,,
92001,彩云的馈赠,1,30,,,,,1004,17,1010,100411|-75,,,,,,,,,,,,,,,,,,,1067,,10094,30,1,1,2,2,,,,,,,,,,,,,,收到彩云的馈赠，跳跃高度增加，跌落伤害减少,move_speed_add,0,,,,,,,,,,,,,,
93001,疲倦,1,199980,,,,,1010,100412|50,1040,,,,,,,,,,,,,,,,,,,,1092,,,0,1,1,2,2,,,,,,,,,,,,,,体力值太低啦，小心别透支了。吃点恢复体力值的食物吧。,,,,,,,,,,,,,,,,
93002,体力透支,2,199980,,,,,1045,101007,1040,,,,,,,,,,,,,,,,,,,,1111,,,0,1,1,2,2,,,,,,,,,,,,,,身体正在崩溃边缘。快吃点恢复体力的食物抢救一下！,,,,,,,,,,,,,,,,
94001,初始的馈赠,1,1200,,,,,1026,100507|20,,,,,,,,,,,,,,,,,,,,,1099,,,1200,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95001,虚无,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1092,,,3,1,1,2,2,,,,,,,,,,,,,,你的体力正在被虚空使徒偷走，当心！,,,,,,,,,,,,,,地心人吸体力提示buff,,
96001,星能之力,1,180,,,,,1003,100311|30,1015,100701|50,1001,100101|30,1002,50|200012,1034,101201|20,,,,,,,,,,,,,1100,1589,,180,1,1,2,2,1800,86006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97001,星能之力冷却中,1,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,1098,,,1800,1,2,2,2,,,,,,,,,,,,,,星能的力量过于强大，人类的肉体短时间内无法承受过多的星能之力。,,1,,,,,,,,,,,,,,
98001,巴啦啦变身魔法,1,60,,,,,1005,100201|100,1035,101301|100,,,,,,,,,,,,,,,,,,,1101,,,60,1,1,2,2,,,,,,,,,,,,,,巴啦啦能量——变身魔法,,,,,,,,,,,,,,,,
98002,巴啦啦变身魔法,2,60,,,,,1042,141,1005,100201|100,1035,101301|100,,,,,,,,,,,,,,,,,1101,,10985,60,1,1,2,2,,,,,,,,,,,,,,巴啦啦能量——变身魔法,,,,,,,,,,,,,,,,
98003,巴啦啦变身魔法,3,60,,,,,1042,143,1005,100201|100,1035,101301|100,,,,,,,,,,,,,,,,,1101,,10986,60,1,1,2,2,,,,,,,,,,,,,,巴啦啦能量——变身魔法,,,,,,,,,,,,,,,,
98004,巴啦啦变身魔法,4,60,,,,,1042,144,1005,100201|100,1035,101301|100,,,,,,,,,,,,,,,,,1101,,10987,60,1,1,2,2,,,,,,,,,,,,,,巴啦啦能量——变身魔法,,,,,,,,,,,,,,,,
98005,巴啦啦变身魔法,5,60,,,,,1042,145,1005,100201|100,1035,101301|100,,,,,,,,,,,,,,,,,1101,,10988,60,1,1,2,2,,,,,,,,,,,,,,巴啦啦能量——变身魔法,,,,,,,,,,,,,,,,
98006,巴啦啦变身魔法,6,60,,,,,1042,156,1004,50,1010,100411|-75,,,,,,,,,,,,,,,,,1101,,10989,60,1,1,2,2,,,,,,,,,,,,,,巴啦啦能量——变身魔法,,,,,,,,,,,,,,,,
98007,巴啦啦变身魔法,7,60,,,,,1042,155,1003,100311|50,1032,100201|100,,,,,,,,,,,,,,,,,1101,,10990,60,1,1,2,2,,,,,,,,,,,,,,巴啦啦能量——变身魔法,,,,,,,,,,,,,,,,
98008,巴啦啦变身魔法,8,60,,,,,1042,154,1010,100412|-40,1007,50|5,,,,,,,,,,,,,,,,,1101,,10991,60,1,1,2,2,,,,,,,,,,,,,,巴啦啦能量——变身魔法,,,,,,,,,,,,,,,,
99001,天狗食月,1,199980,,,,,1005,100201|75,1023,100907|10,,,,,,,,,,,,,,,,,,,1078,1236,,199980,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100001,着火,1,8,1,DamageBuff,,,1008,10|2|101004,,,,,,,,,,,,,,,,,,,,,1032,1232,10668,8,1,1,2,2,,,1,SCRIPT_VAR,3,SCRIPT_VAR,5,,,,,,,每秒损失3点生命值,damagebuff_fire,1,1,25469,BUFF_FIRE_1,1,fire.fire,,0,,,,,环境伤害,,
101001,污染1级,1,2,1,DamageBuff,,,1008,10|2|101007,,,,,,,,,,,,,,,,,,,,,1034,1236,10095,2,1,1,2,2,,,,SCRIPT_VAR,4,SCRIPT_VAR,2,,,,,,,每秒损失2点生命值。,damagebuff_poison,1,,,BUFF_POISON_1,0,buff.buff_wither_1,,0,,,,,吃鸡中毒BUFF,,
101002,污染2级,2,2,1,DamageBuff,,,1008,10|5|101007,,,,,,,,,,,,,,,,,,,,,1034,1236,10095,2,1,1,2,2,,,,SCRIPT_VAR,4,SCRIPT_VAR,5,,,,,,,每秒损失5点生命值。,damagebuff_poison,1,,,BUFF_POISON_1,0,buff.buff_wither_1,,0,,,,,吃鸡中毒BUFF,,
101003,污染3级,3,2,1,DamageBuff,,,1008,10|10|101007,,,,,,,,,,,,,,,,,,,,,1034,1236,10095,2,1,1,2,2,,,,SCRIPT_VAR,4,SCRIPT_VAR,10,,,,,,,每秒损失10点生命值。,damagebuff_poison,1,,,BUFF_POISON_1,0,buff.buff_wither_1,,0,,,,,吃鸡中毒BUFF,,
101004,污染4级,4,2,1,DamageBuff,,,1008,10|15|101007,,,,,,,,,,,,,,,,,,,,,1034,1236,10095,2,1,1,2,2,,,,SCRIPT_VAR,4,SCRIPT_VAR,15,,,,,,,每秒损失15点生命值。,damagebuff_poison,1,,,BUFF_POISON_1,0,buff.buff_wither_1,,0,,,,,吃鸡中毒BUFF,,
101005,污染5级,5,2,1,DamageBuff,,,1008,10|20|101007,,,,,,,,,,,,,,,,,,,,,1034,1236,10095,2,1,1,2,2,,,,SCRIPT_VAR,4,SCRIPT_VAR,20,,,,,,,每秒损失20点生命值。,damagebuff_poison,1,,,BUFF_POISON_1,0,buff.buff_wither_1,,0,,,,,吃鸡中毒BUFF,,
102001,荧光,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1054,1240,10085,10,1,1,2,2,,,,,,,,,,,,,,身上泛起荧光，会吸引某些动物攻击。,fluorescence,1,,,buff69001,,,,0,,,,,荧光buff,,
103001,注意集中,1,150,,,,,1002,60,1012,100601|5|3,,,,,,,,,,,,,,,,,800,"PLAINS|500,FOREST|-300,BIOME_AIR_PLAINS|500,BIOME_AIR_PLAINS_H|500",1114,,,150,1,1,2,2,,,,,,,,,,,,,,昨晚睡得挺好，起床发现挖矿注意力非常集中。,,0,,,,,,,0,,,,,,,
104001,眼神锐利,1,150,,,,,1003,100302|25,1012,100602|10|2,,,,,,,,,,,,,,,,,800,"PLAINS|500,FOREST|-300,RAINFOREST|500",1115,,,150,1,1,2,2,,,,,,,,,,,,,,睡觉睡得饱，视力好不少。,,0,,,,,,,0,,,,,,,
105001,复活技能冷却,1,300,,,,,,,,,,,,,,,,,,,,,,,,,,,1098,,,300,1,2,2,2,,,,,,,,,,,,,,不屈技能进入冷却时间，5min内不会继续触发,,1,,,,,,,,,,,,,,
105002,复活技能冷却2,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,,1098,,,180,1,2,2,2,,,,,,,,,,,,,,不屈技能进入冷却时间，3min内不会继续触发,,1,,,,,,,,,,,,,,
106001,起床气,1,120,,,,,1003,100301|30,1024,1,,,,,,,,,,,,,,,,,500,"PLAINS|-100,RAINFOREST|300,VOLCANO_PLAIN|500,VOLCANO_MOUNTAIN|300,FOREST|-100",1112,,,120,1,1,2,2,,,,,,,,,,,,,,千万不要惹一个有起床气的人。,,0,,,,,,,,,,,,,,
107001,头晕目眩,1,15,,,,,1017,,,,,,,,,,,,,,,,,,,,100,"REDSOIL|250,REDSOIL_SHORE|200",1035,,,15,1,1,2,2,,,,,,,,,,,,,,睡迷糊了，得缓一缓。,,1,,,,,,,,,,,,,,
